nNpcResId	Name	x	y	z	dx	dy	dz
27	南宫飞云	-130	-420	-150	50	-380	-580
28	寒玉鹿王	-300	-500	1500	150	-480	500
29	大地狼王	-300	-500	1500	150	-200	500
30	奔焰豹王	-300	-500	1500	150	-250	500
31	完颜洪烈	-100	-350	150	20	-250	-300
32	独孤剑	-150	-440	100	40	-400	-550
101	徐铁心	-90	-220	-400	35	-230	-720
102	单晶晶	-70	-190	-500	50	-170	-800
103	蔷薇	-70	-220	-500	50	-190	-800
104	红衣女童	-70	-175	-500	50	-130	-800
105	宁素心	-70	-220	-500	50	-180	-800
106	枫林卫	-50	-200	-400	50	-170	-720
107	官员	-90	-275	-400	30	-230	-800
108	红缨侍	-100	-200	-400	50	-170	-800
109	紫色蝎子	-120	-180	500	120	-100	0
110	火狐	-150	-120	200	120	20	-300
111	金钱豹	-150	-100	200	100	20	-300
112	蜘蛛	-150	-80	200	120	50	-300
113	鹰	-100	-75	120	80	0	0
114	猛虎	-150	-120	200	100	0	-100
115	灰狼	-150	-100	200	80	20	-300
116	黑熊	-150	-100	200	120	20	-300
117	猴子	-150	-100	200	120	20	-300
118	公孙惜花	-60	-230	-400	70	-210	-720
119	唐影	-80	-240	-400	70	-200	-700
120	逍遥派弟子	-100	-240	-300	50	-200	-720
121		-100	-380	-50	140	-350	-550
122	耶律辟离	-150	-380	-50	50	-310	-600
123	水贼	-70	-200	-500	40	-170	-800
124	东瀛忍者	-70	-200	-500	35	-200	-800
125	小李子	-70	-120	-450	50	-100	-770
126	南宫彩虹	-70	-220	-500	75	-210	-720
127	赵无双	-70	-220	-500	50	-190	-800
128		-70	-120	-450	60	-80	-770
129	南宫灭	-100	-450	50	70	-350	-400
130	韩世忠	-100	-290	-200	-20	-260	-500
131	紫轩	-25	-210	-500	75	-210	-720
132	柴嵩	-50	-210	-500	75	-210	-720
133	苏墨芸	-70	-270	-400	75	-230	-720
134	江湖流寇	-65	-230	-400	35	-200	-720
135		-90	-230	-400	50	-200	-720
136	强盗	-70	-190	-500	75	-200	-720
137	五毒教女精英	-70	-220	-500	60	-200	-720
138	路达	-70	-220	-500	40	-200	-720
139	药王谷弟子	-70	-120	-450	60	-60	-770
140	聂鹰	-70	-190	-500	50	-200	-720
141	杨瑛	-70	-190	-500	50	-200	-720
142	王大锤	-70	-190	-500	75	-230	-720
143	顾武	-100	-190	-500	20	-200	-720
144	杨湖	-70	-240	-400	50	-210	-720
145	钟兰心	-70	-120	-450	60	-80	-770
146	万金财	-100	-270	-200	50	-222	-720
147	猎鹰	-200	-400	700	75	-230	0
150	卫兵	-70	-190	-500	40	-200	-720
151	镰枪卫	-70	-190	-500	75	-200	-720
152	长弓手	-90	-240	-300	75	-200	-720
153	赵节	-70	-260	-300	50	-210	-720
154	机关战车	-170	-200	500	75	-100	0
155	天蛊毒尸	-140	-420	0	40	-400	-500
156	孟知秋	-70	-220	-400	50	-200	-720
157	机关人	-120	-250	-200	50	-210	-600
158	秋依水	-50	-190	-500	75	-180	-720
159	李三	-110	-240	-300	25	-200	-720
160	张仲天	-70	-210	-500	75	-200	-720
161		-150	-170	200	100	20	-300
162		-150	-210	200	120	-60	-300
163	少林弟子	-70	-190	-500	75	-170	-720
164		-70	-190	-500	60	-180	-800
165	劲弩手	-70	-190	-500	75	-210	-720
166		-150	-170	200	120	20	-300
169	茅山道士	-45	-200	-500	75	-190	-800
170		-70	-190	-500	30	-180	-800
171		-100	-250	-200	20	-180	-720
173	泼皮无赖	-80	-220	-400	50	-180	-800
174	蒙面杀手	-70	-190	-400	40	-180	-720
175	少年独孤剑	-50	-220	-400	75	-200	-720
176	沐紫衣	-70	-120	-450	60	-110	-770
177	纳兰真	-60	-200	-550	50	-180	-900
178		-100	-210	-400	40	-190	-800
179		-70	-240	-300	50	-220	-600
180		-100	-240	-300	50	-230	-600
181		-70	-390	-200	50	-320	-720
182	邵骑风	-50	-250	-400	40	-210	-720
183		-100	-220	-400	50	-190	-720
184		-50	-230	-400	100	-210	-720
185	清和	-100	-220	-400	35	-200	-800
186	岳飞	-30	-240	-300	75	-220	-680
187	纳兰潜凛	-100	-270	-300	50	-240	-720
188	雪莲姥姥	-50	-90	-300	75	-30	-720
189		-70	-210	-400	40	-185	-800
190		-70	-230	-400	50	-190	-800
191		-70	-120	-500	60	-80	-770
192		-70	-120	-500	60	-80	-770
193		-90	-240	-400	30	-210	-720
194	卓非凡	-90	-230	-400	40	-210	-720
195		-70	-120	-500	60	-80	-770
196		-90	-220	-400	40	-200	-720
197		-70	-120	-500	60	-80	-770
198	少年杨影枫	-70	-140	-400	40	-100	-700
199		-90	-230	-400	40	-200	-720
207		-70	-270	-100	50	-230	-720
208		-70	-190	-500	50	-190	-800
209		-70	-120	-400	60	-80	-770
210		-80	-220	-400	50	-210	-720
211		-70	-270	-300	50	-210	-720
212		-70	-190	-500	50	-200	-800
213		-70	-120	-400	60	-80	-700
214		-70	-220	-400	50	-200	-720
317	骷髅	-150	-350	-50	0	-400	-450
318	秦沐白	-220	-1000	300	40	-1060	0
323	赤心花	-150	-80	200	80	-5	-300
352		-150	-100	400	100	20	0
354		-140	-500	100	80	-460	-450
357		-150	-190	400	110	-160	100
364		-100	-470	-50	60	-420	-450
365		-100	-470	-50	60	-460	-450
366		-100	-470	-50	115	-460	-450
367		-150	-470	100	60	-460	-450
368		-100	-470	-50	115	-460	-450
369		-100	-470	-50	115	-460	-450
370		-100	-470	-50	115	-460	-450
371		-100	-470	-50	115	-460	-450
372		-100	-470	-50	100	-400	-450
373		-100	-470	-50	80	-460	-450
384		-150	-190	400	110	-160	100
385		-150	-190	700	110	0	100
386		-100	-470	-50	115	-460	-450
387		-150	-190	400	110	0	100
388		-150	-190	700	110	0	100
399		-150	-190	700	110	0	100
400		-170	-470	100	60	-400	-450
401		-100	-500	100	80	-460	-450
402		-100	-500	150	80	-460	-450
403		-100	-470	-50	115	-460	-450
404		-100	-470	-50	80	-400	-450
405		-100	-470	100	80	-420	-450
406		-100	-470	-50	80	-420	-450
407		-100	-470	-50	80	-420	-450
408		-100	-470	-50	115	-460	-450
409		-150	-470	100	80	-460	-450
425		-140	-510	100	80	-500	-450
430		-120	-350	-150	40	-300	-700
437		-150	-450	700	110	-300	100
451		-150	-500	150	50	-460	-450
452		-120	-470	150	60	-460	-450
477		-100	-220	-500	75	-230	-720
478	封玉书	-150	-450	0	40	-400	-550
555	巨大雪人	-70	-190	-500	100	0	-200
568	巨大雪人（1.5倍）	-70	-190	-500	160	-120	300
569	巨大雪人（2倍）	-70	-190	-500	220	-240	800
570	巨大雪人（2.5倍）	-70	-190	-500	280	-360	1300
571	巨大雪人（3倍）	-70	-190	-500	340	-480	1800
572	巨大雪人（3.5倍）	-70	-190	-500	400	-600	2300
573	巨大雪人（4倍）	-70	-190	-500	460	-720	2800
661	霜儿	-70	-190	-500	60	-50	-720
715	财神	-70	-190	-400	6	-230	-620
933	家族许愿树	-70	-190	-500	160	100	300
934	家族许愿树	-70	-190	-500	160	100	300
935	家族许愿树	-70	-190	-500	160	-200	300
936	家族许愿树	-70	-190	-500	160	-250	300
937	家族许愿树	-70	-190	-500	160	-250	300
938	家族许愿树	-70	-190	-500	160	-450	300
939	家族许愿树	-70	-190	-500	160	-500	300
941	清明节石碑	-70	-190	-1500	160	-500	300
942	连理枝	-70	-190	-1500	160	-300	300
944	连理枝	-70	-190	-1500	160	-700	300
1100	张琳心	-70	-220	-400	40	-200	-750
1101	杨影枫	-50	-350	-350	50	-300	-650
1102	月眉儿	-70	-190	-500	45	-200	-750
1103		-70	-220	-500	50	-180	-750
1106	燕若雪	-70	-210	-500	50	-180	-750
1107	李元霸	-70	-220	-400	50	-210	-750
1108		-70	-250	-350	50	-230	-750
1109	杨再兴	-70	-190	-400	75	-200	-750
1110	杨熙烈	-20	-220	-400	75	-200	-750
1111	天目	-70	-220	-400	75	-200	-750
1112	虞姬	-40	-220	-450	75	-200	-750
1113	赵云	-100	-280	-250	75	-200	-750
1114		-60	-220	-400	40	-200	-750
1116	道一真人	-70	-210	-400	40	-200	-750
1117	方勉	-85	-265	-350	25	-250	-750
1118	无相	-80	-230	-400	40	-220	-750
1119	张风	-100	-250	-400	20	-220	-700
1120	林海	-70	-220	-500	40	-210	-750
1121	卢青	-70	-190	-500	40	-190	-750
1123	王老吉活动	-70	-190	-500	40	-180	-800
1126		-100	-220	-500	75	-230	-720
1127		-90	-220	-500	75	-230	-720
1129	燕若雪	-70	-190	-500	75	-230	-720
1182	杀人蜂	-120	-200	0	75	-160	-400
1154	圣诞女	-70	-220	-500	50	-190	-550
1160	圣诞老人	-120	-220	0	30	-180	-400
1178	颖宝宝	-70	-190	-500	60	-210	-720
1179	林更新	-70	-190	-500	25	-210	-720
1241	霸刀掌门	-130	-280	-380	0	-250	-600
1242	霸刀大师兄	-110	-280	-300	30	-240	-600
5016	玄天道人	-100	-230	-400	40	-180	-750
5022	胡神医	-60	-290	-300	25	-220	-700
5027	南宫飞云	-70	-230	-500	30	-190	-800
5031	完颜洪烈	-70	-220	-450	10	-190	-650
5032	独孤剑	-70	-220	-450	40	-190	-720
5209	李恬儿	-70	-120	-450	50	-100	-770
577	金翅鹏皇	-100	-30	-450	50	-100	-770
595	凤囍	-70	0	-500	10	-40	-600
599	红娘	-70	-240	-400	50	-200	-720
600	月老	-70	-240	-400	50	-200	-720
5039	赤睛虎皇	-70	-171	-197	55	-150	-345
5030	奔焰豹王	-70	-240	-400	55	-70	-445
5044	狂鬃獒皇	-83	-128	-107	75	-60	-326
5042	冰鳞蜥皇	-112	-32	-209	62	4	-282
5043	银钩蝎皇	-110	-140	105	37	-18	-336
5034	双首异兽	-90	-99	-120	75	-99	-408
5026	九尾狐王	-70	-56	-400	38	-69	-720
5037	撼天熊皇	-122	-188	-58	60	-199	-700
5041	紫背鳄皇	-131	-40	230	54	55	-255
5040	定海金刚	-70	-240	-400	40	-156	-686
5036	金翅鹏皇	-70	-240	-400	44	-183	-588
5038	银角犀皇	-93	-96	-83	37	-49	-466
5035	白眉猴王	-70	-240	-400	44	-113	-720
5029	大地狼王	-109	-73	-35	68	24	-476
5028	寒玉鹿王	-70	-82	-400	35	-83	-684
5125	小殷方	-70	-103	-400	75	-90	-720
5213	黄暮云	-70	-103	-400	55	-30	-720
5177	纳兰真	-70	-140	-400	40	-150	-700
5198	少年杨影枫	-70	-120	-400	40	-100	-700
3221	酒坛	-70	-190	-400	75	-230	600
3759	李斯	-70	-220	-450	40	-190	-720
