nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
81	1631	403	8820	4940	51				Move	dth_qw1	蔷薇-移动	洞庭湖
82	1109	403	9020	4880	51				Move	dth_ly1	猎鹰-移动	洞庭湖
83	1092	403	3900	5450	25						紫轩-表现	洞庭湖
84	1097	403	4040	5380	58						月眉儿-表现	洞庭湖
85	1100	498	4085	3015	49		1				纳兰真-任务	悲魔山庄
86	724	498	4085	3015	49			1			纳兰真-跟随	悲魔山庄
87	1080	1000	6520	5250	43			1			纳兰真-跟随	新手村
88	1110	403	9200	7800	43						李总管-表现	洞庭湖
89	1112	403	6400	9800	44						可含-表现	洞庭湖
90	1092	403	9600	10850	35						紫轩-表现	洞庭湖
91	1384	494	2680	4150	32				MoveAndDelete	flb_lzh1	卢肇颢-表现	飞龙堡
92	1106	403	14240	3850	49				Move	dth_zx2	紫轩-移动	洞庭湖
93	1096	494	6500	7100	56		1				月眉儿-任务	飞龙堡
94	1097	494	6500	7100	56						月眉儿-表现	飞龙堡
95	724	494	6500	7100				1			纳兰真-跟随	飞龙堡
96	1099	403	7650	7300	47						蔷薇-表现	洞庭湖
97	1080	1000	6520	5250	43			1			纳兰真-跟随	新手村
98	1107	403	8150	13000	56						月眉儿-移动	洞庭湖
99	1080	1000	6520	5250	43			1			纳兰真-跟随	新手村
100	1099	403	10940	8040	47						蔷薇-表现	洞庭湖
101	1391	403	14170	5810	55		1				天星道长-任务	洞庭湖
102	1392	403	14170	5810	55						天星道长-表现	洞庭湖
103	1102	403	11100	7750	41		1				孟知秋-任务	洞庭湖
104	1103	403	11100	7750	41						孟知秋-表现	洞庭湖
105	1108	403	9200	7950	58			1			蔷薇-跟随	洞庭湖
106	1092	403	13500	3910	50						紫轩-表现	洞庭湖
107	1099	498	3500	3110	16						蔷薇-表现	悲魔山庄
108	721	498	3480	2890	15						纳兰真-表现	悲魔山庄
109	1108	1000	6520	5250	58			1			蔷薇-跟随	新手村
110	1108	498	1550	5650	58			1			蔷薇-跟随	悲魔山庄
111	1006	401	9200	8200	43						月眉儿-表现	武夷山
112	1091	401	9400	8100	42		1				紫轩-任务	武夷山
113	1083	401	9200	8200	42			1			月眉儿-跟随	武夷山
114	1156	401	9400	8100	42			1			紫轩-跟随	武夷山
115	1342	498	3860	3020	47				MoveAndDelete	beimo_nlql	纳兰潜凛-移动	悲魔山庄
116	1083	498	1550	5650	42			1			月眉儿-跟随	悲魔山庄
117	1156	498	1550	5650	42			1			紫轩-跟随	悲魔山庄
118	1096	497	7490	8980	37		1				月眉儿-任务	飞龙堡
119	1098	497	7979	6922	48						蔷薇-跟随	飞龙堡
120	1113	494	6620	6930	46						卢肇颢-表现	飞龙堡
121	1160	404	3130	7150	30		1				卢青-任务	苗岭
122	1162	404	3130	7150	30			1			卢青-跟随	苗岭
123	1160	486	2350	3400	45		1				卢青-任务	衡山脚下
124	1161	486	2350	3400	45						卢青-表现	衡山脚下
125	1163	404	13950	6450	46		1				樵夫-任务	苗岭
126	1164	404	13950	6450	46						樵夫-表现	苗岭
127	1165	487	6780	6540	45		1				武夷派弟子-任务	九猴洞
128	1167	487	6780	6540	45						武夷派弟子-表现	九猴洞
129	1166	488	3180	7100	56		1				张林-任务	武夷山
130	1311	488	3180	7100	56				MoveAndDelete	wyp_zl1	张林-移动	武夷山
131	1176	404	6200	8100	48		1				何筱蔷-任务	苗岭
132	1177	404	6200	8100	48						何筱蔷-表现	苗岭
133	1171	404	5650	14300							赵七娘-表现	苗岭
134	1174	404	6300	14200							周小富-表现	苗岭
135	1170	404	6050	14500			1				周木匠-任务	苗岭
136	1175	404	6050	14500							周木匠-表现	苗岭
137	1178	404	8650	12450			1				剑云-任务	苗岭
138	1179	404	8650	12450							剑云-表现	苗岭
139	1180	404	8650	12450	39			1			剑云-跟随	苗岭
140	1179	404	12900	13400	39						剑云-表现	苗岭
141	1181	404	12700	13450	29		1				秋雨-任务	苗岭
142	1182	404	12700	13450	29						秋雨-表现	苗岭
143	1202	10	7460	15340	11		1				卫兵-任务	襄阳
144	1204	10	7460	15340	11						卫兵-表现	襄阳
145	1183	405	6100	10500	48		1				老王-任务	点苍山
146	1184	405	6100	10500	48						老王-表现	点苍山
147	1185	405	14750	14050	42		1				贾老实-任务	点苍山
148	1186	405	14750	14050	42						贾老实-表现	点苍山
149	1176	405	6400	13550	48		1				何筱蔷-任务	点苍山
150	1177	405	6400	13550	48						何筱蔷-表现	点苍山
151	1173	405	5750	14100	22						周小富-任务	点苍山
152	1215	405	5750	14100	22				Move	dcs_zxf1	周小富-移动	点苍山
153	1205	405	9250	11250	21		1				何梅-任务	点苍山
154	1206	405	9250	11250	21						何梅-表现	点苍山
155	1107	497	7470	8920	15				MoveAndDelete	flb_yme1	月眉儿-移动	飞龙堡
156	1280	403	8280	5150	0						捕兽夹-表现	洞庭湖
157	1208	405	5530	4900	47		1				段芙蓉-任务	点苍山
158	1214	405	5530	4900	47			1			段芙蓉-跟随	点苍山
159	1208	490	7650	6700	43		1				段芙蓉-任务	临安驿道
160	1436	490	7650	6700	43				MoveAndDelete	layd_dfr1	段芙蓉-移动	临安驿道
161	1233	406	7440	6700	48		1				村民-任务	响水洞
162	1234	406	7440	6700	48						村民-表现	响水洞
163	1163	406	7600	13900	32		1				樵夫-任务	响水洞
164	1432	406	7600	13900	32				MoveAndDelete	xsd_qf1	樵夫-移动	响水洞
165	1235	493	3000	3330	32		1				华山弟子-任务	华山密道
166	1236	493	3000	3330	32						华山弟子-表现	华山密道
167	1239	406	10200	9900	22		1				少林弟子-任务	响水洞
168	1240	406	10200	9900	22						少林弟子-表现	响水洞
169	1241	406	9460	9370	43		1				孩童-任务	响水洞
170	1242	406	9460	9370	43						孩童-表现	响水洞
171	1243	406	9350	10850	11		1				无智-任务	响水洞
172	1244	406	9350	10850	11						无智-表现	响水洞
173	1163	493	5500	6400	23		1				樵夫-任务	华山密道
174	1164	493	5500	6400	23						樵夫-表现	华山密道
175	1250	493	3600	5700	23			1			樵夫-跟随	华山密道
176	1058	493	5750	6500	39						篝火-表现	华山密道
177	1163	493	3600	4000	23						樵夫-表现	华山密道
178	1432	493	3470	3230	23				Move	hsmd_qf1	樵夫-移动	华山密道
179	1235	491	2200	3750	17		1				华山弟子-任务	华山
180	1236	491	2200	3750	17						华山弟子-表现	华山
181	1261	406	10200	9900	35			1			少林弟子-跟随	响水洞
182	954	498	3860	3020	47						纳兰潜凛-表现	悲魔山庄
183	721	400	8060	8100	32						纳兰真-表现	锁云渊
184	1106	402	6060	3870	43				Move	yds_zx1	紫轩-移动	雁荡山
185	1311	488	7450	9870	34				MoveAndDelete	wyp_zl2	张林-移动	武夷剑派
186	1168	489	3300	5960	48						张林-表现	武夷禁地
187	1433	493	2370	3600					Move	hsmd_hsdz1	华山弟子-出现	华山密道
188	1433	493	3000	3330					MoveAndDelete	hsmd_hsdz2	华山弟子-离开	华山密道
189	1160	486	3200	4550	47		1				卢青-任务	衡山脚下
190	1161	486	3200	4550	47						卢青-表现	衡山脚下
191	1173	405	6170	13710	22		1				周小富-任务	点苍山
192	1215	405	6170	13710	22				MoveAndDelete	dcs_zxf2	周小富-移动	点苍山
193	1310	487	7250	6570	45				Move	jhd_wydz1	武夷派弟子-任务	九猴洞
194	1310	487	6780	6540	45				MoveAndDelete	jhd_wydz2	武夷派弟子-表现	九猴洞
195	1166	488	7450	9870	34		1				张林-任务	武夷剑派
196	1168	488	7450	9870	34						张林-表现	武夷派
197	1166	489	3300	5960	48		1				张林-任务	武夷禁地
198	1311	489	3300	5960	34				MoveAndDelete	wyjd_zl1	张林-移动	武夷剑派
199	1166	489	770	1120	15		1				张林-任务	武夷禁地
200	1168	489	770	1120	15						张林-表现	武夷禁地
201	1208	490	2700	7200	22		1				段芙蓉-任务	临安驿道
202	1209	490	2700	7200	22						段芙蓉-表现	临安驿道
203	725	484	2870	2420	60				Move	wyxw_nlz1	纳兰真-入屋	忘忧岛小屋
204	725	484	2000	3200	24				MoveAndDelete	wyxw_nlz2	纳兰真-出屋	忘忧岛小屋
205	725	484	2870	2420	60				Move	syyxw_nlz1	纳兰真-入屋	锁云渊小屋
206	725	484	2120	3150	24				MoveAndDelete	syyxw_nlz2	纳兰真-出屋	锁云渊小屋
207	1342	484	2640	2420	55				Move	syyxw_nlql1	纳兰潜凛-入屋	锁云渊小屋
208	1342	484	1830	3140	24				MoveAndDelete	syyxw_nlql2	纳兰潜凛-出屋	锁云渊小屋
209	721	400	4050	8670	41						纳兰真-表现	锁云渊
210	1343	400	4830	8970	43				Move	syy_yyf2	杨影枫-移动	锁云渊
211	724	499	2150	3400	0			1			纳兰真-跟随	离忧山洞
212	1081	499	1890	3370	0			1			杨影枫-跟随	离忧山洞
213	730	499	5110	2300	17		1				杨影枫-任务	离忧山洞
214	1343	499	5110	2300	17				MoveAndDelete	lysd_yyf1	杨影枫-出洞	离忧山洞
215	721	481	2940	3120	0						纳兰真-表现	忘忧谷小屋
216	724	485	800	880	14			1			纳兰真-跟随	忘忧谷
217	731	481	2740	3190	7						杨影枫-打坐	忘忧谷小屋
218	1081	485	1220	700				1			杨影枫-跟随	忘忧谷
219	725	481	3190	2120	7				Move	wygxw_nlz1	纳兰真-移动	忘忧谷小屋
220	725	481	3100	2900					Move	wygxw_nlz2	纳兰真-移动	忘忧谷小屋
221	1343	481	2790	2100	7				Move	wygxw_yyf1	杨影枫-移动	忘忧谷小屋
222	1343	481	2550	2510					Move	wygxw_yyf2	杨影枫-移动	忘忧谷小屋
223	724	481	2940	3120				1			纳兰真-跟随	忘忧谷小屋
224	1081	481	2740	3190				1			杨影枫-跟随	忘忧谷小屋
225	725	1000	8350	5000	49				MoveAndDelete	wyd_nlz1	纳兰真-移动	忘忧岛
226	1343	1000	5240	5800	16				MoveAndDelete	wyd_yyf1	杨影枫-移动	忘忧岛
228	1343	1000	8350	5000	34				MoveAndDelete	wyd_yyf4	杨影枫-移动	忘忧岛
229	1343	403	5580	4050	21				MoveAndDelete	dth_yyf1	杨影枫-移动	洞庭湖
230	1343	403	5940	8000	27				MoveAndDelete	dth_yyf2	杨影枫-移动	洞庭湖
231	1098	403	5750	12080	47		1				蔷薇-任务	洞庭湖
232	1108	403	5750	12080	47			1			蔷薇-跟随	洞庭湖
233	1210	498	4085	3015	49		1				铁云-任务	悲魔山庄
234	1211	498	4085	3015	49			1			铁云-表现	悲魔山庄
235	1005	1000	7130	3560	56		1				月眉儿-任务	忘忧岛
239	1094	495	1680	4680	30			1			杨影枫-跟随	无忧禁地
240	1108	495	1260	4730	30			1			蔷薇-跟随	无忧禁地
241	730	495	9400	5450	14		1				杨影枫-任务	无忧禁地
242	1094	495	9400	5450	14			1			杨影枫-跟随	无忧禁地
243	1091	496	8481	9932	36		1				紫轩-任务	摘星楼
244	1156	496	8481	9932	36			1			紫轩-跟随	摘星楼
245	1106	496	1800	3560	45				MoveAndDelete	zxl_zx1	紫轩-移动	摘星楼
246	1094	496	1600	3700	14			1			杨影枫-跟随	摘星楼
247	1108	497	7979	6922	48			1			蔷薇-跟随	飞龙堡
248	1081	498	2210	3000	36			1			杨影枫-跟随	悲魔山庄
249	725	498	7000	3100	49		1		MoveAndDelete	bmsz_nlz1	纳兰真-移动	悲魔山庄
250	1281	498	6800	2950	49				MoveAndDelete	bmsz_qw1	蔷薇-移动	悲魔山庄
251	725	498	7600	3000	49				MoveAndDelete	bmsz_nlz2	纳兰真-移动	悲魔山庄
252	730	498	6000	8550	48		1				杨影枫-任务	悲魔山庄
253	1095	498	6000	8550	48						杨影枫-表现	悲魔山庄
254	721	498	5380	8780	28						纳兰真-表现	悲魔山庄
255	1092	498	5770	8800	38						紫轩-表现	悲魔山庄
256	1099	498	5770	8370	54						蔷薇-表现	悲魔山庄
257	1006	498	5400	8360	7						月眉儿-表现	悲魔山庄
258	1081	497	2700	2100	36			1			杨影枫-跟随	悲魔山庄
259	1165	480	6780	6540	45		1				武夷派弟子-任务	九猴洞
260	1167	480	6780	6540	45						武夷派弟子-表现	九猴洞
261	1310	480	7250	6570	45				Move	jhd_wydz1	武夷派弟子-任务	九猴洞
262	1310	480	6780	6540	45				MoveAndDelete	jhd_wydz2	武夷派弟子-表现	九猴洞
263	1433	491	2200	3750					MoveAndDelete	hsp_hsdz1	华山弟子-离开	华山
264	1433	491	3200	5550					Move	hsp_hsdz2	华山弟子-出现	华山
265	1434	491	8050	7520			1				华山长老-任务	华山
266	1435	491	8050	7520							华山长老-表现	华山
267	1436	490	2700	7200	43				MoveAndDelete	layd_dfr2	段芙蓉-移动	临安驿道
268	1437	491	2500	7930							顽猴	华山
269	1437	491	3600	7900							顽猴	华山
270	1438	491	2500	7930					MoveAndDelete	hsp_hz1	顽猴	华山
271	1438	491	3600	7900					MoveAndDelete	hsp_hz2	顽猴	华山
272	1264	491	3200	8890							落叶堆	华山
273	1440	408	7480	8530	32		1				严将军-任务	剑门关
274	1441	408	7480	8530	32						严将军-表现	剑门关
275	1443	408	16300	12222	47		1				茅山道长-任务	剑门关
276	1452	408	16300	12222	47			1			茅山道长-跟随	剑门关
277	1443	408	7870	7750	29		1				茅山道长-任务	剑门关
278	1445	408	7870	7750	29				MoveAndDelete	jmg_msdz1	茅山道长-移动	剑门关
279	1442	408	7480	8530	43				MoveAndDelete	jmg_yjj1	严将军-移动	剑门关
280	1442	479	1550	1260	0				MoveAndDelete	gzc_yjj1	严将军-移动	古战场
281	1440	479	1550	1260	0		1				严将军-任务	古战场
282	1441	479	1550	1260	0						严将军-表现	古战场
283	1440	479	5430	2000	0		1				严将军-任务	古战场
284	1441	479	5430	2000	0						严将军-表现	古战场
285	1077	408	5000	5500	50		1				绿林头领-任务	剑门关
286	1078	408	5000	5500	50						绿林头领-表现	剑门关
287	1068	408	13370	11100	44		1				村民-任务	剑门关
288	1090	408	13370	11100	44			1			村民-跟随	剑门关
289	1442	479	5430	2000	0				MoveAndDelete	gzc_yjj2	严将军-移动	古战场
290	1457	408	8000	8580	0			1			士兵-跟随	剑门关
291	1453	408	7170	8150	33				Move	jmg_sb1	士兵-移动	剑门关
292	1453	408	7390	7130	35				Move	jmg_sb2	士兵-移动	剑门关
293	1453	408	8500	7000	47				Move	jmg_sb3	士兵-移动	剑门关
294	1453	408	8000	8600	35				Move	jmg_sb4	士兵-移动	剑门关
295	1453	408	7550	7780	0				MoveAndDelete	jmg_sb5	士兵-移动	剑门关
296	1453	408	7650	7400	0				MoveAndDelete	jmg_sb6	士兵-移动	剑门关
297	1453	408	8130	7360	0				MoveAndDelete	jmg_sb7	士兵-移动	剑门关
298	1453	408	8000	8000	0				MoveAndDelete	jmg_sb8	士兵-移动	剑门关
299	1453	408	7170	8150	33						士兵-表现	剑门关
300	1453	408	7390	7130	35						士兵-表现	剑门关
301	1453	408	8500	7000	47						士兵-表现	剑门关
302	1453	408	8000	8600	35						士兵-表现	剑门关
303	1453	479	6000	2640	40				Move	gzc_sb1	士兵-移动	古战场
304	1453	479	4900	2600	23				Move	gzc_sb2	士兵-移动	古战场
305	1453	479	4960	1730	6				Move	gzc_sb3	士兵-移动	古战场
306	1453	479	5830	1420	53				Move	gzc_sb4	士兵-移动	古战场
307	1454	479	5400	2900	34				Move	gzc_smr1	神秘人-移动	古战场
308	1454	479	5390	2380	34				MoveAndDelete	gzc_smr2	神秘人-移动	古战场
309	720	400	4050	8670	41		1				纳兰真-任务	锁云渊
310	1343	402	2800	2800	15				MoveAndDelete	yds_yyf1	杨影枫-移动	雁荡山
311	1629	403	5850	7710	57		1				蔷薇-任务	洞庭湖
312	1632	403	5850	7710	57			1			蔷薇-跟随	洞庭湖
313	1646	411	14400	12060	44		1				白衣少女-任务	伏牛山
314	1647	411	14400	12060	44						白衣少女-表现	伏牛山
315	1648	411	9340	9000	49		1				顾清雪-任务	伏牛山
316	1649	411	9340	9000	49						顾清雪-表现	伏牛山
317	1276	411	12700	14100	0						采集	伏牛山
318	1658	411	4050	14300	30			1			云笑风-跟随	伏牛山
319	1650	411	10500	14100	34		1				云笑风-任务	伏牛山
320	1651	411	10500	14100	34						云笑风-表现	伏牛山
321	1650	411	7130	14120	35		1				云笑风-任务	伏牛山
322	1651	411	7130	14120	35						云笑风-表现	伏牛山
323	1652	411	4050	14300	30		1				阿邦-任务	伏牛山
324	1653	411	4050	14300	30						阿邦-表现	伏牛山
325	1659	411	5600	9540	41			1			阿邦-跟随	伏牛山
326	1661	411	5300	5000	35			1			杨瑛-跟随	伏牛山
327	1652	411	7660	9240	35		1				阿邦-任务	伏牛山
328	1653	411	7660	9240	35						阿邦-表现	伏牛山
329	1654	411	6900	3180	0		1				杨瑛-任务	伏牛山
330	1655	411	6900	3180	0						杨瑛-表现	伏牛山
331	1654	411	5300	5000	35		1				杨瑛-任务	伏牛山
332	1655	411	5300	5000	35						杨瑛-表现	伏牛山
333	1654	411	14220	8770	47		1				杨瑛-任务	伏牛山
334	1655	411	14220	8770	47						杨瑛-表现	伏牛山
335	1656	484	1610	3080	21		1				独孤剑-任务	伏牛山
336	1657	484	1610	3080	21						独孤剑-表现	伏牛山
337	1656	411	13430	3480	51		1				独孤剑-任务	伏牛山
338	1657	411	13430	3480	51						独孤剑-表现	伏牛山
339	1068	411	9800	11550	38		1				村民-任务	伏牛山
340	1234	411	9800	11550	38			1			村民-表现	伏牛山
341	1651	411	4140	13950	55						云笑风-表现	伏牛山
342	1651	411	7950	9200	33						云笑风-表现	伏牛山
343	1654	411	14420	7020	47		1				杨瑛-任务	伏牛山
344	1655	411	14420	7020	47						杨瑛-表现	伏牛山
345	1662	411	13430	3480	51			1			独孤剑-跟随	伏牛山
346	1764	411	14200	5100	32				MoveAndDelete	fns_dgj1	独孤剑-移动	伏牛山
377	1233	15	7820	8720	32						城中居民-表现	临安城
378	1945	15	7820	8600	0						城中居民-表现	临安城
379	1236	15	6870	15820	41						武林人士-表现	临安城
380	1240	15	6730	15700	8						武林人士-表现	临安城
800	1667	10	17720	12650	52						小缘-表现	襄阳
801	1679	801	4600	950	49				Move	yfg_tt1	挺哥-移动	玉枫谷
802	1679	801	3600	1000					MoveAndTalk	yfg_tt2|小缘…我会珍惜你，保护你。	挺哥-移动	玉枫谷
803	1678	801	2400	950	18				MoveAndTalk	yfg_yy1|终于等到你，还好我没放弃。	小缘-移动	玉枫谷
804	1685	10	17720	12650	52		1				小缘-任务	襄阳
805	1679	801	4600	950	49						挺哥-表现	玉枫谷
