nDialogId	szDialogIndex	nLookNpcTemplateId	nNpcTemplateId	szNpcSay	szPlayerSay	szStoryBefore	szStoryAfter	nSoundId	szAction
13	13				（大侠？这是什么意思？）我初出江湖不久，又岂能当得起「大侠」二字？				
13	13		1340	（拍了拍胸口）不是就好，姥姥教我们医术，我们发誓，绝不医治所谓大侠。赤心花就在前方悬崖，你若是要去采，可千万要小心。					
13	13				（真是奇怪，为什么他们对大侠有这么奇怪的见解，算了，先不管了）多谢殷姑娘！				
13	13		1340	嗯嗯，你快点去吧，回头要记得来我这里玩哦！					
15	15				胡神医，赤心花已经采来，不知道药水……				
15	15		417	拿来，其他的药早就准备完毕了，就差这一味主药了，成了！拿去拿去！					
15	15				多谢胡神医！纳兰姑娘，一切都已经准备就绪了！				
15	15		413	谢谢你，我们这就出发吧！					happy
17	17		413	实在是辛苦你了，我这便去调配药膏。					
17	17				嗯，先前多亏了小童告诉我赤心花的所在，我得去向她道谢。				
18	18		1340	啊，$N，你这么快就回来啦？					
18	18				小童，我是专程来向你道谢的，多谢你告诉我赤心花的位置。说起来，你和你姥姥为什么这么讨厌大侠？				
18	18		1340	就在半年前，我和爹爹妈妈隐居在一个靠山的镇上，过着与世无争的日子，他们都很疼我。可惜他们终究出身五毒教。后面爹爹一个五毒教故友遭人追捕，逃到镇上，爹妈收留了他。					
18	18		1340	最终还是让仇家给知道了，所谓的白道大侠追来，母亲护着当时我们兄妹逃跑，父亲留下断后，却被乱剑捅成了刺猬。后来母亲也在关帝庙前因箭创发作，大出血而亡。呜呜，呜呜...妈妈...					
18	18		1340	后来一同逃亡的丑姥姥救了我们，教我们医术，告诉我们所谓大侠，不过是靠击败的人多得的名声，哪个手上沾的人血多，哪个就是大侠！哼！					
18	18				（原来如此……）小童，你要记住，世上无论是什么身份的人，都有善恶之分，都有迫不得已的时候，绝非一言就可定罪的。				
18	18		1340	哼，我才不信呢，什么迫不得已，世上的人都一样自私，说到底都是为了自己，牺牲其他人罢了！					
18	18				小童姑娘，有朝一日，你或许会明白……等等，追捕，是了！那一日的朝廷将军如今怎么样了！糟糕！我忘了这事！得赶紧去问问！				
19	19				大人！不知大人可曾知晓……				
19	19		91	哦？近日里也有不少像你一样的武林人士参军，你看起来武功底子不错，你可是前来报名的？					
19	19				大人！请听我一言！我有一事想要询问，不知道严大将军如今在哪？				
19	19		91	你认得严将军？他之前上战场遇伏，受了伤，如今在家中好生休养，暂时没来这战场，所以金军才如此气焰嚣张！哼！					
19	19				真是可恶！果然是他们下的黑手！刘大人，请让我前去和他们一战！				
19	19		91	好！有志气！上了战场，刀枪无眼，你自己小心！去吧！					
20	20		91	哦？你回来了？怎么样？没受伤吧？					
20	20				沙场果真凶险万分，危险异常！武功再高，双拳也难敌四手！日后若真是上了战场，我一定会加倍小心！				
20	20		91	嗯，年轻人，江湖固然逍遥自在，然国若不在，何以为家？希望有朝一日你能够成为国之栋梁！					
21	21				纳兰姑娘！总算是找到你了！杨兄伤势如何了？				
21	21		413	$N你从战场回来啦？怎么样、没受伤吧？我可担心你了！杨大哥的伤势好多了，多亏你帮我找到了银丝草！不过现在还需要一些药草持续调理，小殷方正要替我去找。					
21	21				好……小殷方！你……你怎、怎么离开忘忧岛了！胡闹！这附近似乎不太安定，还是我来帮你找吧！				
21	21		578	哼！整日待在忘忧岛实在是太无趣啦！童儿整日就知道研究医经，一点意思都没有，难得有机会出来，怎么能放过呢！					
21	21		413	好啦好啦，我还得熬药，就劳烦$N带着小殷方一起去找吧，附近有个商人叫万金财，不知道他如今是否还在锁云渊，他手上有许多药材，你帮我去找他问问吧！					
21	21				好吧……				
22	22				在下$N，敢问阁下是否万金财？				
22	22		1380	（愁眉苦脸）唉，正是，你找我有什么事吗？					
22	22				实不相瞒，在下有一位朋友得了重伤，需要这张药材单上的药材，不知……				
22	22		1380	（看了一眼你手中的药单）都是些稀松平常的药材，药材、药材！别给我提药材！我辛辛苦苦采摘的血牡丹都被马贼给抢走了！你要是能替我找回来！这些东西我送你又如何！					
22	22				此事恐怕……				
22	22		578	（打断你的话）一言为定！胖子你可别出尔反尔，打马贼我俩最拿手了！你准备好药材等着我们回来吧！					
22	22				（这臭小子……）既然如此，就请万兄在此静候片刻。				
23	23				这些应当就是万金财遗失的货物，走，趁着附近没人，赶快搬走！				
23	23		578	真没意思！马贼怎么都不见了！唉！没意思没意思！					
23	23				小声点小声点！别大声嚷嚷……万一引来……				
23	23		1749	站住！你们竟然敢打我们黑风寨的东西的主意？找死不成？弟兄们！上！					
23	23		578	$N！我、我这就去搬东西！接下来就看你的了！					
23	23				好了好了！不必担心，我本来也打算教训教训这些马贼，你就跟在我身边，别跑太远！				
24	24		1749	小爷饶命啊！我们下次再也不敢了！我们也是迫不得已的啊！					
24	24		578	哼！看在你们有悔改之心的份上，滚吧！记住，小爷叫殷方！					
24	24				（这小子还真是有模有样的……唉，谁让他是我的救命恩人呢……）				
25	25		578	哎哟哎哟，东西好沉，嘿嘿，刚才幸亏有你，你的武功真厉害！什么时候教我两手啊？					
25	25				好了好了，我们快回去找那个胖子拿药吧！				
26	26		1380	你们真的找回来了！少侠，请恕在下眼拙，想不到阁下竟能以一人之力对付这么多马贼……$F果然名不虚传！					
26	26				多谢夸奖，等等……万兄是怎么知道我是$F门下？				
26	26		1380	咳咳，阁下的武器独具一格，一眼便知，好了好了，不谈这个了，这些药草是我给你的报酬，日后你若是也想赚些盘缠，不妨来襄阳城找我。老万我就先行告辞了！					
26	26				（这个胖子莫非是故意施计让我们帮他的？此人不简单……）若有机会，自当拜访。				
27	27		413	你回来啦？走吧走吧！杨大哥刚刚醒来不久，我们一起进屋看看他！					
27	27		414	（眼珠一转）你们去吧！出来这么久，我准备回忘忧岛了，就不进去啦！					
27	27				（咦？这个顽皮小子转性了？竟然这么快就愿意回去了）那你一路小心！纳兰姑娘，我们走吧。				
28	28				这屋子……				
28	28		413	嘻嘻，怎么样？是不是和忘忧岛的一模一样？我可是精心布置了许久呢！					
29	29	415			杨兄，数日不见，你精神了许多啊！看你已能够下床行走，莫非伤势已好得差不多了？				
29	29		415	唉，内伤虽愈，却内力全失，如今成了一个废人，不但旧仇难报，即使在九泉之下，也无颜见爹爹，更别说什么天下第一了…					sad
29	29				杨兄，内伤既然能够痊愈，内力未必便不能恢复过来，				
6029	6029		413	你们好好聊一聊，也许爹爹能治好杨大哥的伤，我得回家找爹爹来。					
30	30		719	你们相谈甚欢，杨影枫与你讲述了一些儿时的趣事，约莫半个时辰过后，屋外传来一阵爽朗的笑声……					
6030	6030		954	能让我这个天不怕地不怕的女儿另眼相看的人，我倒是第一次遇到，哈哈哈……					
6030	6030		413	爹！你再说我可要生气了！杨大哥，我爹为你看病来了！					
6030	6030		415	在下杨影枫，见过纳兰前辈！					
6030	6030		954	不必多礼，让我来看看你的伤势，你只需全身放松即可。					
31	31		719	纳兰岛主将手搭于杨影枫的手腕，片刻之后，他眉头微蹙，将手收了回去……					
31	31		954	唉……恕我直言，杨公子所受的内伤极重，加上在海里浸泡过久，以至于冷热相抗导致真气逆行，导致内力全失，要想恢复功力恐怕是没有希望了。					
31	31		415	如此……多谢前辈。					sad
31	31		413	爹！杨大哥，你不要难过，你的病……也未必如我爹所说的那般绝对。对了，爹！我们的无忧神功不是可以恢复真力的吗？你可以传授……					
31	31		954	不行！难道你忘了本教武功，从来不外传的教规吗？！我先回去了，你不许胡闹！不过世事无绝对，机缘巧合之下恢复功力也不是没有可能的。杨公子，你好生休养吧，我先回去了。					
6031	6031		413	爹，你别走啊！爹！					
32	32		413	杨大哥，你不要太难过，也许，也许…… 					
32	32		415	姑娘不必为在下担心，在下很清楚自己目前的状况，你爹说得对，世事无绝对，只要有一线机会，我都不会放弃！					
32	32		413	不行！我要再去找爹！你等我一会，一定会有办法的！					
32	32		719	纳兰真追出了屋子					
6032	6032				杨兄……				
6032	6032		415	不必多说，你的好意我知道。我有些累了，想休息一会。 					sad
6032	6032				……那我也先出去看看纳兰姑娘。				
33	33				纳兰姑娘，事情可有转机？				
33	33		413	唉，爹不同意将武功传给杨大哥，杨大哥他怎么样了？他受到这么大的打击，心情一定很不好，我们快去看看他吧。					
34	34		413	杨大哥！杨大哥哪里去了？！他心情如此不稳定，我得出去看看！					
34	34				纳兰姑娘莫要心急，我跟你一块去找他！				
35	35		413	杨大哥！ 					
36	36		413	杨大哥，晚上天气很凉，你怎么一个人跑到外面来了。伤还没痊愈，当心着凉。我们发现你不在屋里，还以为…… 					
36	36		415	真儿，我心情不好，所以出来走走，没想到会让你担心。真儿，你是不是觉得我很怪？你可知我因何流落此地？ 					
36	36		415	唉，我初涉江湖，认识了一个人，原以为志同道合，便结为异姓兄弟。谁知因为一件偶然之事，我发现这位义兄竟是一个道貌岸然的伪君子。					think
36	36		415	我这位义兄，身为藏剑山庄的庄主，在中原武林声名显赫，可他为了得到一本武林秘笈，不择手段，害死人命，我找他当面对质，他为了掩盖自己的丑行，竟然把我打落悬崖灭口。 					
36	36		413	啊？竟有这种事！怎么会这样……					
36	36				（藏剑山庄庄主？想不到名门大派竟然也会有这种无耻败类！）				
36	36		415	后来，我大难不死，被你救下，总算拣回一条小命。我爹爹希望我成为天下第一高手。为了这个目标，我十年苦练，总算小有成就，可没想到如今，已经功力尽失，哎！还谈什么天下第一呢。					sad
36	36		413	杨大哥，你不要灰心，天将降大任于斯人也，必先苦其心智，我相信上天不会让你白白吃苦的。杨大哥，走，我带你到一个好玩的地方去。					
37	37		415	真儿，这里的入口这么隐秘，到底是什么地方？					
37	37		413	无忧教的禁地！告诉你吧，我爹每到月圆之夜，涨潮之时，总要独自到教中禁地里去，我想他定是在练无忧神功，你可以和我一起前往，暗中观摩学习无忧神功，好治疗内伤！					
37	37		415	这个……似乎不妥吧？真儿，擅闯禁地不好，万一被你爹发现了会怪罪于你。					think
37	37		413	怕什么，不用担心，我爹向来疼我，即使被发现了，也不会对我怎么样的。我偏要带你进去，里面危险重重，你若是这么迂腐，不跟我进去，大不了我自己去！					
37	37				杨兄，看来是没别的办法了，总不能眼睁睁的看着纳兰姑娘步入险境，走吧！				
39	39				杨兄，你也知道武道德经？				
39	39		415	唉，都怪我太过吃惊，一时没留神，此话暂且不提，你我分开去找真儿吧！					blush
39	39				也对，那我们快些出发吧！				
39	39		414	哎呀！你们总算出来了！我刚才看到真儿姐姐跑到那边去了！					
39	39				小殷方？你怎么会在这里？你……难道一直偷偷跟着我们？				
39	39		414	（嘟嘴）哼，我倒是想跟着你们，可是那个禁地里面的机关好生厉害，我躲不过去，只能在外面等你们啦，没想到看到真儿姐姐一出来就跑了！					
39	39		415	此地马贼众多，恐怕不太安全，不能将殷方一个人留在此处，他就交给你了，我们得赶快找到真儿！					
39	39				好吧……小殷方，你跟着我，莫要走丢了！				
40	40				在下$N，乃是$F弟子，不知各位是否见过一位身穿蓝衣的姑娘经过？				
40	40		1748	嘿嘿嘿，当然见到了，那妞儿可真是标致，啧啧啧，不过可惜被我们老大看中了，如今只怕已经……					
40	40		414	放屁！纳兰姑娘岂是你们这群渣滓能够降伏的住的？看小爷怎么教训你们！					
40	40				你这小子……唉，不过他们的嘴着实有些脏，教训教训他们倒也无妨！				
41	41		1748	哎哟，大侠！我们错了！求你饶了我们吧！都是小人的错，小人不该胡言乱语，小人看见那个蓝衣姑娘往那边去了！					
41	41		414	哼，知道殷小爷的厉害了吧！滚吧！再有下次，休怪我手下无情！					
41	41				好了好了，小殷方，赶快走吧，我们得赶快找到纳兰姑娘！				
42	42				纳兰姑娘！				
42	42		415	真儿！$N，没想到你我竟然几乎是同时抵达……					
6042	6042		413	呜呜呜，爹爹从未对我如此凶恶过……					
6042	6042		415	真儿，不要伤心了……					
6042	6042		413	杨大哥，$N，我小时候没人陪我玩，就一个人四处乱跑，结果发现了一个秘密的地方，只有我一个人知道，我们不如去看看。					
6042	6042		415	……（这个真儿，可真够淘气的！）真儿，那个神秘的地方在哪里？ 					happy
6042	6042		413	去到那里你们就知道了。走吧！					
6042	6042		414	我也要去我也要去！					
6042	6042				（无奈）小殷方，你到底要跟我们跟到什么时候？				
6042	6042		414	那个……$N，我不想走啦，我想和你闯荡江湖！你带上我一块好不好？					
6042	6042				不行！闯荡江湖何等凶险，你年纪尚小……				
6042	6042		414	哼！就知道你会找这个借口，我自小苦练剑法，就是为了与人结伴行走江湖，你若是不答应，我就不回去了！大不了死在这里了！唉，反正救人一命也不是什么大事……					
6042	6042				……（臭小子）你听我说……				
6042	6042		719	经过一番讨价还价，威逼利诱，舌枪唇剑……小殷方最终还是说服了你，从此之后，你就有一个无论风雨都与你一同前行的小同伴了！					
43	43		413	没错没错！想不到过了这么多年这里还是这个样子，阴风阵阵的，和我当年来的时候一模一样，不过这回我不会害怕啦！因为有[FFFE0D]$N[-]和影枫哥哥在我身边！		洞中杂草和蔓藤丛生，经过一小段曲折的小道，终于进入了漆黑的洞窟，四周阴风猎猎，仿佛连身边的温度都随之下降……			
43	43		415	（沉默片刻）走吧，我们去前面看看，这洞中究竟有什么！					think
45	45		415	这……你我应当去救真儿还是先告诉岛主呢？不行！我可不能丢下真儿不管！					
45	45				（咬牙）说的是！纳兰姑娘救你我性命，岂可置她于不顾？走！我们下去！				
46	46		413	$N！$N！你没事吧？		你觉得自己的身体不断地下坠，耳边的风呼啸而过，似乎坠落了相当长的一段时间，最后摔落在一片青翠的草地上……			
46	46				（你动了动，发现全身颇为疼痛，但并无大碍）这里到底是什么地方？你们怎么样了？				
46	46		413	我没什么事，但是……杨大哥内力尽失，无法施展轻功，可还是为了我奋不顾身的跳了下来……					
46	46		415	真儿，$N，别担心，我没事。这里……倒是别有洞天，好像是个风景优美的盆地。刚才山洞里的秘道恐怕是人工所为，里面怕是有机关！					think
46	46		415	我们是从这里掉下来的，可是洞口这么高，看来很难上去。我们再找找看有没有别的路口。					
47	47		413	这里有一间茅屋！说不定有人住在里面！请问有人在家吗？					
47	47		415	在下杨影枫，偶入贵地，特来讨杯水喝！					cool
47	47		413	怎么没人答应？不如我们进去看看！					
6049	6049		413	啊！骷髅……					
6049	6049		415	别怕，真儿。只是……这人为何死得这般凄凉！我总觉得这一定隐藏着什么秘密！我们四处看看有什么古怪。					
48	48		413	咦？这房子看上去好像很久没有人居住了！					
48	48				杨兄，你我四处查看一番吧，千万要小心，说不定屋中有什么机关！				
49	49				纳兰姑娘，杨兄，这里有一张丝帕！				
49	49		413	杨大哥，我们快去看看！					
49	49				咦？上面好像写有字……				
50	50		413	杨大哥，$N，这真是天赐良机！只要你们拜他为师，答应替他报仇，就可以练习神功啦！		手帕书：余识人不明，为徒所害，逃至此处，武功尽失，十年苦修，终于创出神功蚀骨血仞，不但武功尽复，而且大有增长，奈何大限已到，不能手刃恶徒，特留此神功，得此神功者，便为我弟子，须发誓为师报仇，清理门户。			
50	50				不必了，我身怀上乘内功心法，如今尚未大成，无法修习其他门派的武功，这武功倒是十分适合杨兄！				
50	50		415	（此等欺师灭祖之人，即使没有神功，被我碰上，也万万饶他不得，此事并无不妥之处。）师父，徒儿定不会饶过那欺师灭祖之人，徒儿定会为你报仇雪恨！					think
50	50		413	恭喜影枫哥哥机缘巧合，拜得名师！早日治好内伤，练成神功，报仇雪恨！					
50	50				方才我们掉下来的洞口才是唯一的出口。杨兄内力尚未恢复，现在的功力绝无可能上去，只有先修炼武功，提高功力。（杨兄在修炼，我再看看屋中还有什么吧！）				
50	50		413	好，等影枫哥哥功力回复了我们再出去。					
50	50		719	杨影枫开始潜心修炼丝帕上的蚀骨血仞神功……					
51	51				咦？这里又有一张丝帕！上面也有字，好像是同一个人的笔迹……				
51	51		415	什么？师父还留有其他的书信？					
51	51				原来这位前辈名叫月重天，乃无忧教的教主，膝下有一女名月明瑶，并收两名徒弟，一个叫上官飞龙，为人忠厚，纳于言词，另一个叫玉潜凛，聪明伶俐，却心怀奸诈。				
51	51				由于那玉潜凛善于讨人欢心，天长日久，月重天终于为其所蒙蔽，不但将武功倾囊相授，而且不顾女儿与上官飞龙的深厚感情，强将女儿许配于玉潜凛，使上官飞龙黯然离去……				
51	51				从此之后月重天对玉潜凛更加看重，甚至连教中之事都交由其处理，那玉潜凛便趁此机会笼络人心，培植势力，逐渐的夺取教中的大权。终于在月重天闭关的时候，那玉潜凛的野心爆发了。				
51	51				他不但一举夺取了教主之位，更带来一大群人来欲置月重天于死地，月重天武功盖世，虽身受重伤，却也冲出重围，来到此处，由于此处乃是月重天的秘密避难所，终于逃过那叛徒的追捕。				
51	51				纳兰姑娘？你怎么了，你不舒服吗？为何脸色如此苍白？				
51	51		413	玉潜凛……就是我爹，玉是他当教主前的姓。不！我爹不是这样的人！他绝不是忘恩负义之辈……					
51	51		415	真儿，你不要着急，如今我武功初成，我们回去找你爹问个明白就是。					
52	52		415	真儿，我就在这里等你吧，丝帕给你。					
52	52		413	好吧。					
52	52				（看来杨兄是担心万一真相确实如此，不好收场）纳兰姑娘，我陪你一块去吧。				
53	53		954	真儿，你没事吧！回来就好，回来就好！这些天你去哪里了？没有伤着吧！还是有人欺负你？告诉爹爹！爹天天都在找你，这忘忧岛的每一寸都被我搜了个遍！唉，我真担心你有个闪失……					
53	53		413	（把丝帕递给纳兰潜凛）爹爹……爹爹，女儿让你担心了！爹，你自己看吧……					
53	53		954	唉！十三年了，你都长得这么大了，有些事该让你知道了。当年你外公月重天修炼无忧教内功至第九层时走火入魔，猜疑心日益加重，后来性情变得极为暴虐，连败无忧教弟子数十人…					
53	53		954	于是教中之人迫于无奈才另选我为教主，我本想只废其内力，让其无法作恶，使他得以安享晚年，谁知他武功如此之高，被他逃去，我实无害死他之心，是他多疑了。					
53	53		413	爹爹，你说的是真的吗？你没有骗我吗？					
53	53		954	自然是真的，否则当年月教主又岂会将自己的亲生女儿下嫁于我？虽然爹也时常扪心自问，当年是否过于心狠，可是身为一教之主，我焉能循私包庇？！					
53	53				（沉吟片刻）若真是如此便好，先前差些错怪了岛主，实在抱歉，那我就先告辞了。				
53	53		413	嗯，爹爹，我误会你了，你可千万不要生气，我这就去给你们做些点心！					
6054	6054				杨兄……				
54	54		719	你将纳兰潜凛所说原原本本的告诉了杨影枫					
54	54		415	既然中间尚有如此内情，那我也无话可说。对了，$N，如今我伤势恢复，准备去寻找一个人，你有何打算？					think
54	54				我暂无去处，杨兄，我帮你去找吧！多一个人多一份助力！				
54	54		415	如此甚好！那就多谢了！你我先去向他们道别，然后武夷山再会！					
54	54				好！				
55	55		415	真儿，我在岛上的日子也不短了，塞翁失马，焉知非福？这些日子多谢你陪伴我，解我烦忧，如今我的功力不仅已经恢复，而且大有长进，因此我想即刻返回中原。					sad
55	55		413	什么？你要回中原！ 					
55	55		415	真儿，自从被卓非凡打下山崖后，我无日无夜不在想着报仇，当初因功力全失，心灰意冷，现在练成神功，时机成熟，此仇不报非君子！我要把他的真面目公诸于世，一报堕崖之仇！ 					sad
55	55		413	我明白……影枫哥哥，你走了以后，还会记得我吗？还会回忘忧岛吗？影枫哥哥，你不要走了好吗？我真的舍不得你走呀，呜呜…… 					
55	55		415	真儿，如果有缘，我们自会有重逢的一天，对吗？对不起，真儿，我…… 					sad
55	55		413	唉，留得住你的人，留不住你的心。我明白……天色已经不早，你还是抓紧时间上路吧！影枫哥哥，你要记住，无论发生什么，我……总会在这里等你。卓非凡老奸巨猾，你要小心谨慎啊。					
55	55		415	我记住了，你放心吧！					
56	56				纳兰姑娘……				
56	56		413	$N……你也要走了是不是？我知道，你们是不会长久留在这儿的，你们要一路小心。					
56	56				纳兰姑娘，保重！				
57	57		415	你总算是来了，走吧！我们这就出发去找紫轩，紫轩性格柔和讨喜，你若见了，一定也会很喜欢她的！					
57	57				（看来杨兄对紫轩姑娘很是喜欢，恐怕纳兰姑娘……罢了，有情人终成眷属便好）那我们赶紧出发吧！				
58	58		1750	站住！前路是我开，前面有我们的弟兄们在干事，识趣点的就绕点路，否则就休怪我们不客气了！					
58	58				（皱眉）如今我们赶路正急，你们赶紧让开！杨兄你到前方先看看有什么好事！这些小贼我一人解决即可！				
58	58		415	好，你多加小心！					
59	59				杨兄，可曾发现什么？				
59	59		415	说来奇怪，前方什么事都没有发生，不知道他们阻拦你我所为何事，罢了，我们继续赶路吧。					
61	61		1626	多谢公子出手相助，只是我还有要事在身，就此别过了。日后若是有缘再见，必当相报！ 					
61	61				姑娘，你我都是江湖中人，不必多礼。				
61	61		1626	后会有期！					
62	62				江湖纷乱，像这位姑娘一样的漂亮女子最容易被盯上！				
62	62		415	江湖险恶，本该送她一程，但这位姑娘似乎不愿别人相助。我还是先去见紫轩吧！ 					
63	63				杨兄，这屋子似乎并没有人啊！				
63	63		415	紫轩怎么会不在家？我去问一下周围的乡民吧！					
64	64		415	兄台，请问你家东边那户人家的主人哪里去了？					
64	64		1068	你说的可是紫轩姑娘？她搬走了！这紫轩姑娘好生奇怪，几个月前突然搬来清平乡，前后不过几日，随后又匆匆搬走。					
64	64		415	搬走了？那姑娘可知她搬往何处？紫轩姑娘不是清平乡人吗？					
64	64		1068	当然不是。说不定是来清平乡避难的。					
64	64		415	多谢。等等，难道又是先前那些恶霸来骚扰她，所以她才迫不得已要搬走的？我记得他好像是叫贾少！不行，我得去看看！					
66	66				杨兄！总算是追上你了！				
67	67		415	唉，我方才看了一下，如今这群恶霸人数众多，动起手来怕是有些麻烦，这样，我来引开他们，你找一些恶霸问清楚贾少的位置，替我问个清楚！然后在前方会合！					
67	67				好！就这么办！				
68	68		1751	大爷饶命啊！					
68	68				说！贾少在什么地方！				
68	68		1751	（指了指地图）就在前方不远处，您饶过我们吧！					
69	69				说！是不是你掳走了紫轩？				
69	69		1009	饶命啊大侠！别别别别打了！自从上次被您教训了一顿，我哪儿还敢再去招惹紫轩姑娘啊？再说紫轩姑娘来这儿住了不到一年就走了！我对天发誓！真不是小人干的！					
69	69				这次就暂且放过你，若是让我发现你们胆敢撒谎，休怪我不客气！走！				
70	70				杨兄，我已经狠狠教训了贾少一顿，看来不是他们做的。				
70	70		415	唉，人海茫茫，紫轩呀，你到底在哪里？这里离藏剑山庄不远，干脆今晚我就去会会卓非凡好了。 					
70	70				卓非凡！杨兄也认识卓大侠？				
70	70		415	大侠？哼！若是我没有识穿他的嘴脸，我也以为他是个大侠！					
70	70				杨兄这话是什么意思？我和卓大侠在战场曾经有过一面之缘，他为国挺身而出……与我同门师兄师姐一起抗击敌人！				
70	70		415	放屁！此人心狠手辣，城府极深，一切都是为了利益，你还记得我在小幽谷中说的那个义兄吗？我说的正是他！我这一次来，就是为了找他报仇！					
70	70				什么？原来你说的那个阴险小人就是……等等！难道我受重伤的原因也是……杨兄！你我一同前去看看！若真是如此！我和他的仇也不小！				
70	70		415	好！我们一起上藏剑山庄！					
71	71				（想不到寻找了如此之久，紫轩姑娘竟是……）杨兄，你莫要难过，你这样真儿会担心你的。				
