nQuestionId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
38	《广陵散》常被作为“绝响”的代名词，据说是“竹林七贤”中谁的作品？	2	山涛	嵇康	阮咸	向秀
39	《红楼梦》中，大观园曾结海棠诗社。其中自号“潇湘妃子”的是	2	邢岫烟	林黛玉	薛宝钗	史湘云
40	“宁可食无肉，不可居无竹。无肉使人瘦，无竹使人俗。”是谁说的？	1	郑燮	徐渭	米芾	陶潜
41	下列中国古典诗歌的意象中，所表达的含义与其他三项相差较大的一项是	3	长亭	南浦	子规	杨柳
42	《三国演义》、《水浒传》、《西游记》并称“明代小说四大奇书”的是	2	《红楼梦》	《金瓶梅》	《封神榜》	《老残游记》
43	冲冠一怒为红颜”的诗句，出自下列哪个典故？	2	吕布与貂蝉	吴三桂与陈圆圆	乾隆皇帝与香妃	唐玄宗与杨贵妃
44	元代著名杂剧《西厢记》写崔莺莺和张生的爱情故事。它的作者是谁？	3	关汉卿	马致远	王实甫	董解元
45	杂剧《窦娥冤》的作者是哪位世界文化名人的作品？	3	屈原	李白	关汉卿	马致远
46	秦始皇统一全国后，也统一了天下的文字，统一后的文字是	3	金文	甲骨文	小篆	大篆
47	下列古代战役哪个不是以少胜多的？	4	秦晋淝水之战	曹袁官渡之战	燕齐即墨之战	秦赵长平之战
48	春秋五霸中哪位霸主最先称霸？	3	楚庄王	宋襄公	齐桓公	晋文公
49	提出“若使天下兼相爱，国与国不相攻，……则天下治”的先秦思想家是	3	老子	孔子	墨子	孟子
50	戏剧《长生殿》写的是	4	汉明帝与赵飞燕	后羿与嫦娥	唐高宗与武则天	唐明皇与杨玉环
51	道教全真派的创始人是	2	吕洞宾	王重阳	汉钟离	丘处机
52	中国书法艺术美的基本精神就是中华民族自古至今所崇尚的	1	尚意美	文以载道	诗言志	中和美
53	请说出北宋和南宋这两个朝代的都城分别位于今天的哪个城市？	1	开封，杭州	杭州，开封	洛阳、南京	北京、天津
54	“弱冠”是指男子多少岁？	1	20	16	12	13
55	“群山万壑赴荆门，生长明妃尚有村”，“明妃”是指中国古代四大美人的哪一位？	1	王昭君	杨贵妃	西施	貂禅
56	独奏曲《十面埋伏》的演奏乐器是	3	笛子	箫	扬琴	琵琶
57	下列乐器中属于“竹”类材料制作的有	3	磬	笙	箫	筚篥
58	音乐特点高亢宽广嘹亮的少数民族是	2	维吾尔族	藏族	傣族	蒙古族
59	春秋时期钟子期与俞伯牙“高山流水觅知音”的典故流传千古，其中伯牙弹奏“高山流水”的乐器是	1	古琴	古筝	二胡	琵琶
60	中国古代绘画具有多少的历史？	1	两千多年	三千多年	四千多年	五千多年
61	《步辇图》是一幅著名的人物画，其作者是谁？	2	吴道子	阎立本	周日方	顾恺之
62	中国画《清明上河图》是哪个朝代的作品？	2	唐代	宋代	明代	清代
63	请补全：天行健，君子以（？）。地势坤，君子以厚德载物。	3	生生不息	奋斗不息	自强不息	自勉不息
64	与“合抱之木，生于毫未；九层之台，起于累土”这句话包含同样哲学道理的成语是 	1	集腋成裘	风起云涌	祸福相倚	千虑一失
65	成也萧何，败也萧何，说的是谁的经历？	3	刘邦	项羽	韩信	张良
66	洛阳纸贵是指谁的哪个作品在当时引起轰动？	3	曹植的洛神赋	曹植的铜雀台赋	左思的三都赋	苏轼的前赤壁赋
67	我国古代保存神话资料最多的著作是哪部？	2	搜神记	山海经	聊斋志异	封神榜
68	历史上的“圣人”中，医圣是谁？	3	孙思邈	华佗	张仲景	孔子
69	我国很早就有了穿木屐的相关记载，东晋时谢灵运的“谢公屐”其用途是：	3	舞鞋	上朝穿的朝鞋	登山鞋	日常便鞋
70	孔子提倡中庸之道的理论基础是	2	阴阳五行	天人合一	道法自然	人定胜天
71	人们常说：“无事不登三宝殿”其中的“三宝”不包含	4	佛	法	僧	道
72	“中秋节”是指哪一天？	4	公历八月十五	农历八月十四	公历八月十六	农历八月十五
73	中秋节被称为中国四大传统节日，以下不属于四大之一的是？	4	端午节	春节	清明节	重阳节
74	中秋节的习俗有喝酒，一般是哪种酒？	1	桂花酒	高粱酒	米酒	杏花酒
75	下列不属于中秋节风俗习惯的是哪一种？	4	猜灯谜	拜月	吃月饼	登高
76	导致嫦娥奔月的元凶是谁？	2	后裔	蓬蒙	吴刚	王母
77	下列人物最有可能是后裔情敌的是谁？	4	玉皇大帝	二郎神	天蓬元帅	吴刚
78	世界天气的推动力是？	1	太阳	月亮	地磁	风
79	光年是什么单位？	2	时间	距离	力的大小	磁场强度
80	蛔虫生活在人体内属于什么关系？	1	寄生	共生	孪生	腐生
81	世界水日是哪一天？	2	2月22日	3月22日	4月22日	5月22日
82	以下不属于鸟类的是	3	喜鹊	麻雀	蝙蝠	布谷
83	人体最大块的肌肉是	4	胸肌	腹肌	大腿肌肉	臀肌
84	我国传统表示次序的“天干”一共有几个字？	1	10	11	12	13
85	汉白玉是一种	2	水晶	大理石	玉石	石灰岩
86	人在补充钙时，应同时加服	3	维生素B	维生素C	维生素D	维生素E
87	成语“望洋兴叹”中的“望洋”指的是	4	看着大海	低头思考	夜班失眠	仰望的样子
88	 奥林匹克运动会的发源地是	2	古罗马	古希腊	古代中国	古巴比伦
89	第一届奥运会什么时候开始举行？	3	1890年	1894年	1896年	1900年
90	奥运会旗是:“五色环”旗，其中黄色环代表	1	亚洲	欧洲	非洲	大洋洲
91	围棋共有多少个棋子？	2	306	361	362	365
92	下列哪一个口号不是奥运会的口号？	4	更高	更快	更强	更好
93	名言“生命在于运动”誰说的？	3	车尔尼夫斯基	普希金	伏尔泰	契诃夫
94	下列哪个国家不是联合国常任理事国之一？	4	英国	法国	中国	德国
95	世界上最长的运河是哪一条？	1	中国京杭大运河	苏伊士运河	巴拿马运河	基尔运河
96	下列哪一位著名画家擅长画虎？	2	张大千	张善子	徐悲鸿	齐白石
97	世界上最大的宫殿是	1	故宫	白宫	爱丽舍宫	克里姆林宫
98	“山重水复疑无路，柳暗花明又一村”是谁的诗句？	4	李白	辛弃疾	苏轼	陆游
99	看鱼鳞能识鱼龄，鱼鳞上的一圈是表示	1	半岁	一岁	二岁	一岁半
100	“打蛇打七寸”的七寸是指	2	咽喉	心脏	头部	尾巴
101	世界上最大的动物是哪一种？	2	鲸鱼	水母	恐龙	大象
102	“破釜沉舟”这个成语出于哪次战争？	3	赤壁之战	长平之战	巨鹿之战	官渡之战
103	“知天命”代指什么年纪？	4	二十岁	七十岁	三十岁	五十岁
104	下列古都哪个被称为“六朝古都”	3	洛阳	西安	南京	北京
105	“红娘”由来是出自下列哪部古典名剧	2	《琵琶记》	《西厢记》	《长生殿》	《桃花扇》
106	有“二十万行长诗”之称的世界最长的史诗是	1	《摩诃婆罗多》	《罗摩衍那》	《荷马史诗》	《唐璜》
107	莎士比亚四大悲剧中哪部又称“王子复仇记”？	2	《奥赛罗》	《哈姆雷特》	《麦克白》	《李尔王》
108	我国最早的神话小说是	3	《山海经》	《古镜记》	《搜神记》	《世说新语》
109	中国古代“双手抱拳举过头顶，鞠躬”这是什么拜礼？	1	长揖	再拜	顿首	稽首
110	世界上最大的海是哪一个？	1	中国南海	黑海	中国黄海	中国渤海
111	道教首创之地是哪里？	4	齐云山	武当山	龙虎山	鹤鸣山
112	“但愿人长久，千里共婵娟”是哪位作家的作品？	1	苏轼	苏澈	苏洵	苏雯
113	“文章本无成，妙手偶得之”出自谁之口？	1	杜甫	李白	白居易	陶渊明
114	哈雷慧星的最早记录是哪国人留下的？	3	美国人	英国人	中国人	德国人
115	人体最大的器官是	1	皮肤	心脏	肺	肠
116	“名不正则言不顺”是哪家的思想？	2	佛家	儒家	墨家	道家
117	北极星处于天空中的	3	大熊星座	仙女座	小熊星座	猎户座
118	人体内的水份约占体重的百分比是多少？	2	0.5	0.6	0.7	0.8
119	被称为菊月的月份是	1	九月	十月	八月	七月
120	太阳金字塔坐落在哪里？	2	埃及	墨西哥	印度	埃塞俄比亚
121	“三过家门而不人”是哪一历史人物的故事？	1	大禹	夏启	黄帝	蚩尤
122	“七月流火”指天气	2	炎热	转凉	转热	凉爽
123	《本草纲目》的作者是	3	华佗	扁鹊	李时珍	李善兰
124	薄公英靠什么传播种子？	4	蜜蜂	动物	雨滴	风力
125	引起中毒的“煤气”中主要的有毒气体是	1	一氧化碳	二氧化碳	硫化氢	二氧化硫
126	舞曲中的“圆舞曲”也叫	2	探戈	华尔兹	桑巴	踢踏舞
127	“国色天香”最初形容的是	3	美人	玫瑰	牡丹	荷花
128	《一千零一夜》又名《天方夜谭》，这里的“天方”是指	4	古巴比伦	古埃及	古印度	古代阿拉伯
129	《十面埋伏》是	1	琵琶曲	古琴曲	二胡曲	洞箫曲
130	号“六一居士”的是	2	李白	欧阳修	白居易	李清照
131	“智者千虑，必有一失”语出	3	论语	孟子	晏子春秋	战国策
132	国际象棋共有多少颗棋子？	4	16	24	30	32
133	世界上最深的湖在哪个国家？	1	俄罗斯	中国	墨西哥	英国
134	人体最大的解毒器官是	2	肾脏	肝脏	大肠	小肠
135	为什么女士服装的扣子都钉在左边？	3	表示尊卑	风俗习惯	方便佣人系扣	美观大方
136	我国著名的赵州桥建于哪个朝代？	4	周	宋	唐	隋
137	古代六艺中的“御”是指	1	驾车	骑马	剑术	摔跤
138	、被称为“命运交响曲”的是贝多芬的	2	第三交响曲	第五交响曲	第一交响曲	第四交响曲
139	中国象棋的双方各有几种棋子？	3	五种	六种	七种	八种
140	屈原是春秋时代哪国人？	4	秦国	齐国	燕国	楚国
141	中国最早的叙事诗是	1	孔雀东南飞	木兰辞	离骚	国风
142	“金屋藏娇”的故事与哪一位皇帝有关？	2	曹操	汉武帝	董卓	吕布
143	人脑中控制人平衡力的是	3	脑干	大脑	小脑	下丘脑
144	古代欧洲文明发源于	4	玛雅文明	古巴比伦	古埃及	爱琴文明
145	“藕”是莲的	1	茎	根	杆	叶
146	诸葛亮的办公地点，武侯祠在什么地方？	2	湖北襄阳	四川成都	云南大理	河南洛阳
147	古诗云：洞庭天下水，岳阳天下楼。岳阳楼在哪座湖上？	3	潘阳湖	洪湖	洞庭湖	青岛湖
148	急性扭伤后应立即	4	扭动	按摩	热敷	冷敷
149	“碧螺春”是一种	1	绿茶	红茶	福茶	乌龙茶
150	以下哪一类茶是半发酵茶？	2	绿茶	福茶	乌龙茶	红茶
151	从何时起，对最高统治者称“王”？	3	周	夏	商	隋
152	“君子之交淡若水，小人之交甘若醴”出自下列哪部作品？	4	老子	论语	史记	庄子
153	下列哪部作品不属于杜甫的“三别”？	4	新婚别	垂老别	无家别	生死别
154	泰戈尔是印度著名作家、诗人，于1913年获得诺贝尔文学奖，为其赢得该奖的作品是	4	飞鸟集	新月集	园丁集	吉檀迦利
155	“碧云天，黄叶地，北雁南飞”语出	2	木兰辞	西厢记	孔雀东南飞	陌上桑
156	四大名茶之一的龙井茶产地是	4	福建安溪	云南普洱	河南信阳	浙江杭州
157	白菜属于什么科？	3	豆科	菊科	十字花科	蔷薇科
158	世界上迄今为止保存的最完整的最早的一部成文法典是	1	汉谟拉比法典	摩奴法典	十二铜表法	国法大全
159	蚯蚓的血是什么颜色	3	白色	蓝色	红色	黑色
160	“我爱吾师，我更爱智慧。”是下列哪位哲学家说的？	1	苏格拉底	亚里士多德	尼采	阿拉克萨哥拉
161	我国传统工艺有“三绝”，下列不是的是？	4	景泰蓝	景德镇瓷器	脱胎瓷器	宜兴紫砂
162	中国古代中最早提到小孔成像的原理的著作是？	2	九章算术	墨经	天工开物	四库全书
163	五大淡水湖中面积最大的是	1	潘阳湖	洞庭湖	洪湖	青岛湖
164	《孙子兵法》是中国对世界的一大贡献，请问这本兵书有多少篇？	2	12	13	14	15
165	纸张取代简牍成为最主要的书写材料是在	3	战国时期	秦汉时期	魏晋南北朝时期	隋唐时期
166	黄河注入什么海？	1	渤海	黄海	东海	南海
167	中国古代“不惑”是指男子多少岁？	2	30	40	50	60
168	一本书共100页，小明第一天看了1/5，第二天看了剩下的1/4，第三天看完，看了多少页？	3	50	55	60	65
169	1英寸等于多少毫米？	2	18.5	25.4	33.2	41.5
170	10岁时，人脑的容积已达成人的	4	0.8	0.85	0.9	0.95
171	咖啡的故乡是哪里？	4	亚洲	美洲	大洋洲	非洲
172	我国发现最早的纸币是在哪个时期？	2	唐	宋	元	明
173	神话《白蛇传》中“白娘娘盗仙草”盗的是	3	人参	冬虫夏草	灵芝	蟠桃
174	下列河流哪一条是世界流程最长	1	尼罗河	长江	亚马逊河	密西西比河
175	史书《资治通鉴》是属于哪一类体例的历史？	3	纪传体	纪事本末体	编年体	国别体
176	阿姆斯特朗是乘哪个飞船成功登月的？	1	阿波罗11号	阿波罗12号	和平5号	爱国者6号
177	下列我国哪个古迹被誉为“世界八大奇迹”？	3	万里长城	乐山大佛	秦始皇兵马俑	莫高窟
178	“隐形飞机”是指什么样的飞机？	4	肉眼不可见	体积小	声呐探测不到	雷达探测不到
179	我国是在哪个时期进入奴隶社会的？	1	夏	商	战国	周
180	三原色是指	3	红黄蓝	红黄青	红绿蓝	红黄绿
181	流行性感冒的病原是	2	细菌	病毒	衣原体	支原体
182	艾滋病的医学全名是什么？	4	埃博拉病毒	全身免疫系统紊乱症	体液癌症	获得性免疫缺陷综合症
183	“江山社稷”中的“稷”在古代是指	3	土地之神	黎民百姓	五谷之神	祈求丰收
184	由唐代诗人贾岛和韩愈斟酌的诗句引申而来的词语	2	切磋	推敲	琢磨	品味
185	京剧中的脸谱使人的性格一目了然，一般红色脸谱代表	3	耿直	奸邪	忠勇	圆滑
186	“相敬如宾”最初是指什么人之间相互尊敬的样子？	4	君臣	朋友	兄弟	夫妻
187	能够有效地阻挡太阳的紫外线辐射的气层是	2	大气上层	臭氧层	大气下层	外大气层
188	蜻蜓“点水”的目的是什么？	1	产卵	喝水	觅食	排泄
189	世界上是被称为“教育王国”的哪一个国家？	3	中国	美国	以色列	日本
190	请问:火车连续发出两声长鸣，这表示	3	前进	停留	倒退	故障
191	“不为五斗米折腰”的古代人物是	1	陶渊明	纪晓岚	李白	杜甫
192	“四羊方尊”是哪个朝代的文物？	2	夏	商	战国	周
193	成语“鸡鸣狗盗”与战国四君子哪位有所关联？	3	春申君	平原君	孟尝君	信陵君
194	春秋战国时期的“诸子百家”不包括	1	佛家	道家	儒家	墨家
195	中国哪位皇帝采取了“焚书坑儒”的政策	1	秦始皇	周文王	商纣王	隋炀帝
196	三国时建造“铜雀台”的是谁？	2	刘备	曹操	孙权	刘表
197	三国时期“火烧连营”一战的对阵双方是	1	陆逊、刘备	关羽、曹操	张飞、夏侯惇	周瑜、诸葛亮
198	“床前明月光”的“床“是什么意思？	3	窗台	屋檐	井栏	卧床
