nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
11	MainTask1_11	[主]所为何事	纳兰姑娘似乎有话想说，不过不便在杨公子面前直言，去看看她想要对我说什么吧！	问问[FFFE0D]纳兰姑娘[-]想说什么	问问[FFFE0D]纳兰姑娘[-]想说什么	[url=clientnpcbyidx:test, 9]	[url=clientnpcbyidx:test, 9]	4|8|9	9	10	12	11								Exp|4000			1		[url=openwnd:test, ChapterPanel, "ChapterTitle_01"]												
12	MainTask1_12	[主]神医药王	原来药王谷谷主竟然也在此地做客，看来此处的一些独特的生物、药物即便是药王谷都不得不心动啊！听说神医大多脾气古怪，只能自求多福了希望这位胡神医莫要太过刁难我！	向[FFFE0D]$NF[-]虚心求教	向[FFFE0D]$NF[-]虚心求教	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	4|8|10	4|10	11	13	12	417							Exp|4000			1	1													
13	MainTask1_13	[主]说来凑巧	连药王谷胡神医都赞不绝口，想必这位殷童姑娘一定医术非凡！希望她能够告诉我「赤心花」的生长地！	问问[FFFE0D]小殷童[-]赤心花在哪	找[FFFE0D]小殷童[-]问问赤心花在哪	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	8|11|14	11	12	14	13						1	1	Exp|4000;Item|1247|1			1	1													
14	MainTask1_14	[主]万物相克	小时便经常听人提起，但凡剧毒之物，一定范围之内必有克制之物，虽然不知道此事是真是假，不过如今看来倒也有几分根据，万物相克，理应如此，区区悬崖，还难不倒我！	去悬崖边取回[FFFE0D]赤心花[-]	去悬崖边取回[FFFE0D]赤心花[-]	[url=npc:testtt,955,1000]	[url=npc:testtt,955,1000]	8|12|14		13	15				1	1				Exp|4000			1	1													
15	MainTask1_15	[主]配制药水	赤心花本就十分稀少，生长之地更是如此险峻，寻常人难以采摘，难怪这毒蜂如此猖狂，有了这草药，看你们还如何阻拦我和纳兰姑娘前去采集银丝草！	把赤心花带去给[FFFE0D]胡神医[-]	把赤心花带去给[FFFE0D]胡神医[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	8|14	8|14	14	16	15	417							Exp|4000			1	1													
16	MainTask1_16	[主]千里寻药	如今万物俱备，是时候出发前去摘采银丝草了，纳兰姑娘身子柔弱，一路上恐怕还得多多照看她，否则因为救一个人导致她又中毒倒下，可就不妙了！	陪同纳兰姑娘前往[FFFE0D]$NP[-]	陪同纳兰姑娘前往[FFFE0D]$NP[-]	[url=gotofuben:test, 1, 2, 1]		13		15	17			1|2|1	1			1		Exp|10000			1	1													
17	MainTask1_17	[主]熬制秘药	终于得到忘忧岛独有的神秘草药——「银丝草」了！这草药看上去普普通通的，想不到竟对医治如此严重的内伤有奇效，看来不仅是人不可貌相，连这小小的草药都不能小觑啊！	拿银丝草给[FFFE0D]纳兰姑娘[-]熬制	拿银丝草给[FFFE0D]纳兰姑娘[-]熬制	[url=clientnpcbyidx:test, 13]	[url=clientnpcbyidx:test, 13]	13	13	16	18	17						1	1	Exp|24000;Item|1253|1			1	1													
18	MainTask1_18	[主]银丝秘药	幸亏有小童告诉我赤心花的所在，得向她道谢才是！	去向[FFFE0D]小殷童[-]道谢	去向[FFFE0D]小殷童[-]道谢	[url=clientnpcbyidx:test, 11]	[url=clientnpcbyidx:test, 11]	11|14	11|14	17	19	18								Exp|4000			1	1													
19	MainTask1_19	[主]战场征兵	如今宋金连年交战，我虽身在江湖，不问朝廷之事，却也不能置身之外，不顾百姓！枉费一身的功夫！去找[FFFE0D] 刘将军 [-]前往战场！	前往临安城找[FFFE0D]刘将军[-]	前往临安城找[FFFE0D]刘将军[-]		[url=npc:testtt,$F,15]	12	12	18	20	19	91							Exp|4000			1	1													
20	MainTask1_20	[主]战场演练	战场上果然凶险万分，有了这次的经验，下次要更加小心！回去禀告战况！	向[FFFE0D]刘将军[-]汇报战况	向[FFFE0D]刘将军[-]汇报战况	[url=npc:testtt,$F,15]	[url=npc:testtt,$F,15]			19	21	20	91					1	1	Exp|36000;Item|1248|1			1	1													
21	MainTask1_21	[主]锁云会合	唉，如今敌军猖狂，将来还得多为国效力才是，先去锁云渊和纳兰姑娘回合吧！	该去[FFFE0D]锁云渊[-]找纳兰姑娘了	该去[FFFE0D]锁云渊[-]找纳兰姑娘了	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	19|24	19|24	20	22	21						1	1	Exp|4000;Item|1252|1			1	1													
22	MainTask1_22	[主]再寻药草	万金财……这个名字倒是挺有富贵气的，去找找他看看能不能买到药材吧！	看看[FFFE0D]万金财[-]在不在锁云渊	看看[FFFE0D]万金财[-]在不在锁云渊	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	15|31	21	23	22								Exp|4000			1	1													
23	MainTask1_23	[主]散落货物	唉，如今战火连天，行商者亦是十分艰难，去找找看他的货物吧！	到附近寻找[FFFE0D]商品货物[-]	到附近寻找[FFFE0D]商品货物[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|32|183		22	24				1	1	23			Exp|6000			1	1	[url=dialog:test, 23]												
24	MainTask1_24	[主]恶贼逞凶	想不到附近也有如此猖獗的大刀马贼，既然遇见了，顺手惩治一下倒也不坏。	惩治[FFFE0D]大刀马贼[-]	惩治[FFFE0D]大刀马贼[-]	[url=goanddosomething:test, 400, 4310, 13000, autofight, 1]		15|32|183		23	25				1					Exp|16000	1749|3	1	1	1	[url=dialog:test, 24]												
25	MainTask1_25	[主]收集货物	这些箱子倒是十分牢固，竟然没有丝毫松动！	取走附近散落的[FFFE0D]商品货物[-]	取走附近散落的[FFFE0D]商品货物[-]	[url=npc:testtt,1284,400]	[url=npc:testtt,1284,400]	15|32|183	32	24	26				1	1				Exp|6000			1	1	[url=dialog:test, 25]												
26	MainTask1_26	[主]物归原主	这些应该就是万金财的货物了，拿回去给他换取药草！	将[FFFE0D]货物[-]交还给万金财	将[FFFE0D]货物[-]交还给万金财	[url=clientnpcbyidx:test, 31]	[url=clientnpcbyidx:test, 31]	15|31|183	31|183	25	27	26						1	1	Exp|4000;Item|1528|1;Coin|1000;ComposeValue|1|1;Item|9567|1			1	1													
27	MainTask1_27	[主]武功恢复	唉，如今敌军猖狂，将来还得多为国效力才是，先去锁云渊和纳兰姑娘回合吧！	把药草拿给[FFFE0D]纳兰姑娘[-]	把药草拿给[FFFE0D]纳兰姑娘[-]	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	15|16|19	15|16|19	26	28	27								Exp|8000			1	1													
28	MainTask1_28	[主]林中小屋	杨兄先前服用了银丝草，不知道伤势恢复得如何了！	到[FFFE0D]屋中[-]见见杨影枫	到[FFFE0D]屋中[-]见见杨影枫	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	17|20|24	20|24	27	29				1					Exp|6000			1	1	[url=dialog:test, 28]				484								
29	MainTask1_29	[主]询问伤势	看起来杨兄的起色不错，想必内伤已经好的差不多了！	询问[FFFE0D]杨影枫[-]伤势如何	询问[FFFE0D]杨影枫[-]伤势如何	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205	205	28	30	29								Exp|8000			1	1	[url=dialog:test, 6029]												
30	MainTask1_30	[主]闲话家常	跟杨兄谈谈。	和[FFFE0D]杨影枫[-]交谈	和[FFFE0D]杨影枫[-]交谈	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|206	206	29	31	30								Exp|8000			1	1	[url=dialog:test, 6030]												
31	MainTask1_31	[主]精通医术	不知道纳兰前辈是否能够帮杨兄恢复内功	询问是否能够[FFFE0D]恢复内功[-]	询问是否能够[FFFE0D]恢复内功[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|207	207	30	32	31								Exp|8000			1	1	[url=dialog:test, 6031]												
32	MainTask1_32	[主]稍作安慰	想不到最终仍是这般结果，去对他安慰一番。	安慰[FFFE0D]杨影枫[-]	安慰[FFFE0D]杨影枫[-]	[url=clientnpcbyidx:test, 17]	[url=clientnpcbyidx:test, 17]	17|205|208	17|205|208	31	33	32								Exp|6000			1	1													
33	MainTask1_33	[主]情况如何	不知道纳兰姑娘去追纳兰前辈结果如何了，出去问问吧。	到[FFFE0D]屋外[-]去找纳兰真	到[FFFE0D]屋外[-]去找纳兰真	[url=clientnpcbyidx:test, 19]	[url=clientnpcbyidx:test, 19]	18|19|206	18|19|206	32	34	33						1	1	Exp|6000;Item|1249|1			1	1													
34	MainTask1_34	[主]再入小屋	看来只能另寻他法了，先回屋中找杨兄吧！	陪[FFFE0D]纳兰真[-]再去看看杨影枫	陪[FFFE0D]纳兰真[-]再去看看杨影枫	[url=pos:test,400,7700,8500]	[url=pos:test,400,7700,8500]	20|223		33	35				1					Exp|6000			1	1	[url=dialog:test, 34]				484								
35	MainTask1_35	[主]蛛丝马迹	咦，此处还有一些足迹，脚印较深，杨兄武功尚未完全恢复，也许就是他！追！	去寻找[FFFE0D]杨影枫[-]的踪迹	去寻找[FFFE0D]杨影枫[-]的踪迹	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|26|223	20|26|223	34	36				1	1	35			Exp|6000			1	1	[url=dialog:test, 35]												
36	MainTask1_36	[主]再次相见	总算是找到他了！「天下第一」，这四字让多少人趋之若鹜，又让多少人黯然神伤？唉，毕竟天下高手千千百，最终「天下第一」却只能有一人。不过，这回这天下第一的执念倒是救了他一命……	总算是找到[FFFE0D]杨影枫[-]了	总算是找到[FFFE0D]杨影枫[-]了	[url=clientnpcbyidx:test, 25]	[url=clientnpcbyidx:test, 25]	25|27	25|27	35	37	36								Exp|8000			1	1													
37	MainTask1_37	[主]查探一番	此处到底是什么地方？看起来除了入口隐蔽一些之外，倒也没什么特别的地方，不知道里面是否机关重重。	入口的位置就在[FFFE0D]茅屋[-]附近	入口的位置就在[FFFE0D]茅屋[-]附近	[url=taskitem:test, $T]	[url=taskitem:test, $T]	20|23		36	38				1	1	37			Exp|6000			1	1	[url=dialog:test, 37]												
38	MainTask1_38	[主]偷入禁地	不知道纳兰岛主是哪门哪派的，门派禁地，且不论是因为禁忌、秘宝还是机关陷阱，听这名字便像是不应乱闯的地方……只是既然他们两人都想去看看，也只有前去看看了！	偷偷前往[FFFE0D]$NP[-]	偷偷前往[FFFE0D]$NP[-]	[url=goanddosomething:test, 400, 14050, 2900, gotofuben, 1, 3, 1]		20|23	20|23	37	39			1|3|1	1			1		Exp|2000;Item|1032|1;Item|1072|1;Item|1092|1			1	1													
39	MainTask1_39	[主]无忧圣地	想不到竟然被发现了……唉，纳兰姑娘独自跑开了，此处并非忘忧岛，危机重重，恐怕有危险，得赶紧找到她！	询问[FFFE0D]杨影枫[-]如何是好	询问[FFFE0D]杨影枫[-]如何是好	[url=clientnpcbyidx:test, 29]	[url=clientnpcbyidx:test, 29]	6|29	6|29	38	40	39						1	1	Exp|32000;Item|1254|1			1	1													
40	MainTask1_40	[主]时不凑巧	看来杨兄对那本「武道德经」很是在意，不知道究竟是什么来头，选了，还是先去找纳兰姑娘吧！	前去寻找[FFFE0D]纳兰姑娘[-]	前去寻找[FFFE0D]纳兰姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|30	30	39	41				1	1	40			Exp|6000			1	1	[url=dialog:test, 40]												
41	MainTask1_41	[主]无可奈何	这些流氓地痞，竟敢口出污言，看我不好好教训教训他们！	教训[FFFE0D]地痞泼皮[-]	教训[FFFE0D]地痞泼皮[-]	[url=goanddosomething:test, 400, 4500, 4660, autofight, 1]		15		40	42				1					Exp|10000	1748|3	1	1	1	[url=dialog:test, 41]												
42	MainTask1_42	[主]寻找纳兰	看来他们确实见到过纳兰姑娘，按照他们的说法，应该是往这个方向！	[FFFE0D]继续寻找纳兰姑娘[-]	[FFFE0D]继续寻找纳兰姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	15|209	209	41	43				1	1	42			Exp|6000			1	1	[url=dialog:test, 42]												
43	MainTask1_43	[主]温言安抚	总算是找到纳兰姑娘了，实在是万幸她没有受伤！赶紧去看看她状况如何！	看看[FFFE0D]纳兰姑娘[-]状况如何	看看[FFFE0D]纳兰姑娘[-]状况如何	[url=clientnpcbyidx:test, 309]	[url=clientnpcbyidx:test, 309]	15|210|309	15|210|309	42	44	6042						1	1	Exp|14000			1	1													
44	MainTask1_44	[主]儿时旧地	看来纳兰姑娘小时候也是个不安分的主，竟然能找到这么一个洞窟！	前往[FFFE0D]纳兰真所说的山洞[-]	前往[FFFE0D]纳兰真所说的山洞[-]	[url=pos:test, 400, 2900, 8350]	[url=pos:test,400,2900,8350]	20|23		43	45				1					Exp|4000			1	1	[url=dialog:test, 43]				499								
45	MainTask1_45	[主]神秘山洞	这个洞窟阴风阵阵的，不知道其中到底有什么东西，还是要小心一些！	闯过[FFFE0D]$NP[-]	闯过[FFFE0D]$NP[-]	[url=goanddosomething:test, 499, 1900, 3700, pos, 499, 1900, 3900]		20|23|211|212	20|23|211|212	44	46			1|4|1	1			1		Exp|40000			1	1													
46	MainTask1_46	[主]洞中乾坤	这洞窟之中竟然还有下层，纳兰姑娘已坠入其中，看不清外面究竟是何等光景，问问杨兄如何是好！	问问[FFFE0D]杨影枫[-]怎么办	问问[FFFE0D]杨影枫[-]怎么办	[url=clientnpcbyidx:test, 213]	[url=clientnpcbyidx:test, 213]	213	213	45	47	45					45	1	1	Exp|6000;Item|1250|1;ComposeValue|1|2			1	1													
47	MainTask1_47	[主]意料之外	此处下去不知是何险境，只能先施展轻功下去看看了！	穿过[FFFE0D]光亮处继续前进[-]	穿过[FFFE0D]光亮处继续前进[-]	[url=pos:test,499,6100,2860]	[url=pos:test,499,6100,2860]	214|216|218	214	46	48				1					Exp|8000			1	1	[url=dialog:test, 46]				485								
48	MainTask1_48	[主]幽静小谷	这第二层似乎更像是有人专门修建的了，莫非真的有武林高手在此隐居？不过此处像是许久未曾有人居住了，也许那人早已离开了？	到[FFFE0D]山谷周围看看[-]	到[FFFE0D]山谷周围看看[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	216|218		47	49				1	1	47			Exp|12000			1	1	[url=dialog:test, 47]												
49	MainTask1_49	[主]入屋一观	想不到此处竟然有一处屋子，莫非真的有人居住在此？	进[FFFE0D]屋子看看[-]	进[FFFE0D]屋子看看[-]	[url=pos:test,485,900,3500]	[url=pos:test,485,900,3500]	216|218	216|218	48	50				1					Exp|12000			1	1	[url=dialog:test, 48]				481								
50	MainTask1_50	[主]探索小屋	奇怪，屋中并无一人，而且从屋中事物看来，已有许久没有人居住了，莫非是曾经的居住者已经离开了？	[FFFE0D]四处看看[-]有什么古怪	[FFFE0D]四处看看[-]有什么古怪	[url=taskitem:test, $T]	[url=taskitem:test, $T]	219|221	219|221	49	51				1	1	49			Exp|12000			1	1	[url=dialog:test, 49]												
51	MainTask1_51	[主]再有所获	这丝绢上的文字隐隐透出一股霸气，想必是某个大人物留下的！	看看[FFFE0D]丝绢上写了什么[-]	看看[FFFE0D]丝绢上写了什么[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	220|222	220|222	50	52				1	1	50			Exp|12000			1	1	[url=dialog:test, 50]												
52	MainTask1_52	[主]再探小屋	想不到这里竟是无忧教主月重天的丧命之处，我也曾听人说过，难怪数十年前无忧教悄然隐没于江湖。	继续[FFFE0D]探索屋子[-]	继续[FFFE0D]探索屋子[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	215|217	215|217	51	53				1	1	51			Exp|16000			1	1	[url=dialog:test, 51]												
53	MainTask1_53	[主]询问真相	此处已经没有什么值得眷恋的了，是时候该返回忘忧岛了！	先返回[FFFE0D]忘忧岛[-]	先返回[FFFE0D]忘忧岛[-]	[url=pos:test,481,2800,2100]	[url=pos:test,481,2800,2100]	223|224	223|224	52	54				1					Exp|12000			1	1	[url=dialog:test, 52]				1000								
54	MainTask1_54	[主]各执一词	想不到纳兰岛主竟然是弑师之人……无论如何此事一定要问个清楚！	陪纳兰姑娘质问[FFFE0D]纳兰潜凛[-]	陪纳兰姑娘质问[FFFE0D]纳兰潜凛[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	65	65	53	55	53	954							Exp|16000			1	1													
55	MainTask1_55	[主]是非难辨	杨兄先前曾立下誓言，定会为丝绢的主人报仇雪恨……不知道他与纳兰姑娘对此事有何看法……虽然只是纳兰岛主的一面之词，毕竟死无对证，先听听他们的看法吧！	询问[FFFE0D]杨影枫[-]是否相信	询问[FFFE0D]杨影枫[-]是否相信	[url=taskitem:test, $T]	[url=taskitem:test, $T]	225	225	54	56				1	1	54			Exp|8000			1	1	[url=cameraAnimation:test, 1]												
56	MainTask1_56	[主]分道扬镳	杨兄武功已经更胜往昔了，真是可喜可贺，不过如今也到分离的时候了，毕竟杨兄以天下第一为目标，不可能一直留在忘忧岛，跟纳兰姑娘道别吧。	找纳兰真道别	找纳兰真道别	[url=taskitem:test, $T]	[url=taskitem:test, $T]			55	57				1	1	55			Exp|8000			1	1	[url=dialog:test, 55]												
57	MainTask1_57	[主]一路相伴	唉，看来杨兄心中仍是放不下天下第一的执念，我也去找纳兰姑娘道别吧！	和[FFFE0D]$NF[-]道别	和[FFFE0D]$NF[-]道别	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	226	226	56	58	56	418					1	1	Exp|32000;Item|1255|1;ComposeValue|1|3			1	1													Task_1
58	MainTask1_58	[主]两人再会	想不到纳兰姑娘如此重情重义，赶紧前往武夷山与杨兄会合吧。	前往[FFFE0D]武夷山[-]找杨影枫	前往[FFFE0D]武夷山[-]找杨影枫	[url=clientnpcbyidx:test, 33]	[url=clientnpcbyidx:test, 33]	33	33	57	59	57								Exp|16000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_02"]												
59	MainTask1_59	[主]寻觅芳踪	我还是第一次听杨兄提起紫轩姑娘，不过从他的语气中明显听出浓浓的痴恋意味，看来杨兄是真的很喜欢这位紫轩姑娘，我也有些好奇这位紫轩姑娘到底是怎样的人！	先出发寻找[FFFE0D]紫轩姑娘[-]	先出发寻找[FFFE0D]紫轩姑娘[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67	67	58	60				1	1	58			Exp|20000			1	1	[url=dialog:test, 58]												
60	MainTask1_60	[主]拦路打劫	想不到光天化日之下竟然有不长眼的家伙打主意到我们的身上！正好教训教训他们！	解决[FFFE0D]鬼面刺客[-]	解决[FFFE0D]鬼面刺客[-]	[url=goanddosomething:test, 401, 10000, 11000, autofight, 1]		63	63	59	61				1					Exp|40000	1750|3	1	1	1													
61	MainTask1_61	[主]事有蹊跷	不知道杨兄有没有什么发现，若是遇见不平之事，倒是可以出手相助，行侠仗义一番！	问问[FFFE0D]杨影枫[-]发生了什么事	问问[FFFE0D]杨影枫[-]发生了什么事	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35	35	60	62	59								Exp|20000			1	1													
62	MainTask1_62	[主]虚惊一场	原来是虚惊一场，那就奇怪了，这些小喽喽到底为什么要阻拦我们？	没什么事，[FFFE0D]继续赶路[-]	没什么事，[FFFE0D]继续赶路[-]	[url=gotofuben:test, 2, 1, 1]		36	36	61	63			2|1|1	1			1		Exp|4000			1	1													
63	MainTask1_63	[主]神秘姑娘	果然是有所图谋，这位红衣少女武功不凡，且容貌极美，恐怕那些刺客没按什么好心！	询问[FFFE0D]神秘少女[-]怎么回事	询问[FFFE0D]神秘少女[-]怎么回事	[url=clientnpcbyidx:test, 37]	[url=clientnpcbyidx:test, 37]	36|37	36|37	62	64	61						1	1	Exp|68000;Item|1022|1			1	1													
64	MainTask1_64	[主]再觅芳踪	先前那些人武功虽然并非一流，但也均不是弱手，但愿这少女能够安然逃脱，我们也不便再插手其中了。当务之急，是要先找到紫轩姑娘！	询问[FFFE0D]杨影枫[-]接下来怎么办	询问[FFFE0D]杨影枫[-]接下来怎么办	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35|38	35|38	63	65	62								Exp|12000			1	1													
65	MainTask1_65	[主]宁静小村	紫轩姑娘竟不辞而别了，不知道她是个怎么样的人，让杨兄如此迷恋惦记，想必是个倾国倾城的美人，唉，只是纳兰姑娘未免……罢了，多想无益，还是到附近找找看线索吧。	去紫轩[FFFE0D]住过的村子[-]找线索	去紫轩[FFFE0D]住过的村子[-]找线索	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67		64	66				1	1	64			Exp|12000			1	1	[url=dialog:test, 63]												
66	MainTask1_66	[主]询问村民	奇怪，难道真是紫轩姑娘是自行离开的？还是找附近的村民询问一番！	找附近的[FFFE0D]村民[-]询问一番	找附近的[FFFE0D]村民[-]询问一番	[url=npc:testtt,$F,401]	[url=npc:testtt,$F,401]	67	67	65	67	64	1068							Exp|12000			1	1													
67	MainTask1_67	[主]心急如焚	杨兄如此心急，看来紫轩姑娘对他而言真是十分重要，只是这样一来，恐怕纳兰姑娘……唉！罢了！先追上去吧！	追上[FFFE0D]杨影枫[-]	追上[FFFE0D]杨影枫[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	40|64	40|64	66	68				1	1	66			Exp|12000		1	1	1	[url=dialog:test, 66]												
68	MainTask1_68	[主]擒贼擒王	看来杨兄没找到紫轩姑娘被掳走的证据，还得另想别的办法，问问他打算怎么办。	询问[FFFE0D]杨影枫[-]怎么办	询问[FFFE0D]杨影枫[-]怎么办	[url=clientnpcbyidx:test, 39]	[url=clientnpcbyidx:test, 39]	39	39	67	69	67								Exp|12000			1	1													
69	MainTask1_69	[主]本地一霸	紫轩姑娘必然不会无端不告而辞，听杨兄说先前曾有恶霸想要强占紫轩姑娘，说不定与此事有关，先去问个清楚！	找欺负过她的[FFFE0D]恶霸[-]	找欺负过她的[FFFE0D]恶霸[-]	[url=goanddosomething:test, 401, 11000, 3700, autofight, 1]		40	40	68	70				1					Exp|12000	1751|3	1	1	1	[url=dialog:test, 68]												
