nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	Target_Achievement	Target_KillNpc	bNotAutoNext	bKillNpcToAllPlayer	bAutoFinish	Target_ExtPoint	szAwardInfo	nTaskType	bShowFinish	nNeedConfirmFinish	Target_ExtInfo	nTaskItemId	szOnFinishTrack	Target_EnterMap	Target_CollectItem	nAcceptTaskNpcId	Target_MinLevel	Require_MinLevel	Require_MaxLevel	bCanRepeat	nAcceptDialogId	IsFinishGuide	DeleteClientNpc	ShowClientNpc	Target_OnTrap
3022	PedagogicalTask1_22	[支]镶嵌	江湖中武林人士的内力所化，能够与某些特定部位的装备产生共鸣，故而只能够镶嵌在[FFFE0D]指定位置的装备[-]上，从而提升属性，千万别忘记镶嵌魂石！	镶嵌一颗[FFFE0D]魂石[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, StrengthenPanel, "Inset"]	[url=npc:testtt,$F,15]			3022	626		InsetOnce_1|1		1				Exp|40000;Item|2154|1	2	1	1															
3023	PedagogicalTask1_23	[支]武林盟主	每日午间[FFFE0D] 12：30-12：42 [-]和夜间[FFFE0D] 19：30-19：42 [-]，「武林盟主」独孤剑将现身与诸多江湖侠士切磋，挑战不仅能获得[FFFE0D] 贡献 [-]，还有稀有[FFFE0D] 衣服 [-]哦，快去参与吧！	参与一次[FFFE0D]武林盟主[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 1]	[url=npc:testtt,$F,15]			3023	88		BossChallenge_1|1		1				Exp|80000;Coin|5000	2	1	1															
3024	PedagogicalTask1_24	[支]藏宝图	根据[FFFE0D] 藏宝图 [-]上的线索前往野外地图挖掘宝藏，能够获得各种各样稀奇古怪的奖励，还能挖出价值连城的[FFFE0D] 古董 [-]，侠士可千万不要错过！	使用[FFFE0D]藏宝图[-]挖宝	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 4]	[url=npc:testtt,$F,15]			3024	623		Cangbaotu_1|1		1				Exp|80000;Item|2157|1	2	1	1															
3025	PedagogicalTask1_25	[支]惩恶任务	[FFFE0D]20级[-] 以上的野外地图有江湖大盗出没，专门打家劫舍、无恶不作，组成 [FFFE0D] 3人以上 [-] 的队伍前去剿灭他们，有丰厚的奖励哦！	追捕一名[FFFE0D]江湖大盗[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 6]	[url=npc:testtt,$F,15]			3025	97		PunishTask_1|1		1				Exp|80000;Contrib|500	2	1	1															
3026	PedagogicalTask1_26	[支]每日答题	每日答题可获得[FFFE0D] 丰厚的奖励 [-]，简单又轻松，不要忘记参加噢！	进行一轮[FFFE0D]每日答题[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 14]	[url=npc:testtt,$F,15]			3026	1350				1				Exp|80000;Coin|5000	2	1	1	DaTi														
3027	PedagogicalTask1_27	[支]摆摊	摆摊可以将身上不需要的东西上架，来卖给其他的玩家获取元宝！系统只会收取少量的手续费哦！也可以选购自己需要的东西哦！	任意购买[FFFE0D]摆摊物品[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, MarketStallPanel, 2]	[url=npc:testtt,$F,15]			3027	631				1				Exp|80000;Gold|50	2	1	1	BaiTan														
3028	PedagogicalTask1_28	[支]野外修炼	前往 [FFFE0D]野外地图[-] 击败野外怪物可以获得经验奖励。使用 [FFFE0D]修炼珠[-] 开启修炼状态更可获得 [FFFE0D]10倍[-] 打怪经验和物品掉落哦！	进行一次[FFFE0D]野外修炼[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 29]	[url=npc:testtt,$F,15]			3028	694		XiuLian_1|1		1				Exp|80000;Item|212|10	2	1	1															
3029	PedagogicalTask1_29	[支]宋金战场	每日的特定时间，「宋金战场」将会开启！侠之大者，为国为民！去为自己所选的势力贡献一份力量吧！	参与一次[FFFE0D]宋金战场[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 3]	[url=npc:testtt,$F,15]			3029	630		Battle_1|1		1				Exp|80000;Item|1970|1	2	1	1															
3030	PedagogicalTask1_30	[支]高级藏宝图	集齐「狼毫」、「朱砂」、「罗盘」、「龟甲」、「丝帛」能够合成高级藏宝图，奖励更丰厚！	使用[FFFE0D]高级藏宝图[-]挖宝	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, ItemBox]	[url=npc:testtt,$F,15]			3030	623		HighCangbaotu_1|1		1				Coin|5000	2	1	1															
3031	PedagogicalTask1_31	[支]家族传功	可以给家族成员传功，或是接受来自家族成员的传功请求，完成后被传功方将获得大量经验，传功者也将获得部分经验！互惠互利的事情可千万不要错过哦！	进行一次[FFFE0D]传功[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 15]	[url=npc:testtt,$F,15]			3031	92		GetMeFight_1|1		1				Exp|80000;Contrib|500	2	1	1															
3032	PedagogicalTask1_32	[支]历代名将	每日特定时间，各个朝代的知名将士会出现在特定的地图，击败他们将获得大量奖励！	参与一次[FFFE0D]历代名将[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 12]	[url=npc:testtt,$F,15]			3032	89		FieldBoss_1|1		1				Exp|80000;Item|1969|1	2	1	1															
3033	PedagogicalTask1_33	[支]商会任务	完成商会老板万金财的任务，可以获得大量的银两奖励哦！	商会任务[FFFE0D]缴纳一组货物[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 2]	[url=npc:testtt,$F,15]			3033	190		CommerceTask_1|1		1				Exp|80000;Gold|50	2	1	1															
3034	PedagogicalTask1_34	[支]野外首领	每日的特定时间，20级以上的野外地图均会出现一批野兽首领，击败它们将获得高额奖励！	参与一次[FFFE0D]野外首领[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 13]	[url=npc:testtt,$F,15]			3034	89		FieldLeader_1|1		1				Exp|80000;Item|212|10	2	1	1															
3035	PedagogicalTask1_35	[支]凌绝峰	凌绝峰乃江湖中最为神秘的场所，有无数奇人异事出现、发生在其中，危险和丰厚的奖励并存，快去探险吧！	通关[FFFE0D]凌绝峰五层[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 15]	[url=npc:testtt,$F,15]			3035	1529		RandomFuben_5|1		1				Exp|80000;Item|2157|1	2	1	1															
3036	PedagogicalTask1_36	[支]英雄挑战	江湖中有许多与你一样的成名侠少，击败他们以证明自己！	成功完成[FFFE0D]一轮英雄挑战[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, CalendarPanel, 1, 23]	[url=npc:testtt,$F,15]			3036	1528		HeroChallenge_1|1		1				Exp|80000;Item|1968|1	2	1	1															
3037	PedagogicalTask1_37	[支]同伴上阵	同伴乃是行走江湖的好帮手，按照基础能力由高至低为神级→天级→地级→甲级→乙级→丙级→丁级，他们将在许多不同的场合给你提供帮助，部分场合能够出战[FFFE0D] 两名同伴[-]，部分场合能够出战[FFFE0D] 四名同伴[-]，要注意培养同伴哦！	[FFFE0D]上阵任意同伴[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,15]		3038	3037	622				1				Exp|10000;Item|1016|5	2	1	1	ShangZhenTongBan														
3038	PedagogicalTask1_38	[支]同伴升级	同伴能够与你一同成长，在你获得经验值的时候，同伴同样能够获得一定比例的经验值，除此之外，还有一个更加快速提升同伴等级的方式——使用[FFFE0D] 经验药水[-]，现在就来试试吧！	[FFFE0D]为任意同伴使用经验药水[-]	向[FFFE0D]$NF[-]汇报情况	[url=openwnd:test, Partner, "PartnerMainPanel"]	[url=npc:testtt,$F,15]	3037		3038	622				1				Exp|10000	2	1	1	TongBanJiaJingYan														
3050	PedagogicalTask1_50	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	找[FFFE0D]纳兰姑娘[-]了解五行	找[FFFE0D]纳兰姑娘[-]了解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3051	3050	1101				1					2																	
3051	PedagogicalTask1_51	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·土[-]	击败[FFFE0D]天机制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3050	3052					1378|3	1	1	1			2					[url=dialog:test, 3051]												
3052	PedagogicalTask1_52	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·木[-]	击败[FFFE0D]天机制式傀儡·木[-]	[url=npcanddosomething:test, 1375, 482, autofight, 1]		3051	3053					1375|3	1	1	1			2					[url=dialog:test, 3052]												
3053	PedagogicalTask1_53	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·火[-]	击败[FFFE0D]天机制式傀儡·火[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3052	3054					1377|3	1	1	1			2					[url=dialog:test, 3053]												
3054	PedagogicalTask1_54	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	回去找[FFFE0D]纳兰姑娘[-]	回去找[FFFE0D]纳兰姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3053	3055	3054	1101				1					2																	
3055	PedagogicalTask1_55	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	回答关于[FFFE0D]五行[-]的问题	回答关于[FFFE0D]五行[-]的问题	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3054		3055	1101								Exp|40000	2	1	1	Task_DaTi		[url=openwnd:test, FiveElements]												
3060	PedagogicalTask1_60	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	找[FFFE0D]纳兰姑娘[-]了解五行	找[FFFE0D]纳兰姑娘[-]了解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3061	3060	1101				1					2																	
3061	PedagogicalTask1_61	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·水[-]	击败[FFFE0D]天机制式傀儡·水[-]	[url=npcanddosomething:test, 1376, 482, autofight, 1]		3060	3062					1376|3	1	1	1			2					[url=dialog:test, 3061]												
3062	PedagogicalTask1_62	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·土[-]	击败[FFFE0D]天机制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3061	3063					1378|3	1	1	1			2					[url=dialog:test, 3062]												
3063	PedagogicalTask1_63	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·金[-]	击败[FFFE0D]天机制式傀儡·金[-]	[url=npcanddosomething:test, 1374, 482, autofight, 1]		3062	3064					1374|3	1	1	1			2					[url=dialog:test, 3063]												
3064	PedagogicalTask1_64	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	回去找[FFFE0D]纳兰姑娘[-]	回去找[FFFE0D]纳兰姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3063	3065	3064	1101				1					2																	
3065	PedagogicalTask1_65	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	回答关于[FFFE0D]五行[-]的问题	回答关于[FFFE0D]五行[-]的问题	[url=openwnd:test, ActivityQuestion, "Task"]	[url=npc:testtt,$F,482]	3064		3065	1101								Exp|40000	2	1	1	Task_DaTi		[url=openwnd:test, FiveElements]												
3070	PedagogicalTask1_70	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	找[FFFE0D]纳兰姑娘[-]了解五行	找[FFFE0D]纳兰姑娘[-]了解五行	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]		3071	3070	1101				1					2																	
3071	PedagogicalTask1_71	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·金[-]	击败[FFFE0D]天机制式傀儡·金[-]	[url=npcanddosomething:test, 1374, 482, autofight, 1]		3070	3072					1374|3	1	1	1			2					[url=dialog:test, 3071]												
3072	PedagogicalTask1_72	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·火[-]	击败[FFFE0D]天机制式傀儡·火[-]	[url=npcanddosomething:test, 1377, 482, autofight, 1]		3071	3073					1377|3	1	1	1			2					[url=dialog:test, 3072]												
3073	PedagogicalTask1_73	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	击败[FFFE0D]天机制式傀儡·土[-]	击败[FFFE0D]天机制式傀儡·土[-]	[url=npcanddosomething:test, 1378, 482, autofight, 1]		3072	3074					1378|3	1	1	1			2					[url=dialog:test, 3073]												
3074	PedagogicalTask1_74	[支]五行相克	江湖中有五行一说，天下各大门派武功尽皆源于此，五行间存[FFFE0D] 相克 [-]一说，[FFFE0D] 金克木[-]、[FFFE0D]木克土[-]、[FFFE0D]水克火[-]、[FFFE0D]火克金[-]、[FFFE0D]土克水[-]，门派间相互牵制，若克制对方则伤害增加，且受到的伤害减少。	回去找[FFFE0D]纳兰姑娘[-]	回去找[FFFE0D]纳兰姑娘[-]	[url=npc:testtt,$F,482]	[url=npc:testtt,$F,482]	3073	3075	3074	1101				1					2																	
