TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ShowType
788	高级藏宝图	Cangbaotu_2	34	1009	1009		CangBaoTu	1	古旧的藏宝图纸，记录着藏宝信息\n[FFFE0D]可以通过藏宝图挖宝获得材料合成高级藏宝图，需2人以上组队前往[-]	200000	1	1	1000	3	1	0	99999	30	2									
791	英雄令	Herobrand	34	791	791			12	参与野外首领、历代名将、挑战武林盟主等活动后通过家族拍卖来获取，象征着个人对武林做出的奉献\n\n晋升高级[FFFE0D]「头衔」[-]的必备物品	300000	1	1	1000		1	0	99999											
1393	盟主令	HonorLevelItem_1	34	1393	1393			12	象征勇武，为武者当先强身健体，武功卓绝。\n\n晋升[FFFE0D]「凌云」、「御空」[-]头衔的必备物品	300000	1	1	1000	2	1	0	99999											
1394	名将令	HonorLevelItem_2	34	1394	1394			12	象征谋略，一人虽强，双拳难敌四手，需统御一方之雄，方可称霸一方。\n\n晋升[FFFE0D]「潜龙」、「傲世」[-]头衔的必备物品	500000	1	1	1000	3	1	0	99999											
1395	逐鹿令	HonorLevelItem_3	34	1395	1395			12	象征王气，与世间王侯逐鹿中原、争霸天下的枭雄之令。\n\n晋升[FFFE0D]「倚天」、「至尊」[-]头衔的必备物品	1000000	1	1	1000	4	1	0	99999											
1396	帝皇令	HonorLevelItem_4	34	1396	1396			12	象征帝心，天下已唾手可得，与天地间古之帝王一争长短的帝令。\n\n晋升[FFFE0D]「武圣」、「无双」[-]头衔的必备物品	3000000	1	1	1000	5	1	0	99999											
1397	传说令	HonorLevelItem_5	34	1397	1397			12	通过大型跨服活动获得，象征傲视寰宇的无上荣耀之令。\n\n晋升[FFFE0D]「传说」、「神话」[-]头衔的必备物品	3600000	1	1	1000	6	1	0	99999											
792	古旧的宝箱	Old_Box	34	792	792		RandomItemByLevel	1	散发着古朴气息的箱子，打开后随机获得一份奖励	20000	1	1	1000	2	1	0	99999	8										
915	初级符文箱	Rune_Box_1	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	915	1									
916	中级符文箱	Rune_Box_2	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	916	1									
918	高级符文箱	Rune_Box_3	34	100	100		RandomItem	1	符文宝箱	20000	1	1	1000		1	0	99999	918	1									
917	高级符文卷轴箱	Rune_Reel_Box_4	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	917	1									
919	强效符文卷轴箱	Rune_Reel_Box_5	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	919	1									
920	特效符文卷轴箱	Rune_Reel_Box_6	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	920	1									
921	完美符文卷轴箱	Rune_Reel_Box_7	34	100	100		RandomItem	1	符文卷轴宝箱	20000	1	1	1000		1	0	99999	921	1									
923	凌绝峰2级令牌	RandomFuBen_Item1	34	773	773		TaskItem	11	通关凌绝峰2层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
924	凌绝峰3级令牌	RandomFuBen_Item2	34	774	774		TaskItem	11	通关凌绝峰3层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
925	凌绝峰4级令牌	RandomFuBen_Item3	34	775	775		TaskItem	11	通关凌绝峰4层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
926	凌绝峰5级令牌	RandomFuBen_Item4	34	776	776		TaskItem	11	通关凌绝峰5层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	3	1	0	99999											
1236	凌绝峰1级令牌	RandomFuBen_Item5	34	772	772		TaskItem	11	通关凌绝峰1层有概率获得，可用来完成商会任务（30级开启）	20000	1	1	1000	2	1	0	99999											
927	宝石碎片	CommonStoneDebris	34	927	927		CommonStoneDebris	99	残缺不全宝石碎片，需要[FFFE0D]5块[-]才能打造成1个随机1级宝石	20000	1	1	1000		1	0	99999											
968	守护者宝箱	Dungeon_Leader_Box	34	100	100		RandomItemByLevel	1	守护者宝箱，包含一份随机奖励	20000	1	1	1000		1	0	99999	12										
969	随机宝石袋	Dungeon_Stone_Box	34	100	100		RandomItemByLevel	1	随机获得一颗宝石	20000	1	1	1000		1	0	99999	13										
1390	随机银两袋	Dungeon_Silver_Box	34	100	100		RandomItemByLevel	1	随机获得银两	20000	1	1	1000	2	1	0	99999	28										
1004	水晶宝箱	Punish_Crystal_Box	34	100	100		RandomItemByLevel	1	打开后随机获得一个水晶	20000	1	1	1000	2	1	0	99999	21										
1005	盗贼包裹	Kin_Robber_Box	34	1005	1005		RandomItemByLevel	1	从家族盗贼身上收刮而来的包裹，打开后随机获得一份奖励	20000	1	1	1000		1	0	99999	14	1									
1006	1级宝石袋	Random_Stone_Bag_1	34	100	100		RandomItem	1	打开后随机获得1颗1级宝石	20000	1	2	1000		1	0	99999	1006	1									
1007	2级宝石袋	Random_Stone_Bag_2	34	100	100		RandomItem	1	打开后随机获得1颗2级宝石	20000	1	2	1000		1	0	99999	1007	1									
1008	3级宝石袋	Random_Stone_Bag_3	34	100	100		RandomItem	1	打开后随机获得1颗3级宝石	20000	1	2	1000		1	0	99999	1008	1									
1009	4级宝石袋	Random_Stone_Bag_4	34	100	100		RandomItem	1	打开后随机获得1颗4级宝石	20000	1	2	1000		1	0	99999	1009	1									
