TargetTemplateID	Desc	BagSort	IsHideItemTip	IsShowFrag	NoSellAttachTarget	IsHideTip	ConsumeType	ConsumeCount	KinMsg	ChildTemplateID1	NeedCount1	ChildTemplateID2	NeedCount2	ChildTemplateID3	NeedCount3	ChildTemplateID4	NeedCount4	ChildTemplateID5	NeedCount5	ChildTemplateID6	NeedCount6	ChildTemplateID7	NeedCount7	ChildTemplateID8	NeedCount8	ValidTime
5666	【传承】16阶武器(未鉴定)	90		1						10321	5															
5667	【传承】17阶武器(未鉴定)	88		1						10322	5															
5668	【传承】18阶武器(未鉴定)	86		1						10323	5
5726	【传承】16阶衣服(未鉴定)	90		1						10381	5															
5727	【传承】17阶衣服(未鉴定)	88		1						10382	5															
5728	【传承】18阶衣服(未鉴定)	86		1						10383	5
5676	【传承】姹紫之链(未鉴定)	90		1						10331	5															
5677	【传承】姹紫之链(未鉴定)	88		1						10332	5															
5678	【传承】姹紫之链(未鉴定)	86		1						10333	5
5686	【传承】衍花之戒(未鉴定)	90		1						10341	5															
5687	【传承】衍花之戒(未鉴定)	88		1						10342	5															
5688	【传承】衍花之戒(未鉴定)	86		1						10343	5
5696	【传承】郁金佩(未鉴定)	90		1						10351	5															
5697	【传承】郁金佩(未鉴定)	88		1						10352	5															
5698	【传承】郁金佩(未鉴定)	86		1						10353	5
5706	【传承】比翼符(未鉴定)	90		1						10361	5															
5707	【传承】比翼符(未鉴定)	88		1						10362	5															
5708	【传承】比翼符(未鉴定)	86		1						10363	5
5716	【传承】16阶帽子(未鉴定)	90		1						10371	5															
5717	【传承】17阶帽子(未鉴定)	88		1						10372	5															
5718	【传承】18阶帽子(未鉴定)	86		1						10373	5
5736	【传承】16阶护腕(未鉴定)	90		1						10391	5															
5737	【传承】17阶护腕(未鉴定)	88		1						10392	5															
5738	【传承】18阶护腕(未鉴定)	86		1						10393	5
5746	【传承】16阶腰带(未鉴定)	90		1						10401	5															
5747	【传承】17阶腰带(未鉴定)	88		1						10402	5															
5748	【传承】18阶腰带(未鉴定)	86		1						10403	5
5756	【传承】16阶鞋子(未鉴定)	90		1						10411	5															
5757	【传承】17阶鞋子(未鉴定)	88		1						10412	5															
5758	【传承】18阶鞋子(未鉴定)	86		1						10413	5
5565	【稀有】15阶武器(未鉴定)	91		1						5765	10															
5625	【稀有】15阶衣服(未鉴定)	91		1						5825	10															
5575	【稀有】百花之链(未鉴定)	91		1						5775	10															
5585	【稀有】纤羽之戒(未鉴定)	91		1						5785	10															
5595	【稀有】幽荧佩(未鉴定)	91		1						5795	10															
5605	【稀有】旖霞符(未鉴定)	91		1						5805	10															
5615	【稀有】15阶帽子(未鉴定)	91		1						5815	10															
5635	【稀有】15阶护腕(未鉴定)	91		1						5835	10															
5645	【稀有】15阶腰带(未鉴定)	91		1						5845	10															
5655	【稀有】15阶鞋子(未鉴定)	91		1						5855	10															
5665	【传承】15阶武器(未鉴定)	92		1						5770	5															
5725	【传承】15阶衣服(未鉴定)	92		1						5830	5															
5675	【传承】百花之链(未鉴定)	92		1						5780	5															
5685	【传承】纤羽之戒(未鉴定)	92		1						5790	5															
5695	【传承】幽荧佩(未鉴定)	92		1						5800	5															
5705	【传承】旖霞符(未鉴定)	92		1						5810	5															
5715	【传承】15阶帽子(未鉴定)	92		1						5820	5															
5735	【传承】15阶护腕(未鉴定)	92		1						5840	5															
5745	【传承】15阶腰带(未鉴定)	92		1						5850	5															
5755	【传承】15阶鞋子(未鉴定)	92		1						5860	5															
5564	【稀有】14阶武器(未鉴定)	93		1						5764	10															
5624	【稀有】14阶衣服(未鉴定)	93		1						5824	10															
5574	【稀有】仙乐之链(未鉴定)	93		1						5774	10															
5584	【稀有】羡鱼之戒(未鉴定)	93		1						5784	10															
5594	【稀有】烛照佩(未鉴定)	93		1						5794	10															
5604	【稀有】双鱼符(未鉴定)	93		1						5804	10															
5614	【稀有】14阶帽子(未鉴定)	93		1						5814	10															
5634	【稀有】14阶护腕(未鉴定)	93		1						5834	10															
5644	【稀有】14阶腰带(未鉴定)	93		1						5844	10															
5654	【稀有】14阶鞋子(未鉴定)	93		1						5854	10															
5664	【传承】14阶武器(未鉴定)	94		1						5769	5															
5724	【传承】14阶衣服(未鉴定)	94		1						5829	5															
5674	【传承】仙乐之链(未鉴定)	94		1						5779	5															
5684	【传承】羡鱼之戒(未鉴定)	94		1						5789	5															
5694	【传承】烛照佩(未鉴定)	94		1						5799	5															
5704	【传承】双鱼符(未鉴定)	94		1						5809	5															
5714	【传承】14阶帽子(未鉴定)	94		1						5819	5															
5734	【传承】14阶护腕(未鉴定)	94		1						5839	5															
5744	【传承】14阶腰带(未鉴定)	94		1						5849	5															
5754	【传承】14阶鞋子(未鉴定)	94		1						5859	5															
5563	【稀有】13阶武器(未鉴定)	95		1						5763	10															
5623	【稀有】13阶衣服(未鉴定)	95		1						5823	10															
5573	【稀有】凌霄之链(未鉴定)	95		1						5773	10															
5583	【稀有】麒麟之戒(未鉴定)	95		1						5783	10															
5593	【稀有】貔貅佩(未鉴定)	95		1						5793	10															
5603	【稀有】广寒符(未鉴定)	95		1						5803	10															
5613	【稀有】13阶帽子(未鉴定)	95		1						5813	10															
5633	【稀有】13阶护腕(未鉴定)	95		1						5833	10															
5643	【稀有】13阶腰带(未鉴定)	95		1						5843	10															
5653	【稀有】13阶鞋子(未鉴定)	95		1						5853	10															
5663	【传承】13阶武器(未鉴定)	96		1						5768	5															
5723	【传承】13阶衣服(未鉴定)	96		1						5828	5															
5673	【传承】凌霄之链(未鉴定)	96		1						5778	5															
5683	【传承】麒麟之戒(未鉴定)	96		1						5788	5															
5693	【传承】貔貅佩(未鉴定)	96		1						5798	5															
5703	【传承】广寒符(未鉴定)	96		1						5808	5															
5713	【传承】13阶帽子(未鉴定)	96		1						5818	5															
5733	【传承】13阶护腕(未鉴定)	96		1						5838	5															
5743	【传承】13阶腰带(未鉴定)	96		1						5848	5															
5753	【传承】13阶鞋子(未鉴定)	96		1						5858	5															
5562	【稀有】12阶武器(未鉴定)	97		1						5762	10															
5622	【稀有】12阶衣服(未鉴定)	97		1						5822	10															
5572	【稀有】凌霄之链(未鉴定)	97		1						5772	10															
5582	【稀有】麒麟之戒(未鉴定)	97		1						5782	10															
5592	【稀有】貔貅佩(未鉴定)	97		1						5792	10															
5602	【稀有】广寒符(未鉴定)	97		1						5802	10															
5612	【稀有】12阶帽子(未鉴定)	97		1						5812	10															
5632	【稀有】12阶护腕(未鉴定)	97		1						5832	10															
5642	【稀有】12阶腰带(未鉴定)	97		1						5842	10															
5652	【稀有】12阶鞋子(未鉴定)	97		1						5852	10															
5662	【传承】12阶武器(未鉴定)	98		1						5767	5															
5722	【传承】12阶衣服(未鉴定)	98		1						5827	5															
5672	【传承】凌霄之链(未鉴定)	98		1						5777	5															
5682	【传承】麒麟之戒(未鉴定)	98		1						5787	5															
5692	【传承】貔貅佩(未鉴定)	98		1						5797	5															
5702	【传承】广寒符(未鉴定)	98		1						5807	5															
5712	【传承】12阶帽子(未鉴定)	98		1						5817	5															
5732	【传承】12阶护腕(未鉴定)	98		1						5837	5															
5742	【传承】12阶腰带(未鉴定)	98		1						5847	5															
5752	【传承】12阶鞋子(未鉴定)	98		1						5857	5															
5561	【稀有】11阶武器(未鉴定)	99		1						5761	10															
5621	【稀有】11阶衣服(未鉴定)	99		1						5821	10															
5571	【稀有】乾坤之链(未鉴定)	99		1						5771	10															
5581	【稀有】白泽之戒(未鉴定)	99		1						5781	10															
5591	【稀有】天心佩(未鉴定)	99		1						5791	10															
5601	【稀有】赤霄符(未鉴定)	99		1						5801	10															
5611	【稀有】11阶帽子(未鉴定)	99		1						5811	10															
5631	【稀有】11阶护腕(未鉴定)	99		1						5831	10															
5641	【稀有】11阶腰带(未鉴定)	99		1						5841	10															
5651	【稀有】11阶鞋子(未鉴定)	99		1						5851	10															
5661	【传承】11阶武器(未鉴定)	100		1						5766	5															
5721	【传承】11阶衣服(未鉴定)	100		1						5826	5															
5671	【传承】乾坤之链(未鉴定)	100		1						5776	5															
5681	【传承】白泽之戒(未鉴定)	100		1						5786	5															
5691	【传承】天心佩(未鉴定)	100		1						5796	5															
5701	【传承】赤霄符(未鉴定)	100		1						5806	5															
5711	【传承】11阶帽子(未鉴定)	100		1						5816	5															
5731	【传承】11阶护腕(未鉴定)	100		1						5836	5															
5741	【传承】11阶腰带(未鉴定)	100		1						5846	5															
5751	【传承】11阶鞋子(未鉴定)	100		1						5856	5															
1131	【稀有】10阶武器(未鉴定)	101		1						3667	10															
1191	【稀有】10阶衣服(未鉴定)	101		1						3679	10															
1141	【稀有】鸿雁之链(未鉴定)	101		1						3669	10															
1151	【稀有】瑞祥之戒(未鉴定)	101		1						3671	10															
1161	【稀有】北冥佩(未鉴定)	101		1						3673	10															
1171	【稀有】紫珀符(未鉴定)	101		1						3675	10															
1181	【稀有】10阶帽子(未鉴定)	101		1						3677	10															
1201	【稀有】10阶护腕(未鉴定)	101		1						3681	10															
1211	【稀有】10阶腰带(未鉴定)	101		1						3683	10															
1221	【稀有】10阶鞋子(未鉴定)	101		1						3685	10															
3648	【传承】10阶武器(未鉴定)	102		1						3668	5															
3660	【传承】10阶衣服(未鉴定)	102		1						3680	5															
3650	【传承】鸿雁之链(未鉴定)	102		1						3670	5															
3652	【传承】瑞祥之戒(未鉴定)	102		1						3672	5															
3654	【传承】北冥佩(未鉴定)	102		1						3674	5															
3656	【传承】紫珀符(未鉴定)	102		1						3676	5															
3658	【传承】10阶帽子(未鉴定)	102		1						3678	5															
3662	【传承】10阶护腕(未鉴定)	102		1						3682	5															
3664	【传承】10阶腰带(未鉴定)	102		1						3684	5															
3666	【传承】10阶鞋子(未鉴定)	102		1						3686	5															
1130	【稀有】9阶武器(未鉴定)	103		1						2945	10															
1190	【稀有】9阶衣服(未鉴定)	103		1						2981	10															
1140	【稀有】朝露之链(未鉴定)	103		1						2951	10															
1150	【稀有】应龙之戒(未鉴定)	103		1						2957	10															
1160	【稀有】鲲鹏佩(未鉴定)	103		1						2963	10															
1170	【稀有】仙缘符(未鉴定)	103		1						2969	10															
1180	【稀有】9阶帽子(未鉴定)	103		1						2975	10															
1200	【稀有】9阶护腕(未鉴定)	103		1						2987	10															
1210	【稀有】9阶腰带(未鉴定)	103		1						2993	10															
1220	【稀有】9阶鞋子(未鉴定)	103		1						2999	10															
3647	【传承】9阶武器(未鉴定)	104		1						2948	5															
3659	【传承】9阶衣服(未鉴定)	104		1						2984	5															
3649	【传承】朝露之链(未鉴定)	104		1						2954	5															
3651	【传承】应龙之戒(未鉴定)	104		1						2960	5															
3653	【传承】鲲鹏佩(未鉴定)	104		1						2966	5															
3655	【传承】仙缘符(未鉴定)	104		1						2972	5															
3657	【传承】9阶帽子(未鉴定)	104		1						2978	5															
3661	【传承】9阶护腕(未鉴定)	104		1						2990	5															
3663	【传承】9阶腰带(未鉴定)	104		1						2996	5															
3665	【传承】9阶鞋子(未鉴定)	104		1						3002	5															
1129	【稀有】8阶武器(未鉴定)	105		1						2944	10															
1189	【稀有】8阶衣服(未鉴定)	105		1						2980	10															
1139	【稀有】群鸟之链(未鉴定)	105		1						2950	10															
1149	【稀有】邢天之戒(未鉴定)	105		1						2956	10															
1159	【稀有】龙首佩(未鉴定)	105		1						2962	10															
1169	【稀有】清虚符(未鉴定)	105		1						2968	10															
1179	【稀有】8阶帽子(未鉴定)	105		1						2974	10															
1199	【稀有】8阶护腕(未鉴定)	105		1						2986	10															
1209	【稀有】8阶腰带(未鉴定)	105		1						2992	10															
1219	【稀有】8阶鞋子(未鉴定)	105		1						2998	10															
1619	【传承】8阶武器(未鉴定)	106		1						2947	5															
1667	【传承】8阶衣服(未鉴定)	106		1						2983	5															
1627	【传承】群鸟之链(未鉴定)	106		1						2953	5															
1635	【传承】邢天之戒(未鉴定)	106		1						2959	5															
1643	【传承】龙首佩(未鉴定)	106		1						2965	5															
1651	【传承】清虚符(未鉴定)	106		1						2971	5															
1659	【传承】8阶帽子(未鉴定)	106		1						2977	5															
1675	【传承】8阶护腕(未鉴定)	106		1						2989	5															
1683	【传承】8阶腰带(未鉴定)	106		1						2995	5															
1691	【传承】8阶鞋子(未鉴定)	106		1						3001	5															
1128	【稀有】7阶武器(未鉴定)	107		1						2943	10															
1188	【稀有】7阶衣服(未鉴定)	107		1						2979	10															
1138	【稀有】北辰之链(未鉴定)	107		1						2949	10															
1148	【稀有】苍穹之戒(未鉴定)	107		1						2955	10															
1158	【稀有】勾云佩(未鉴定)	107		1						2961	10															
1168	【稀有】天魔符(未鉴定)	107		1						2967	10															
1178	【稀有】7阶帽子(未鉴定)	107		1						2973	10															
1198	【稀有】7阶护腕(未鉴定)	107		1						2985	10															
1208	【稀有】7阶腰带(未鉴定)	107		1						2991	10															
1218	【稀有】7阶鞋子(未鉴定)	107		1						2997	10															
1618	【传承】7阶武器(未鉴定)	108		1						2946	5															
1666	【传承】7阶衣服(未鉴定)	108		1						2982	5															
1626	【传承】北辰之链(未鉴定)	108		1						2952	5															
1634	【传承】苍穹之戒(未鉴定)	108		1						2958	5															
1642	【传承】勾云佩(未鉴定)	108		1						2964	5															
1650	【传承】天魔符(未鉴定)	108		1						2970	5															
1658	【传承】7阶帽子(未鉴定)	108		1						2976	5															
1674	【传承】7阶护腕(未鉴定)	108		1						2988	5															
1682	【传承】7阶腰带(未鉴定)	108		1						2994	5															
1690	【传承】7阶鞋子(未鉴定)	108		1						3000	5															
1127	【稀有】6阶武器(未鉴定)	109		1						2090	10															
1187	【稀有】6阶衣服(未鉴定)	109		1						2126	10															
1137	【稀有】秘隐之链(未鉴定)	109		1						2096	10															
1147	【稀有】火府之戒(未鉴定)	109		1						2102	10															
1157	【稀有】雁行佩(未鉴定)	109		1						2108	10															
1167	【稀有】雷神符(未鉴定)	109		1						2114	10															
1177	【稀有】6阶帽子(未鉴定)	109		1						2120	10															
1197	【稀有】6阶护腕(未鉴定)	109		1						2132	10															
1207	【稀有】6阶腰带(未鉴定)	109		1						2138	10															
1217	【稀有】6阶鞋子(未鉴定)	109		1						2144	10															
1617	【传承】6阶武器(未鉴定)	110		1						2093	5															
1665	【传承】6阶衣服(未鉴定)	110		1						2129	5															
1625	【传承】秘隐之链(未鉴定)	110		1						2099	5															
1633	【传承】火府之戒(未鉴定)	110		1						2105	5															
1641	【传承】雁行佩(未鉴定)	110		1						2111	5															
1649	【传承】雷神符(未鉴定)	110		1						2117	5															
1657	【传承】6阶帽子(未鉴定)	110		1						2123	5															
1673	【传承】6阶护腕(未鉴定)	110		1						2135	5															
1681	【传承】6阶腰带(未鉴定)	110		1						2141	5															
1689	【传承】6阶鞋子(未鉴定)	110		1						2147	5															
1126	【稀有】5阶武器(未鉴定)	111		1						2089	10															
1186	【稀有】5阶衣服(未鉴定)	111		1						2125	10															
1136	【稀有】温润之链(未鉴定)	111		1						2095	10															
1146	【稀有】荒芜之戒(未鉴定)	111		1						2101	10															
1156	【稀有】龙鱼佩(未鉴定)	111		1						2107	10															
1166	【稀有】天罡符(未鉴定)	111		1						2113	10															
1176	【稀有】5阶帽子(未鉴定)	111		1						2119	10															
1196	【稀有】5阶护腕(未鉴定)	111		1						2131	10															
1206	【稀有】5阶腰带(未鉴定)	111		1						2137	10															
1216	【稀有】5阶鞋子(未鉴定)	111		1						2143	10															
1616	【传承】5阶武器(未鉴定)	112		1						2092	5															
1664	【传承】5阶衣服(未鉴定)	112		1						2128	5															
1624	【传承】温润之链(未鉴定)	112		1						2098	5															
1632	【传承】荒芜之戒(未鉴定)	112		1						2104	5															
1640	【传承】龙鱼佩(未鉴定)	112		1						2110	5															
1648	【传承】天罡符(未鉴定)	112		1						2116	5															
1656	【传承】5阶帽子(未鉴定)	112		1						2122	5															
1672	【传承】5阶护腕(未鉴定)	112		1						2134	5															
1680	【传承】5阶腰带(未鉴定)	112		1						2140	5															
1688	【传承】5阶鞋子(未鉴定)	112		1						2146	5															
1125	【稀有】4阶武器(未鉴定)	113		1						2088	10															
1185	【稀有】4阶衣服(未鉴定)	113		1						2124	10															
1135	【稀有】五色项链(未鉴定)	113		1						2094	10															
1145	【稀有】破军之戒(未鉴定)	113		1						2100	10															
1155	【稀有】玉蝉佩(未鉴定)	113		1						2106	10															
1165	【稀有】出云符(未鉴定)	113		1						2112	10															
1175	【稀有】4阶帽子(未鉴定)	113		1						2118	10															
1195	【稀有】4阶护腕(未鉴定)	113		1						2130	10															
1205	【稀有】4阶腰带(未鉴定)	113		1						2136	10															
1215	【稀有】4阶鞋子(未鉴定)	113		1						2142	10															
1615	【传承】4阶武器(未鉴定)	114		1						2091	5															
1663	【传承】4阶衣服(未鉴定)	114		1						2127	5															
1623	【传承】五色项链(未鉴定)	114		1						2097	5															
1631	【传承】破军之戒(未鉴定)	114		1						2103	5															
1639	【传承】玉蝉佩(未鉴定)	114		1						2109	5															
1647	【传承】出云符(未鉴定)	114		1						2115	5															
1655	【传承】4阶帽子(未鉴定)	114		1						2121	5															
1671	【传承】4阶护腕(未鉴定)	114		1						2133	5															
1679	【传承】4阶腰带(未鉴定)	114		1						2139	5															
1687	【传承】4阶鞋子(未鉴定)	114		1						2145	5															
3021	里飞沙	201		1						3395	10															
3392	红骊	202		1						3396	10															
3393	绿踪	203		1						3397	10															
3311	八家将衣服	301		1						3312	10															
1378	同伴·独孤剑	401		1						3406	10															
2253	同伴·南宫飞云	402		1						3407	10															
2254	同伴·杨影枫	403		1						3408	10															
1398	同伴·荆轲	404		1						3409	10															
2258	同伴·虞姬	405		1						3410	10															
2259	同伴·岳飞	406		1						3411	10															
1399	同伴·李广	407		1						3412	10															
1400	同伴·赵云	408		1						3413	10															
1401	同伴·李元霸	409		1						3414	10															
3449	7阶缰绳	501		1						3466	20															
3454	7阶马鞍	501		1						3473	20															
3459	7阶脚蹬	501		1						3480	20															
3448	6阶缰绳	502		1						3465	20															
3453	6阶马鞍	502		1						3472	20															
3458	6阶脚蹬	502		1						3479	20															
3447	5阶缰绳	503		1						3464	20															
3452	5阶马鞍	503		1						3471	20															
3457	5阶脚蹬	503		1						3478	20															
3446	4阶缰绳	504		1						3463	20															
3451	4阶马鞍	504		1						3470	20															
3456	4阶脚蹬	504		1						3477	20															
3445	3阶缰绳	505		1						3462	20															
3450	3阶马鞍	505		1						3469	20															
3455	3阶脚蹬	505		1						3476	20															
3416	2阶缰绳	506		1						3461	10															
3418	2阶马鞍	506		1						3468	10															
3420	2阶脚蹬	506		1						3475	10															
3415	1阶缰绳	507		1						3460	5															
3417	1阶马鞍	507		1						3467	5															
3419	1阶脚蹬	507		1						3474	5															
6694	江湖盛典欢庆礼盒	9					Coin	2000	800	6686	1	6687	1	6688	1	6689	1	6691	1	6690	1	6692	1	6693	1	
9855	盛典令	15					Coin	1000	900	9850	1	9851	1	9852	1	9853	1	9854	1							2019/12/18 23:59
10146	【门客】秦始皇	410		1						10195	5															
10128	初级魂石·完颜宗翰(唯一)	16								10196	5															
9971	初级魂石·风行周(唯一)	17								10277	5															
7648	初级魂石·王腾(唯一)	18								10278	5															
7981	江湖绝学·风虎云龙	19								10490	1	2424	100													
7982	江湖绝学·挥袂生风	20								10491	1	2424	100													
9401	初级魂石·孟苍岚(唯一)	21								10554	5															
4849	初级魂石·唐晓(唯一)	22								10555	5															
9974	初级魂石·方公望(唯一)	23								10556	5															
9977	初级魂石·鬼谷子·阴(唯一)	27								10962	5															
9980	初级魂石·鬼谷子·阳(唯一)	28								10963	5															
10004	白金武器图谱	17								11121	10															
10008	白金护腕图谱	33								11977	3
10011	白金戒指图谱	32								11976	5
10012	白金玉佩图谱	29								11748	5
10144	【门客】鬼谷子	410		1						700001	5															
10145	【门客】项羽	410		1						700002	5															
10147	【门客】完颜洪烈	410		1						700003	5															
10148	【门客】武则天	410		1						700004	5															
10139	鬼谷子·封印之杖	410		1						700005	5															
10140	项羽·封印之戟	410		1						700006	5															
10141	秦始皇·封印之剑	410		1						700007	5															
10142	完颜洪烈·封印之鹰	410		1						700008	5															
10143	武则天·封印之羽	410		1						700009	5															
