Type	Target	StartFrame	EndFrame	Value1	Value2
Move	maleBTN	1	2	{333.3333,-166.0000,0.0000}	{266.6667,-166.0000,0.0000}
Move	maleBTN	2	3	{266.6667,-166.0000,0.0000}	{200.0000,-166.0000,0.0000}
Move	maleBTN	3	4	{200.0000,-166.0000,0.0000}	{133.3333,-166.0000,0.0000}
Move	maleBTN	4	5	{133.3333,-166.0000,0.0000}	{66.6667,-166.0000,0.0000}
Move	maleBTN	5	6	{66.6667,-166.0000,0.0000}	{0.0000,-166.0000,0.0000}
Move	maleBTN	6	7	{0.0000,-166.0000,0.0000}	{-66.6666,-166.0000,0.0000}
Move	maleBTN	7	8	{-66.6666,-166.0000,0.0000}	{-133.3333,-166.0000,0.0000}
Move	maleBTN	8	9	{-133.3333,-166.0000,0.0000}	{-200.0000,-166.0000,0.0000}
Alpha	maleBTN	0	1	0.0000	-0.0231
Alpha	maleBTN	1	2	-0.0231	-0.0741
Alpha	maleBTN	2	3	-0.0741	-0.1250
Alpha	maleBTN	3	4	-0.1250	-0.1481
Alpha	maleBTN	4	5	-0.1481	-0.1157
Alpha	maleBTN	5	6	-0.1157	0.0000
Alpha	maleBTN	6	7	0.0000	0.2593
Alpha	maleBTN	7	8	0.2593	0.6296
Alpha	maleBTN	8	9	0.6296	1.0000
Move	FemaleBTN	0	1	{500.0000,-166.0000,0.0000}	{434.6667,-166.0000,0.0000}
Move	FemaleBTN	1	2	{434.6667,-166.0000,0.0000}	{369.3333,-166.0000,0.0000}
Move	FemaleBTN	2	3	{369.3333,-166.0000,0.0000}	{304.0000,-166.0000,0.0000}
Move	FemaleBTN	3	4	{304.0000,-166.0000,0.0000}	{238.6667,-166.0000,0.0000}
Move	FemaleBTN	4	5	{238.6667,-166.0000,0.0000}	{173.3333,-166.0000,0.0000}
Move	FemaleBTN	5	6	{173.3333,-166.0000,0.0000}	{108.0000,-166.0000,0.0000}
Move	FemaleBTN	6	7	{108.0000,-166.0000,0.0000}	{42.6667,-166.0000,0.0000}
Move	FemaleBTN	7	8	{42.6667,-166.0000,0.0000}	{-22.6667,-166.0000,0.0000}
Move	FemaleBTN	8	9	{-22.6667,-166.0000,0.0000}	{-88.0000,-166.0000,0.0000}
Alpha	FemaleBTN	0	1	0.0000	-0.0231
Alpha	FemaleBTN	1	2	-0.0231	-0.0741
Alpha	FemaleBTN	2	3	-0.0741	-0.1250
Alpha	FemaleBTN	3	4	-0.1250	-0.1481
Alpha	FemaleBTN	4	5	-0.1481	-0.1157
Alpha	FemaleBTN	5	6	-0.1157	0.0000
Alpha	FemaleBTN	6	7	0.0000	0.2593
Alpha	FemaleBTN	7	8	0.2593	0.6296
Alpha	FemaleBTN	8	9	0.6296	1.0000
Move	Faction	0	1	{216.0000,0.0000,0.0000}	{217.9102,0.0000,0.0000}
Move	Faction	1	2	{217.9102,0.0000,0.0000}	{220.4063,0.0000,0.0000}
Move	Faction	2	3	{220.4063,0.0000,0.0000}	{223.1367,0.0000,0.0000}
Move	Faction	3	4	{223.1367,0.0000,0.0000}	{225.7500,0.0000,0.0000}
Move	Faction	4	5	{225.7500,0.0000,0.0000}	{227.8945,0.0000,0.0000}
Move	Faction	5	6	{227.8945,0.0000,0.0000}	{229.2188,0.0000,0.0000}
Move	Faction	6	7	{229.2188,0.0000,0.0000}	{229.3711,0.0000,0.0000}
Move	Faction	7	8	{229.3711,0.0000,0.0000}	{228.0000,0.0000,0.0000}
Move	Faction	8	9	{228.0000,0.0000,0.0000}	{222.6667,0.0000,0.0000}
Move	Faction	9	10	{222.6667,0.0000,0.0000}	{214.8333,0.0000,0.0000}
Move	Faction	10	11	{214.8333,0.0000,0.0000}	{210.0000,0.0000,0.0000}
Move	Faction	11	12	{210.0000,0.0000,0.0000}	{211.8750,0.0000,0.0000}
Move	Faction	12	13	{211.8750,0.0000,0.0000}	{216.0000,0.0000,0.0000}
