Type	Target	StartFrame	EndFrame	Value1	Value2
Scalc	BtnArrow3	0	1	{1.0000,1.0000,1.0000}	{1.0218,1.1319,1.0000}
Scalc	BtnArrow3	1	2	{1.0218,1.1319,1.0000}	{1.0436,1.2639,1.0000}
Scalc	BtnArrow3	2	3	{1.0436,1.2639,1.0000}	{1.0000,1.0000,1.0000}
Scalc	BtnArrow3	3	4	{1.0000,1.0000,1.0000}	{1.0966,1.4105,1.0000}
Scalc	BtnArrow3	4	5	{1.0966,1.4105,1.0000}	{1.1964,2.1875,1.0000}
Scalc	BtnArrow3	5	6	{1.1964,2.1875,1.0000}	{2.2898,1.3966,1.0000}
Scalc	BtnArrow3	6	7	{2.2898,1.3966,1.0000}	{3.0875,0.5362,1.0000}
Scalc	BtnArrow3	7	8	{3.0875,0.5362,1.0000}	{0.0000,0.0000,1.0000}
Scalc	BtnArrow3	8	9	{0.0000,0.0000,1.0000}	{0.2000,0.0000,1.0000}
Scalc	BtnArrow3	9	10	{0.2000,0.0000,1.0000}	{0.4000,0.0000,1.0000}
Scalc	BtnArrow3	10	11	{0.4000,0.0000,1.0000}	{0.6000,0.0000,1.0000}
Scalc	BtnArrow3	11	12	{0.6000,0.0000,1.0000}	{0.8000,0.0000,1.0000}
Scalc	BtnArrow3	12	13	{0.8000,0.0000,1.0000}	{1.0000,0.0000,1.0000}
Scalc	BtnArrow3	13	14	{1.0000,0.0000,1.0000}	{0.6822,0.1858,1.0000}
Scalc	BtnArrow3	14	15	{0.6822,0.1858,1.0000}	{0.3183,0.5308,1.0000}
Scalc	BtnArrow3	15	16	{0.3183,0.5308,1.0000}	{0.1445,0.7166,1.0000}
Scalc	BtnArrow3	16	17	{0.1445,0.7166,1.0000}	{0.3753,0.9779,1.0000}
Scalc	BtnArrow3	17	18	{0.3753,0.9779,1.0000}	{0.6062,1.1979,1.0000}
Scalc	BtnArrow3	18	19	{0.6062,1.1979,1.0000}	{0.8254,1.1411,1.0000}
Scalc	BtnArrow3	19	20	{0.8254,1.1411,1.0000}	{1.0000,1.0000,1.0000}
Rotation	BtnArrow3	0	1	{180.0000,0.0000,-180.0000}	{180.0000,0.0000,-180.0000}
Rotation	BtnArrow3	1	2	{180.0000,0.0000,-180.0000}	{180.0000,0.0000,-180.0000}
Rotation	BtnArrow3	2	3	{180.0000,0.0000,-180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	3	4	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	4	5	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	5	6	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	6	7	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	7	8	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	8	9	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	9	10	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	10	11	{180.0000,0.0000,180.0000}	{180.0000,0.0000,180.0000}
Rotation	BtnArrow3	11	12	{180.0000,0.0000,180.0000}	{180.0000,0.0000,-180.0000}
Rotation	BtnArrow3	12	13	{180.0000,0.0000,-180.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	13	14	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	14	15	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	15	16	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	16	17	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	17	18	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	18	19	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Rotation	BtnArrow3	19	20	{0.0000,0.0000,0.0000}	{0.0000,0.0000,0.0000}
Move	Faction	3	4	{216.0000,0.0000,0.0000}	{217.2850,0.0000,0.0000}
Move	Faction	4	5	{217.2850,0.0000,0.0000}	{219.0133,0.0000,0.0000}
Move	Faction	5	6	{219.0133,0.0000,0.0000}	{220.9950,0.0000,0.0000}
Move	Faction	6	7	{220.9950,0.0000,0.0000}	{223.0400,0.0000,0.0000}
Move	Faction	7	8	{223.0400,0.0000,0.0000}	{224.9583,0.0000,0.0000}
Move	Faction	8	9	{224.9583,0.0000,0.0000}	{226.5600,0.0000,0.0000}
Move	Faction	9	10	{226.5600,0.0000,0.0000}	{227.6550,0.0000,0.0000}
Move	Faction	10	11	{227.6550,0.0000,0.0000}	{228.0533,0.0000,0.0000}
Move	Faction	11	12	{228.0533,0.0000,0.0000}	{227.5650,0.0000,0.0000}
Move	Faction	12	13	{227.5650,0.0000,0.0000}	{226.0000,0.0000,0.0000}
Move	Faction	13	14	{226.0000,0.0000,0.0000}	{221.1481,0.0000,0.0000}
Move	Faction	14	15	{221.1481,0.0000,0.0000}	{214.1852,0.0000,0.0000}
Move	Faction	15	16	{214.1852,0.0000,0.0000}	{210.0000,0.0000,0.0000}
Move	Faction	16	17	{210.0000,0.0000,0.0000}	{211.9583,0.0000,0.0000}
Move	Faction	17	18	{211.9583,0.0000,0.0000}	{216.0000,0.0000,0.0000}
