nSectionIdx	nSubSectionIdx	nFubenIndex	szTitle	szUiTypeName	szUiAtlas	nType	bFFHideUi
8	5	45	唐门幽径	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
9	1	46	湖心迷宫	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	
9	2	47	霹雳堂	Fuben2_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	
9	3	48	凤池黑牢	Fuben2_4	UI/Atlas/Fuben/FubenMap_03.prefab	1	
9	4	49	阴暗密室	Fuben1_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	
9	5	50	天忍迷宫	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	
9	6	51	天忍主殿	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	
500	1	500	白水之围	Fuben500_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
500	2	501	忠义之魂	Fuben500_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	
600	1	600	守卫襄阳	Fuben600_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
900	1	900	野外修炼	Fuben900_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
1000	1	1000	密洞洞天	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
1000	2	1001	密洞洞天	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	
