nSectionIdx	nSubSectionIdx	nFubenIndex	szTitle		szUiTypeName	szUiAtlas	nNeedTaskId	nType	bFFHideUi	ExtPosition
6	5	32	萧瑟战场	与南宫灭战斗，血量低于25%时独孤剑施展天魔解体大法击杀南宫灭。	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
7	1	34	天山凄道	张琳心为救独孤剑，独自来到天山寻找雪莲王	Fuben2_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
7	2	35	洞庭迷宫	独孤剑通过洞庭迷宫	Fuben5_3	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|4050|14300|500|372
7	3	36	天王校场	独孤剑与杨瑛发现封玉书背叛天王帮的面目	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|7660|9240|500|378
7	4	37	五色老巢	在方员外山庄大战五色教	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|5310|4820|500|387
7	5	38	三魔绝地	独孤剑闯三魔阵	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	411|14000|8770|500|392
7	6	39	悲泣荒谷	张如梦与南宫彩虹大战剑门关	Fuben7_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|14180|6970|500|399
7	7	40	凤凰山	击败方勉	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	411|13150|3550|500|408
8	1	41	狂风谷	通过地下废墟来到狂沙镇。	Fuben2_4	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	415|11300|2550|500|420
8	2	42	葬马岗	调查铁门寨事件初遇燕若雪，并一起击败葬马岗山贼。	Fuben1_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	477|1850|5400|500|423
8	3	43	府衙密室	去府衙夺取官印以从上官豹处获得玉圭。	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
8	4	44	风雪山庄	在这里大战赵升权，失败。	Fuben7_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	474|2660|1830|500|457
8	5	45	唐门幽径	在唐门开战，击败唐潇，但被门主唐离制服。	Fuben2_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
9	1	46	湖心迷宫	继续去中都找燕若雪，在汉阳天王帮发展剧情。在湖心迷宫修炼。	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
9	2	47	霹雳堂	在凤池山庄接到灭霹雳堂的任务，击败堂主雷同。	Fuben2_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
9	3	48	凤池黑牢	发展剧情，在大牢击杀邵骑风，救出4位朋友	Fuben2_4	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
9	4	49	阴暗密室	在地下迷宫找到并杀死赵节，并得知独孤剑即为天忍教主完颜洪烈。	Fuben1_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
9	5	50	天忍迷宫	在天忍教迷宫找到并杀死耶律辟离。	Fuben4_2	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
9	6	51	天忍主殿	在天忍教主殿找到并击败完颜洪烈。展现剧情，剑侠2剧情完结。	Fuben7_1	UI/Atlas/Fuben/FubenMap_03.prefab	1	1	1	
500	1	500	白水之围	在白水寺助南宫飞云一臂之力	Fuben500_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
500	2	501	忠义之魂	终于护送虞允文的棺椁来到了临安城外	Fuben500_2	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	472|2600|5700|500|2033
600	1	600	守卫襄阳	潜入敌军后营，袭杀敌军主将	Fuben600_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	6101|5660|10000|500|2627
900	1	900	野外修炼	进入野外，开启修炼	Fuben900_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	
1000	1	1000	密洞洞天	掉进洞窟，开启经脉	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	406|13500|6650|500|3202
1000	2	1001	密洞洞天	掉进洞窟，开启经脉	Fuben1000_1	UI/Atlas/Fuben/FubenMap_01.prefab	1	1	1	406|13500|6650|500|3205
