nFubenIndex	Tips	Npc	Tips1	szFubenTitle	szDesc	nNormalRecommendEdge	nEliteRecommendEdge	nTimeLimite	szNormalTime	szEliteTime	nNeedLevel	nMapTemplateId	nNormalGatherPoint	nEliteGatherPoint	nNormalFreeTimes	nEliteFreeTimes	szLeaveFubenPos
22	4、5	贾老实	临安城东		贾老实回忆当年独孤剑与张如梦为前代恩怨，在临安城外动起了手	0	0	300	0	0	1	41	0	0	999	999	
23	5、1	张林	武夷派		张林回忆起独孤剑帮助武夷派清除入侵的五色教弟子，救下了自己	0	0	300	0	0	1	42	0	0	999	999	488|7500|9400
24	5、2	张林	武夷禁地		张林想起了独孤剑在武夷派禁地救下掌门柳中原……	0	0	300	0	0	1	43	0	0	999	999	489|2160|960
25	5、3	段芙蓉	临安驿道		段芙蓉回忆独孤剑与张琳心联手击退重伤的南宫灭，救下张风的往事	0	0	300	0	0	1	44	0	0	999	999	490|2350|6730
26	5、4	李樵夫	暗影竹林		李樵夫讲述了张如梦如何擒下姚公子……	0	0	300	0	0	1	45	0	0	999	999	
27	5、5	李樵夫	幽暗地牢		李樵夫回忆起独孤剑在监狱中救下自己和天王右使杨湖	0	0	300	0	0	1	46	0	0	999	999	
28	6、1	华山弟子	长安郊外		华山弟子讲起独孤剑和张琳心抓住林对儿的往事	0	0	300	0	0	1	47	0	0	999	999	
29	6、2	华山长老	华山派		华山长老回忆起当年独孤剑戳穿林海的阴谋，拯救华山派于水火之中	0	0	300	0	0	1	48	0	0	999	999	
30	6、3	无智大师	少林幽谷		无智大师缓缓谈起当年独孤剑帮助少林派揭穿叛徒无相的阴谋	0	0	300	0	0	1	49	0	0	999	999	
31	6、4	严将军	古战场		严将军敬畏地谈起独孤剑孤身入金营，劝服陆文龙的往事	0	0	300	0	0	1	50	0	0	999	999	479|5400|1650
32	6、5	严将军	萧瑟战场		严将军心有余悸地回忆起独孤剑危急时刻，以天魔解体大法诛杀南宫灭	0	0	300	0	0	1	51	0	0	999	999	
33	3、2		修武密地		杨影枫来到落叶谷找孟知秋比武，我得赶去观摩一番……	0	0	300	0	0	1	52	0	0	999	999	
34	7、1	顾清雪	天山凄道		顾清雪清冷的声音在讲述张琳心上山求药这件往事的时候，竟罕有地流露出一丝向往的神色，让人不自觉的好奇起来……	0	0	300	0	0	1	53	0	0	999	999	
35	7、2	阿邦	洞庭迷宫		阿邦略带沙哑的声音听起来更显得这些过往的沧桑与斑驳……	0	0	300	0	0	1	54	0	0	999	999	
36	7、3	阿邦	天王校场		阿邦饶有兴致的跟你说起当年杨瑛帮主与独孤剑携手抗敌的旧事……	0	0	300	0	0	1	55	0	0	999	999	
37	7、4	杨瑛	五色老巢		杨瑛兴致勃勃的说着昔日与独孤剑如何勇闯方家庄	0	0	300	0	0	1	56	0	0	999	999	
38	7、5	杨瑛	三魔绝地		杨瑛讲起当年独孤剑冒险为自己夺取解药时，声音既是欣喜，又是黯然。	0	0	300	0	0	1	57	0	0	999	999	
39	7、6	杨瑛	悲泣荒谷		杨瑛不怀好意的说起当年张如梦与南宫彩虹在大漠边缘私定终身，浪迹天涯的故事……	0	0	300	0	0	1	58	0	0	999	999	
40	7、7	独孤剑	凤凰山		独孤剑沧桑而又低沉的说起当年张琳心为了救自己，被打下山崖的悲伤往事……	0	0	300	0	0	1	59	0	0	999	999	
41	8、1	斗笠剑客	狂风谷		有道是柳暗花明又一村，在步入这隐秘的入口前，谁也不曾想到此处竟会通向这么样一个地方……	0	0	300	0	0	1	60	0	0	999	999	476|1900|2700
42	8、2	顾武	葬马岗		山贼营寨危机重重，追随南宫飞云当年的侠影重探贼巢岂不快哉……	0	0	300	0	0	1	61	0	0	999	999	477|2050|1150
43	8、3	上官豹	府衙密室		有道是取之于民，用之于民，既有贪官为恶，取之于民却又中饱私囊，又何妨慷他人之慨？	0	0	300	0	0	1	62	0	0	999	999	
44	8、4	赵升权	风雪山庄		风雪山庄赵升权一手风雪神枪出神入化，能与这等武林高手过招，岂能不令人跃跃欲试？	0	0	300	0	0	1	63	0	0	999	999	474|6000|5900
45	8、5	唐潇	唐门幽径		蜀中唐门自创立以来，便从来无人敢轻视，有机会一探唐门，未尝不令人热血沸腾，深感快哉！	0	0	300	0	0	1	64	0	0	999	999	
46	9、1	迷宫守卫	湖心迷宫		传说天王帮前辈在此精心布置以训练弟子，今日能在此修炼一番对功力必然大有裨益！	0	0	300	0	0	1	65	0	0	999	999	
47	9、2	雷同	霹雳堂		南宫飞云当年初出茅庐单枪匹马灭掉霹雳堂，从此扬名武林，侠影尚在，风采仍存……	0	0	300	0	0	1	66	0	0	999	999	
48	9、3	邵骑风	凤池黑牢		没想到堂堂凤池山庄，竟然做出如此卑鄙无耻的勾当！	0	0	300	0	0	1	67	0	0	999	999	
49	9、4	赵节	阴暗密室		赵节心中有鬼，竟然早在这堂堂帅府里布置了如此隐秘的藏身之地……	0	0	300	0	0	1	68	0	0	999	999	
50	9、5	耶律辟离	天忍迷宫		这极尽曲折之地怕是天忍教重地所在，这诡谲阴暗之地定要让其暴露于昭昭日月之下！	0	0	300	0	0	1	69	0	0	999	999	
51	9、6	完颜洪烈	天忍主殿		深入贼巢取完颜洪烈首级，南宫飞云真乃一代奇侠！	0	0	300	0	0	1	70	0	0	999	999	
500	500、1		白水之围		我星夜兼程来到了白水寺，希望能助南宫飞云一臂之力……	0	0	3000	0	0	1	150	0	0	999	999	
501	500、2		忠义之魂		我们一路小心谨慎护送虞允文的棺椁向临安走来，今天终于快要到达目的地了……	0	0	3000	0	0	1	151	0	0	999	999	472|5030|4570
600	600、1		守卫襄阳		金国大军压境，倘若我潜入敌后，袭杀敌军主将，必能使其群龙无首，军心大乱！	0	0	3000	0	0	1	152	0	0	999	999	
900	900、1		野外修炼		进入野外秘境，开启修炼之路！	0	0	3000	0	0	1	9001	0	0	999	999	
1000	1000、1		密洞洞天		根据玄天道人的指点，你来到了一处神秘幽暗的洞穴，其中却又隐隐约约透着一丝光亮，似乎在告诉你这是你唯一的出路……	0	0	3000	0	0	1	6001	0	0	999	999	
1001	1000、2		密洞洞天		再次回到这里，仿佛柳暗花明又一村，才发现此处一切的布置都是为了引出你的心魔，战胜它！方可踏足经脉修炼之路！	0	0	3000	0	0	1	6002	0	0	999	999	
