TemplateID	Info	Type	Desc	ExtPar1	ExtPar2	ExtPar3
280	1级忽闪宝石	7	珍宝阁			
281	2级忽闪宝石	7	珍宝阁			
282	3级忽闪宝石	7	珍宝阁			
283	4级忽闪宝石	7	珍宝阁			
284	5级忽闪宝石	7	珍宝阁			
285	6级忽闪宝石	7	珍宝阁			
286	7级忽闪宝石	7	珍宝阁			
287	8级忽闪宝石	7	珍宝阁			
288	9级忽闪宝石	7	珍宝阁			
289	10级忽闪宝石	7	珍宝阁			
290	1级会心宝石	7	珍宝阁			
291	2级会心宝石	7	珍宝阁			
292	3级会心宝石	7	珍宝阁			
293	4级会心宝石	7	珍宝阁			
294	5级会心宝石	7	珍宝阁			
295	6级会心宝石	7	珍宝阁			
296	7级会心宝石	7	珍宝阁			
297	8级会心宝石	7	珍宝阁			
298	9级会心宝石	7	珍宝阁			
299	10级会心宝石	7	珍宝阁			
300	1级减会心宝石	7	珍宝阁			
301	2级减会心宝石	7	珍宝阁			
302	3级减会心宝石	7	珍宝阁			
303	4级减会心宝石	7	珍宝阁			
304	5级减会心宝石	7	珍宝阁			
305	6级减会心宝石	7	珍宝阁			
306	7级减会心宝石	7	珍宝阁			
307	8级减会心宝石	7	珍宝阁			
308	9级减会心宝石	7	珍宝阁			
309	10级减会心宝石	7	珍宝阁			
310	1级效果宝石	7	珍宝阁			
311	2级效果宝石	7	珍宝阁			
312	3级效果宝石	7	珍宝阁			
313	4级效果宝石	7	珍宝阁			
314	5级效果宝石	7	珍宝阁			
315	6级效果宝石	7	珍宝阁			
316	7级效果宝石	7	珍宝阁			
317	8级效果宝石	7	珍宝阁			
318	9级效果宝石	7	珍宝阁			
319	10级效果宝石	7	珍宝阁			
320	1级减效果宝石	7	珍宝阁			
321	2级减效果宝石	7	珍宝阁			
322	3级减效果宝石	7	珍宝阁			
323	4级减效果宝石	7	珍宝阁			
324	5级减效果宝石	7	珍宝阁			
325	6级减效果宝石	7	珍宝阁			
326	7级减效果宝石	7	珍宝阁			
327	8级减效果宝石	7	珍宝阁			
328	9级减效果宝石	7	珍宝阁			
329	10级减效果宝石	7	珍宝阁			
