Level	LevelMin	FightPowerWeapon	FightPowerCloth	FightPowerJewelry	FightPowerArmor	ValueWeapon	ValueArmorCloth	ValueJewelry	ValueArmor	ConsumeItem	ConsumeCountWeapon	ConsumeCountCloth	ConsumeCountJewelry	ConsumeCountArmor	Probility	BreakItem	BreakCountWeapon	BreakCountCloth	BreakCountJewelry	BreakCountArmor
33	2	2253	1352	901	450	2253505	1352103	901402	450701	crystal_2	5	3	2	1	700					
34	2	2396	1437	958	479	2396362	1437817	958545	479272	crystal_2	5	3	2	1	600					
35	2	2563	1537	1025	512	2563029	1537817	1025211	512605	crystal_2	5	3	2	1	600					
36	2	2729	1637	1091	545	2729696	1637817	1091878	545939	crystal_2	5	3	2	1	500					
37	2	2929	1757	1171	585	2929696	1757817	1171878	585939	crystal_2	5	3	2	1	500					
38	2	3129	1877	1251	625	3129696	1877817	1251878	625939	crystal_2	5	3	2	1	400					
39	2	3379	2027	1351	675	3379696	2027817	1351878	675939	crystal_2	5	3	2	1	400					
40	3	3629	2177	1451	725	3629696	2177817	1451878	725939	crystal_3	5	3	2	1	900	mystery_stone_2	5	3	2	1
41	3	4074	2444	1629	814	4074140	2444484	1629656	814828	crystal_3	5	3	2	1	900					
42	3	4518	2711	1807	903	4518585	2711151	1807434	903717	crystal_3	5	3	2	1	850					
43	3	4989	2993	1995	997	4989173	2993503	1995669	997834	crystal_3	5	3	2	1	850					
44	3	5459	3275	2183	1091	5459761	3275856	2183904	1091952	crystal_3	5	3	2	1	800					
45	3	5959	3575	2383	1191	5959761	3575856	2383904	1191952	crystal_3	5	3	2	1	800					
46	3	6459	3875	2583	1291	6459761	3875856	2583904	1291952	crystal_3	5	3	2	1	750					
47	3	6993	4195	2797	1398	6993094	4195856	2797237	1398618	crystal_3	5	3	2	1	750					
48	3	7526	4515	3010	1505	7526428	4515856	3010571	1505285	crystal_3	5	3	2	1	700					
49	3	8097	4858	3239	1619	8097856	4858714	3239142	1619571	crystal_3	5	3	2	1	700					
50	4	8669	5201	3467	1733	8669285	5201571	3467714	1733857	crystal_3	5	3	2	1	600					
51	4	9335	5601	3734	1867	9335952	5601571	3734380	1867190	crystal_3	5	3	2	1	600					
52	4	10002	6001	4001	2000	10002618	6001571	4001047	2000523	crystal_3	5	3	2	1	500					
53	4	10802	6481	4321	2160	10802618	6481571	4321047	2160523	crystal_3	5	3	2	1	500					
54	4	11602	6961	4641	2320	11602618	6961571	4641047	2320523	crystal_3	5	3	2	1	400					
55	4	12602	7561	5041	2520	12602618	7561571	5041047	2520523	crystal_3	5	3	2	1	400					
56	4	13602	8161	5441	2720	13602618	8161571	5441047	2720523	crystal_3	5	3	2	1	300					
57	4	14935	8961	5974	2987	14935952	8961571	5974380	2987190	crystal_3	5	3	2	1	300					
58	4	16269	9761	6507	3253	16269285	9761571	6507714	3253857	crystal_3	5	3	2	1	250					
59	4	17869	10721	7147	3573	17869285	10721571	7147714	3573857	crystal_3	5	3	2	1	250					
60	5	19469	11681	7787	3893	19469285	11681571	7787714	3893857	crystal_4	5	3	2	1	900	mystery_stone_3	5	3	2	1
61	5	21247	12748	8498	4249	21247063	12748237	8498825	4249412	crystal_4	5	3	2	1	900					
62	5	23024	13814	9209	4604	23024840	13814904	9209936	4604968	crystal_4	5	3	2	1	850					
63	5	24907	14944	9962	4981	24907193	14944316	9962877	4981438	crystal_4	5	3	2	1	850					
64	5	26789	16073	10715	5357	26789546	16073728	10715818	5357909	crystal_4	5	3	2	1	800					
65	5	28789	17273	11515	5757	28789546	17273728	11515818	5757909	crystal_4	5	3	2	1	800					
66	5	30789	18473	12315	6157	30789546	18473728	12315818	6157909	crystal_4	5	3	2	1	750					
67	5	32922	19753	13169	6584	32922880	19753728	13169152	6584576	crystal_4	5	3	2	1	750					
68	5	35056	21033	14022	7011	35056213	21033728	14022485	7011242	crystal_4	5	3	2	1	700					
69	5	37341	22405	14936	7468	37341927	22405156	14936771	7468385	crystal_4	5	3	2	1	700					
70	6	39627	23776	15851	7925	39627642	23776585	15851056	7925528	crystal_4	5	3	2	1	600					
71	6	42294	25376	16917	8458	42294308	25376585	16917723	8458861	crystal_4	5	3	2	1	600					
72	6	44960	26976	17984	8992	44960975	26976585	17984390	8992195	crystal_4	5	3	2	1	500					
73	6	48160	28896	19264	9632	48160975	28896585	19264390	9632195	crystal_4	5	3	2	1	500					
74	6	51360	30816	20544	10272	51360975	30816585	20544390	10272195	crystal_4	5	3	2	1	400					
75	6	55360	33216	22144	11072	55360975	33216585	22144390	11072195	crystal_4	5	3	2	1	400					
76	6	59360	35616	23744	11872	59360975	35616585	23744390	11872195	crystal_4	5	3	2	1	300					
77	6	64694	38816	25877	12938	64694308	38816585	25877723	12938861	crystal_4	5	3	2	1	300					
78	6	70027	42016	28011	14005	70027642	42016585	28011056	14005528	crystal_4	5	3	2	1	250					
79	6	76427	45856	30571	15285	76427642	45856585	30571056	15285528	crystal_4	5	3	2	1	250					
80	7	82827	49696	33131	16565	82827642	49696585	33131056	16565528	crystal_5	5	3	2	1	850	mystery_stone_4	5	3	2	1
81	7	90357	54214	36142	18071	90357053	54214232	36142821	18071410	crystal_5	5	3	2	1	850					
82	7	97886	58731	39154	19577	97886465	58731879	39154586	19577293	crystal_5	5	3	2	1	800					
83	7	105886	63531	42354	21177	105886465	63531879	42354586	21177293	crystal_5	5	3	2	1	800					
84	7	113886	68331	45554	22777	113886465	68331879	45554586	22777293	crystal_5	5	3	2	1	750					
85	7	122419	73451	48967	24483	122419798	73451879	48967919	24483959	crystal_5	5	3	2	1	750					
86	7	130953	78571	52381	26190	130953132	78571879	52381252	26190626	crystal_5	5	3	2	1	700					
87	7	140095	84057	56038	28019	140095989	84057593	56038395	28019197	crystal_5	5	3	2	1	700					
88	7	149238	89543	59695	29847	149238846	89543307	59695538	29847769	crystal_5	5	3	2	1	600					
89	7	159905	95943	63962	31981	159905513	95943307	63962205	31981102	crystal_5	5	3	2	1	600					
90	8	170572	102343	68228	34114	170572179	102343307	68228871	34114435	crystal_5	5	3	2	1	500					
91	8	183372	110023	73348	36674	183372179	110023307	73348871	36674435	crystal_5	5	3	2	1	500					
92	8	196172	117703	78468	39234	196172179	117703307	78468871	39234435	crystal_5	5	3	2	1	400					
93	8	212172	127303	84868	42434	212172179	127303307	84868871	42434435	crystal_5	5	3	2	1	400					
94	8	228172	136903	91268	45634	228172179	136903307	91268871	45634435	crystal_5	5	3	2	1	350					
95	8	246457	147874	98583	49291	246457894	147874736	98583157	49291578	crystal_5	5	3	2	1	350					
96	8	264743	158846	105897	52948	264743608	158846165	105897443	52948721	crystal_5	5	3	2	1	300					
97	8	286076	171646	114430	57215	286076941	171646165	114430776	57215388	crystal_5	5	3	2	1	300					
98	8	307410	184446	122964	61482	307410275	184446165	122964110	61482055	crystal_5	5	3	2	1	250					
99	8	333010	199806	133204	66602	333010275	199806165	133204110	66602055	crystal_5	5	3	2	1	250					
100	10	358610	215166	143444	71722	358610275	215166165	143444110	71722055	crystal_7	5	3	2	1	1000	mystery_stone_5	5	3	2	1
101	10	384210	230526	153684	76842	384210275	230526165	153684110	76842055	crystal_7	5	3	2	1	1000					
102	10	409810	245886	163924	81962	409810275	245886165	163924110	81962055	crystal_7	5	3	2	1	1000					
103	10	435410	261246	174164	87082	435410275	261246165	174164110	87082055	crystal_7	5	3	2	1	1000					
104	10	461010	276606	184404	92202	461010275	276606165	184404110	92202055	crystal_7	5	3	2	1	1000					
105	10	486610	291966	194644	97322	486610275	291966165	194644110	97322055	crystal_7	5	3	2	1	800					
106	10	518610	311166	207444	103722	518610275	311166165	207444110	103722055	crystal_7	5	3	2	1	800					
107	10	550610	330366	220244	110122	550610275	330366165	220244110	110122055	crystal_7	5	3	2	1	800					
108	10	582610	349566	233044	116522	582610275	349566165	233044110	116522055	crystal_7	5	3	2	1	800					
109	10	614610	368766	245844	122922	614610275	368766165	245844110	122922055	crystal_7	5	3	2	1	800					
110	12	646610	387966	258644	129322	646610275	387966165	258644110	129322055	crystal_7	5	3	2	1	800					
111	12	678610	407166	271444	135722	678610275	407166165	271444110	135722055	crystal_7	5	3	2	1	800					
112	12	710610	426366	284244	142122	710610275	426366165	284244110	142122055	crystal_7	5	3	2	1	800					
113	12	742610	445566	297044	148522	742610275	445566165	297044110	148522055	crystal_7	5	3	2	1	800					
114	12	774610	464766	309844	154922	774610275	464766165	309844110	154922055	crystal_7	5	3	2	1	800					
115	12	806610	483966	322644	161322	806610275	483966165	322644110	161322055	crystal_7	5	3	2	1	600					
116	12	849276	509566	339710	169855	849276940	509566164	339710776	169855388	crystal_7	5	3	2	1	600					
117	12	891943	535166	356777	178388	891943605	535166163	356777442	178388721	crystal_7	5	3	2	1	600					
118	12	934610	560766	373844	186922	934610275	560766165	373844110	186922055	crystal_7	5	3	2	1	600					
119	12	977276	586366	390910	195455	977276940	586366164	390910776	195455388	crystal_7	5	3	2	1	600					
120	14	1019943	611966	407977	203988	1019943605	611966163	407977442	203988721	crystal_7	5	3	2	1	800	mystery_stone_5	5	3	2	1
121	14	1051943	631166	420777	210388	1051943608	631166165	420777443	210388721	crystal_7	5	3	2	1	800					
122	14	1083943	650366	433577	216788	1083943608	650366165	433577443	216788721	crystal_7	5	3	2	1	800					
123	14	1115943	669566	446377	223188	1115943608	669566165	446377443	223188721	crystal_7	5	3	2	1	800					
124	14	1147943	688766	459177	229588	1147943608	688766165	459177443	229588721	crystal_7	5	3	2	1	800					
125	14	1179943	707966	471977	235988	1179943608	707966165	471977443	235988721	crystal_7	5	3	2	1	600					
126	14	1222610	733566	489044	244522	1222610275	733566165	489044110	244522055	crystal_7	5	3	2	1	600					
127	14	1265276	759166	506110	253055	1265276941	759166165	506110776	253055388	crystal_7	5	3	2	1	600					
128	14	1307943	784766	523177	261588	1307943608	784766165	523177443	261588721	crystal_7	5	3	2	1	600					
129	14	1350610	810366	540244	270122	1350610275	810366165	540244110	270122055	crystal_7	5	3	2	1	600					
130	16	1393276	835966	557310	278655	1393276941	835966165	557310776	278655388	crystal_7	5	3	2	1	600					
131	16	1435940	861564	574376	287188	1435943605	861566163	574377442	287188721	crystal_7	5	3	2	1	600					
132	16	1478610	887166	591444	295722	1478610275	887166165	591444110	295722055	crystal_7	5	3	2	1	600					
133	16	1521275	912765	608510	304255	1521276940	912766164	608510776	304255388	crystal_7	5	3	2	1	600					
134	16	1563940	938364	625576	312788	1563943605	938366163	625577442	312788721	crystal_7	5	3	2	1	600					
135	16	1606610	963966	642644	321322	1606610275	963966165	642644110	321322055	crystal_7	5	3	2	1	500					
136	16	1657810	994686	663124	331562	1657810275	994686165	663124110	331562055	crystal_7	5	3	2	1	500					
137	16	1709010	1025406	683604	341802	1709010275	1025406165	683604110	341802055	crystal_7	5	3	2	1	500					
138	16	1760210	1056126	704084	352042	1760210275	1056126165	704084110	352042055	crystal_7	5	3	2	1	500					
139	16	1811410	1086846	724564	362282	1811410275	1086846165	724564110	362282055	crystal_7	5	3	2	1	500					
140	18	1862610	1117566	745044	372522	1862610275	1117566165	745044110	372522055	crystal_7	5	3	2	1	600	mystery_stone_5	5	3	2	1
141	18	1905276	1143166	762110	381055	1905276941	1143166165	762110776	381055388	crystal_7	5	3	2	1	600					
142	18	1947943	1168766	779177	389588	1947943608	1168766165	779177443	389588721	crystal_7	5	3	2	1	600					
143	18	1990610	1194366	796244	398122	1990610275	1194366165	796244110	398122055	crystal_7	5	3	2	1	600					
144	18	2033276	1219966	813310	406655	2033276941	1219966165	813310776	406655388	crystal_7	5	3	2	1	600					
145	18	2075943	1245566	830377	415188	2075943608	1245566165	830377443	415188721	crystal_7	5	3	2	1	500					
146	18	2127143	1276286	850857	425428	2127143608	1276286165	850857443	425428721	crystal_7	5	3	2	1	500					
147	18	2178343	1307006	871337	435668	2178343608	1307006165	871337443	435668721	crystal_7	5	3	2	1	500					
148	18	2229543	1337726	891817	445908	2229543608	1337726165	891817443	445908721	crystal_7	5	3	2	1	500					
149	18	2280743	1368446	912297	456148	2280743608	1368446165	912297443	456148721	crystal_7	5	3	2	1	500					
150	20	2331943	1399166	932777	466388	2331943608	1399166165	932777443	466388721	crystal_7	5	3	2	1	500					
