AttribType	Level	Value1	Value2	Value3
lifemax_v	94	4400		
lifemax_v	95	4500		
lifemax_v	96	4600		
lifemax_v	97	4700		
lifemax_v	98	4800		
lifemax_v	99	4900		
lifemax_v	100	5000		
lifemax_v	101	5200		
lifemax_v	102	5400		
lifemax_v	103	5600		
lifemax_v	104	5800		
lifemax_v	105	6000		
lifemax_v	106	6200		
lifemax_v	107	6400		
lifemax_v	108	6600		
lifemax_v	109	6800		
lifemax_v	110	7000		
lifemax_v	111	7300		
lifemax_v	112	7600		
lifemax_v	113	7900		
lifemax_v	114	8200		
lifemax_v	115	8500		
lifemax_v	116	8800		
lifemax_v	117	9100		
lifemax_v	118	9400		
lifemax_v	119	9700		
lifemax_v	120	10000		
lifemax_v	121	10300		
lifemax_v	122	10600		
lifemax_v	123	10900		
lifemax_v	124	11200		
lifemax_v	125	11500		
lifemax_v	126	11800		
lifemax_v	127	12100		
lifemax_v	128	12400		
lifemax_v	129	12700		
lifemax_v	130	13000		
lifemax_v	131	13400		
lifemax_v	132	13800		
lifemax_v	133	14200		
lifemax_v	134	14600		
lifemax_v	135	15000		
lifemax_v	136	15400		
lifemax_v	137	15800		
lifemax_v	138	16200		
lifemax_v	139	16600		
lifemax_v	140	17000		
lifemax_v	141	17400		
lifemax_v	142	17800		
lifemax_v	143	18200		
lifemax_v	144	18600		
lifemax_v	145	19000		
lifemax_v	146	19400		
lifemax_v	147	19800		
lifemax_v	148	20200		
lifemax_v	149	20600		
lifemax_v	150	21000		
basic_damage_v	1	6		6
basic_damage_v	2	12		12
basic_damage_v	3	18		18
basic_damage_v	4	24		24
basic_damage_v	5	30		30
basic_damage_v	6	36		36
basic_damage_v	7	42		42
basic_damage_v	8	48		48
basic_damage_v	9	54		54
basic_damage_v	10	60		60
basic_damage_v	11	66		66
basic_damage_v	12	72		72
basic_damage_v	13	78		78
basic_damage_v	14	84		84
basic_damage_v	15	90		90
basic_damage_v	16	96		96
basic_damage_v	17	102		102
basic_damage_v	18	108		108
basic_damage_v	19	114		114
basic_damage_v	20	120		120
basic_damage_v	21	126		126
basic_damage_v	22	132		132
basic_damage_v	23	138		138
basic_damage_v	24	144		144
basic_damage_v	25	150		150
basic_damage_v	26	156		156
basic_damage_v	27	162		162
basic_damage_v	28	168		168
basic_damage_v	29	174		174
basic_damage_v	30	180		180
basic_damage_v	31	186		186
basic_damage_v	32	192		192
basic_damage_v	33	198		198
basic_damage_v	34	204		204
basic_damage_v	35	210		210
basic_damage_v	36	216		216
basic_damage_v	37	222		222
basic_damage_v	38	228		228
basic_damage_v	39	234		234
basic_damage_v	40	240		240
basic_damage_v	41	246		246
basic_damage_v	42	252		252
basic_damage_v	43	258		258
basic_damage_v	44	264		264
basic_damage_v	45	270		270
basic_damage_v	46	276		276
basic_damage_v	47	282		282
basic_damage_v	48	288		288
basic_damage_v	49	294		294
basic_damage_v	50	300		300
basic_damage_v	51	306		306
basic_damage_v	52	312		312
basic_damage_v	53	318		318
basic_damage_v	54	324		324
basic_damage_v	55	330		330
basic_damage_v	56	336		336
basic_damage_v	57	342		342
basic_damage_v	58	348		348
basic_damage_v	59	354		354
basic_damage_v	60	360		360
basic_damage_v	61	366		366
basic_damage_v	62	372		372
basic_damage_v	63	378		378
basic_damage_v	64	384		384
basic_damage_v	65	390		390
basic_damage_v	66	396		396
basic_damage_v	67	402		402
basic_damage_v	68	408		408
basic_damage_v	69	414		414
basic_damage_v	70	420		420
basic_damage_v	71	426		426
basic_damage_v	72	432		432
basic_damage_v	73	438		438
basic_damage_v	74	444		444
basic_damage_v	75	450		450
basic_damage_v	76	456		456
basic_damage_v	77	462		462
basic_damage_v	78	468		468
basic_damage_v	79	474		474
basic_damage_v	80	480		480
basic_damage_v	81	492		492
basic_damage_v	82	504		504
basic_damage_v	83	516		516
basic_damage_v	84	528		528
basic_damage_v	85	540		540
basic_damage_v	86	552		552
basic_damage_v	87	564		564
basic_damage_v	88	576		576
basic_damage_v	89	588		588
basic_damage_v	90	600		600
basic_damage_v	91	615		615
basic_damage_v	92	630		630
basic_damage_v	93	645		645
basic_damage_v	94	660		660
basic_damage_v	95	675		675
basic_damage_v	96	690		690
basic_damage_v	97	705		705
basic_damage_v	98	720		720
basic_damage_v	99	735		735
basic_damage_v	100	750		750
basic_damage_v	101	780		780
basic_damage_v	102	810		810
basic_damage_v	103	840		840
basic_damage_v	104	870		870
basic_damage_v	105	900		900
basic_damage_v	106	930		930
basic_damage_v	107	960		960
basic_damage_v	108	990		990
basic_damage_v	109	1020		1020
basic_damage_v	110	1050		1050
basic_damage_v	111	1095		1095
basic_damage_v	112	1140		1140
basic_damage_v	113	1185		1185
basic_damage_v	114	1230		1230
basic_damage_v	115	1275		1275
basic_damage_v	116	1320		1320
basic_damage_v	117	1365		1365
basic_damage_v	118	1410		1410
basic_damage_v	119	1455		1455
basic_damage_v	120	1500		1500
basic_damage_v	121	1545		1545
basic_damage_v	122	1590		1590
basic_damage_v	123	1635		1635
basic_damage_v	124	1680		1680
basic_damage_v	125	1725		1725
basic_damage_v	126	1770		1770
basic_damage_v	127	1815		1815
basic_damage_v	128	1860		1860
basic_damage_v	129	1905		1905
basic_damage_v	130	1950		1950
basic_damage_v	131	2010		2010
basic_damage_v	132	2070		2070
basic_damage_v	133	2130		2130
basic_damage_v	134	2190		2190
basic_damage_v	135	2250		2250
basic_damage_v	136	2310		2310
basic_damage_v	137	2370		2370
basic_damage_v	138	2430		2430
basic_damage_v	139	2490		2490
basic_damage_v	140	2550		2550
basic_damage_v	141	2610		2610
basic_damage_v	142	2670		2670
basic_damage_v	143	2730		2730
basic_damage_v	144	2790		2790
basic_damage_v	145	2850		2850
basic_damage_v	146	2910		2910
basic_damage_v	147	2970		2970
basic_damage_v	148	3030		3030
basic_damage_v	149	3090		3090
basic_damage_v	150	3150		3150
physical_damage_v	1	6		6
physical_damage_v	2	12		12
physical_damage_v	3	18		18
physical_damage_v	4	24		24
physical_damage_v	5	30		30
physical_damage_v	6	36		36
physical_damage_v	7	42		42
physical_damage_v	8	48		48
physical_damage_v	9	54		54
physical_damage_v	10	60		60
physical_damage_v	11	66		66
physical_damage_v	12	72		72
physical_damage_v	13	78		78
physical_damage_v	14	84		84
physical_damage_v	15	90		90
physical_damage_v	16	96		96
physical_damage_v	17	102		102
physical_damage_v	18	108		108
physical_damage_v	19	114		114
physical_damage_v	20	120		120
physical_damage_v	21	126		126
physical_damage_v	22	132		132
physical_damage_v	23	138		138
physical_damage_v	24	144		144
physical_damage_v	25	150		150
physical_damage_v	26	156		156
physical_damage_v	27	162		162
physical_damage_v	28	168		168
physical_damage_v	29	174		174
physical_damage_v	30	180		180
physical_damage_v	31	186		186
physical_damage_v	32	192		192
physical_damage_v	33	198		198
physical_damage_v	34	204		204
physical_damage_v	35	210		210
physical_damage_v	36	216		216
physical_damage_v	37	222		222
physical_damage_v	38	228		228
physical_damage_v	39	234		234
physical_damage_v	40	240		240
physical_damage_v	41	246		246
physical_damage_v	42	252		252
physical_damage_v	43	258		258
physical_damage_v	44	264		264
physical_damage_v	45	270		270
physical_damage_v	46	276		276
physical_damage_v	47	282		282
physical_damage_v	48	288		288
physical_damage_v	49	294		294
physical_damage_v	50	300		300
physical_damage_v	51	306		306
physical_damage_v	52	312		312
physical_damage_v	53	318		318
physical_damage_v	54	324		324
physical_damage_v	55	330		330
physical_damage_v	56	336		336
physical_damage_v	57	342		342
physical_damage_v	58	348		348
physical_damage_v	59	354		354
physical_damage_v	60	360		360
physical_damage_v	61	366		366
physical_damage_v	62	372		372
physical_damage_v	63	378		378
physical_damage_v	64	384		384
physical_damage_v	65	390		390
physical_damage_v	66	396		396
physical_damage_v	67	402		402
physical_damage_v	68	408		408
physical_damage_v	69	414		414
physical_damage_v	70	420		420
physical_damage_v	71	426		426
physical_damage_v	72	432		432
physical_damage_v	73	438		438
physical_damage_v	74	444		444
physical_damage_v	75	450		450
physical_damage_v	76	456		456
physical_damage_v	77	462		462
physical_damage_v	78	468		468
physical_damage_v	79	474		474
physical_damage_v	80	480		480
physical_damage_v	81	492		492
physical_damage_v	82	504		504
physical_damage_v	83	516		516
physical_damage_v	84	528		528
physical_damage_v	85	540		540
physical_damage_v	86	552		552
physical_damage_v	87	564		564
physical_damage_v	88	576		576
physical_damage_v	89	588		588
physical_damage_v	90	600		600
physical_damage_v	91	615		615
physical_damage_v	92	630		630
physical_damage_v	93	645		645
physical_damage_v	94	660		660
physical_damage_v	95	675		675
physical_damage_v	96	690		690
physical_damage_v	97	705		705
physical_damage_v	98	720		720
physical_damage_v	99	735		735
physical_damage_v	100	750		750
physical_damage_v	101	780		780
physical_damage_v	102	810		810
physical_damage_v	103	840		840
physical_damage_v	104	870		870
physical_damage_v	105	900		900
physical_damage_v	106	930		930
physical_damage_v	107	960		960
physical_damage_v	108	990		990
physical_damage_v	109	1020		1020
physical_damage_v	110	1050		1050
physical_damage_v	111	1095		1095
physical_damage_v	112	1140		1140
physical_damage_v	113	1185		1185
physical_damage_v	114	1230		1230
physical_damage_v	115	1275		1275
physical_damage_v	116	1320		1320
physical_damage_v	117	1365		1365
physical_damage_v	118	1410		1410
physical_damage_v	119	1455		1455
physical_damage_v	120	1500		1500
physical_damage_v	121	1545		1545
physical_damage_v	122	1590		1590
physical_damage_v	123	1635		1635
physical_damage_v	124	1680		1680
physical_damage_v	125	1725		1725
physical_damage_v	126	1770		1770
physical_damage_v	127	1815		1815
physical_damage_v	128	1860		1860
physical_damage_v	129	1905		1905
physical_damage_v	130	1950		1950
physical_damage_v	131	2010		2010
physical_damage_v	132	2070		2070
physical_damage_v	133	2130		2130
physical_damage_v	134	2190		2190
physical_damage_v	135	2250		2250
physical_damage_v	136	2310		2310
physical_damage_v	137	2370		2370
physical_damage_v	138	2430		2430
physical_damage_v	139	2490		2490
physical_damage_v	140	2550		2550
physical_damage_v	141	2610		2610
physical_damage_v	142	2670		2670
physical_damage_v	143	2730		2730
physical_damage_v	144	2790		2790
physical_damage_v	145	2850		2850
physical_damage_v	146	2910		2910
physical_damage_v	147	2970		2970
physical_damage_v	148	3030		3030
physical_damage_v	149	3090		3090
physical_damage_v	150	3150		3150
all_series_resist_v	1	1		
all_series_resist_v	2	3		
all_series_resist_v	3	4		
all_series_resist_v	4	6		
all_series_resist_v	5	7		
all_series_resist_v	6	9		
all_series_resist_v	7	10		
all_series_resist_v	8	12		
all_series_resist_v	9	13		
all_series_resist_v	10	15		
all_series_resist_v	11	16		
all_series_resist_v	12	18		
all_series_resist_v	13	19		
all_series_resist_v	14	21		
all_series_resist_v	15	22		
all_series_resist_v	16	24		
all_series_resist_v	17	25		
all_series_resist_v	18	27		
all_series_resist_v	19	28		
all_series_resist_v	20	30		
all_series_resist_v	21	31		
all_series_resist_v	22	33		
all_series_resist_v	23	34		
all_series_resist_v	24	36		
all_series_resist_v	25	37		
all_series_resist_v	26	39		
all_series_resist_v	27	40		
all_series_resist_v	28	42		
all_series_resist_v	29	43		
all_series_resist_v	30	45		
all_series_resist_v	31	46		
all_series_resist_v	32	48		
all_series_resist_v	33	49		
all_series_resist_v	34	51		
all_series_resist_v	35	52		
all_series_resist_v	36	54		
all_series_resist_v	37	55		
all_series_resist_v	38	57		
all_series_resist_v	39	58		
all_series_resist_v	40	60		
all_series_resist_v	41	61		
all_series_resist_v	42	63		
all_series_resist_v	43	64		
all_series_resist_v	44	66		
all_series_resist_v	45	67		
all_series_resist_v	46	69		
all_series_resist_v	47	70		
all_series_resist_v	48	72		
all_series_resist_v	49	73		
all_series_resist_v	50	75		
all_series_resist_v	51	76		
all_series_resist_v	52	78		
all_series_resist_v	53	79		
all_series_resist_v	54	81		
all_series_resist_v	55	82		
all_series_resist_v	56	84		
all_series_resist_v	57	85		
all_series_resist_v	58	87		
all_series_resist_v	59	88		
all_series_resist_v	60	90		
all_series_resist_v	61	91		
all_series_resist_v	62	93		
all_series_resist_v	63	94		
all_series_resist_v	64	96		
all_series_resist_v	65	97		
all_series_resist_v	66	99		
all_series_resist_v	67	100		
all_series_resist_v	68	102		
all_series_resist_v	69	103		
all_series_resist_v	70	105		
all_series_resist_v	71	106		
all_series_resist_v	72	108		
all_series_resist_v	73	109		
all_series_resist_v	74	111		
all_series_resist_v	75	112		
all_series_resist_v	76	114		
all_series_resist_v	77	115		
all_series_resist_v	78	117		
all_series_resist_v	79	118		
all_series_resist_v	80	120		
all_series_resist_v	81	123		
all_series_resist_v	82	126		
all_series_resist_v	83	129		
all_series_resist_v	84	132		
all_series_resist_v	85	135		
all_series_resist_v	86	138		
all_series_resist_v	87	141		
all_series_resist_v	88	144		
all_series_resist_v	89	147		
all_series_resist_v	90	150		
all_series_resist_v	91	153		
all_series_resist_v	92	157		
all_series_resist_v	93	161		
all_series_resist_v	94	165		
all_series_resist_v	95	168		
all_series_resist_v	96	172		
all_series_resist_v	97	176		
all_series_resist_v	98	180		
all_series_resist_v	99	183		
all_series_resist_v	100	187		
all_series_resist_v	101	195		
all_series_resist_v	102	202		
all_series_resist_v	103	210		
all_series_resist_v	104	217		
all_series_resist_v	105	225		
all_series_resist_v	106	232		
all_series_resist_v	107	240		
all_series_resist_v	108	247		
all_series_resist_v	109	255		
all_series_resist_v	110	263		
all_series_resist_v	111	274		
all_series_resist_v	112	285		
all_series_resist_v	113	296		
all_series_resist_v	114	308		
all_series_resist_v	115	319		
all_series_resist_v	116	330		
all_series_resist_v	117	341		
all_series_resist_v	118	353		
all_series_resist_v	119	364		
all_series_resist_v	120	375		
all_series_resist_v	121	386		
all_series_resist_v	122	397		
all_series_resist_v	123	408		
all_series_resist_v	124	420		
all_series_resist_v	125	431		
all_series_resist_v	126	442		
all_series_resist_v	127	453		
all_series_resist_v	128	465		
all_series_resist_v	129	476		
all_series_resist_v	130	487		
all_series_resist_v	131	502		
all_series_resist_v	132	517		
all_series_resist_v	133	532		
all_series_resist_v	134	547		
all_series_resist_v	135	562		
all_series_resist_v	136	577		
all_series_resist_v	137	592		
all_series_resist_v	138	607		
all_series_resist_v	139	622		
all_series_resist_v	140	637		
all_series_resist_v	141	652		
all_series_resist_v	142	667		
all_series_resist_v	143	682		
all_series_resist_v	144	697		
all_series_resist_v	145	712		
all_series_resist_v	146	727		
all_series_resist_v	147	742		
all_series_resist_v	148	757		
all_series_resist_v	149	772		
all_series_resist_v	150	787		
attackrate_v	1	16		
attackrate_v	2	32		
attackrate_v	3	48		
attackrate_v	4	64		
attackrate_v	5	80		
attackrate_v	6	96		
attackrate_v	7	112		
attackrate_v	8	128		
attackrate_v	9	144		
attackrate_v	10	160		
attackrate_v	11	176		
attackrate_v	12	192		
attackrate_v	13	208		
attackrate_v	14	224		
attackrate_v	15	240		
attackrate_v	16	256		
attackrate_v	17	272		
attackrate_v	18	288		
attackrate_v	19	304		
attackrate_v	20	320		
attackrate_v	21	336		
attackrate_v	22	352		
attackrate_v	23	368		
attackrate_v	24	384		
attackrate_v	25	400		
attackrate_v	26	416		
attackrate_v	27	432		
attackrate_v	28	448		
attackrate_v	29	464		
attackrate_v	30	480		
attackrate_v	31	496		
attackrate_v	32	512		
attackrate_v	33	528		
attackrate_v	34	544		
attackrate_v	35	560		
attackrate_v	36	576		
attackrate_v	37	592		
attackrate_v	38	608		
attackrate_v	39	624		
attackrate_v	40	640		
attackrate_v	41	656		
attackrate_v	42	672		
attackrate_v	43	688		
attackrate_v	44	704		
attackrate_v	45	720		
attackrate_v	46	736		
attackrate_v	47	752		
attackrate_v	48	768		
attackrate_v	49	784		
attackrate_v	50	800		
attackrate_v	51	816		
attackrate_v	52	832		
attackrate_v	53	848		
attackrate_v	54	864		
attackrate_v	55	880		
attackrate_v	56	896		
attackrate_v	57	912		
attackrate_v	58	928		
attackrate_v	59	944		
attackrate_v	60	960		
attackrate_v	61	976		
attackrate_v	62	992		
attackrate_v	63	1008		
attackrate_v	64	1024		
attackrate_v	65	1040		
attackrate_v	66	1056		
attackrate_v	67	1072		
attackrate_v	68	1088		
attackrate_v	69	1104		
attackrate_v	70	1120		
attackrate_v	71	1136		
attackrate_v	72	1152		
attackrate_v	73	1168		
attackrate_v	74	1184		
attackrate_v	75	1200		
attackrate_v	76	1216		
attackrate_v	77	1232		
attackrate_v	78	1248		
attackrate_v	79	1264		
attackrate_v	80	1280		
attackrate_v	81	1312		
attackrate_v	82	1344		
attackrate_v	83	1376		
attackrate_v	84	1408		
attackrate_v	85	1440		
attackrate_v	86	1472		
attackrate_v	87	1504		
attackrate_v	88	1536		
attackrate_v	89	1568		
attackrate_v	90	1600		
attackrate_v	91	1640		
attackrate_v	92	1680		
attackrate_v	93	1720		
attackrate_v	94	1760		
attackrate_v	95	1800		
attackrate_v	96	1840		
attackrate_v	97	1880		
attackrate_v	98	1920		
attackrate_v	99	1960		
attackrate_v	100	2000		
attackrate_v	101	2080		
attackrate_v	102	2160		
attackrate_v	103	2240		
attackrate_v	104	2320		
attackrate_v	105	2400		
attackrate_v	106	2480		
attackrate_v	107	2560		
attackrate_v	108	2640		
attackrate_v	109	2720		
attackrate_v	110	2800		
attackrate_v	111	2920		
attackrate_v	112	3040		
attackrate_v	113	3160		
attackrate_v	114	3280		
attackrate_v	115	3400		
attackrate_v	116	3520		
attackrate_v	117	3640		
attackrate_v	118	3760		
attackrate_v	119	3880		
attackrate_v	120	4000		
attackrate_v	121	4120		
attackrate_v	122	4240		
attackrate_v	123	4360		
attackrate_v	124	4480		
attackrate_v	125	4600		
attackrate_v	126	4720		
attackrate_v	127	4840		
attackrate_v	128	4960		
attackrate_v	129	5080		
attackrate_v	130	5200		
attackrate_v	131	5360		
attackrate_v	132	5520		
attackrate_v	133	5680		
attackrate_v	134	5840		
attackrate_v	135	6000		
attackrate_v	136	6160		
attackrate_v	137	6320		
attackrate_v	138	6480		
attackrate_v	139	6640		
attackrate_v	140	6800		
attackrate_v	141	6960		
attackrate_v	142	7120		
attackrate_v	143	7280		
attackrate_v	144	7440		
attackrate_v	145	7600		
attackrate_v	146	7760		
attackrate_v	147	7920		
attackrate_v	148	8080		
attackrate_v	149	8240		
attackrate_v	150	8400		
defense_v	1	0		
defense_v	2	0		
defense_v	3	0		
defense_v	4	0		
defense_v	5	0		
defense_v	6	0		
defense_v	7	0		
defense_v	8	0		
defense_v	9	0		
defense_v	10	0		
defense_v	11	0		
defense_v	12	0		
defense_v	13	0		
defense_v	14	0		
defense_v	15	0		
defense_v	16	0		
defense_v	17	0		
defense_v	18	0		
defense_v	19	0		
defense_v	20	0		
defense_v	21	0		
defense_v	22	0		
defense_v	23	0		
defense_v	24	0		
defense_v	25	0		
defense_v	26	0		
defense_v	27	0		
defense_v	28	0		
defense_v	29	0		
defense_v	30	0		
defense_v	31	0		
defense_v	32	0		
defense_v	33	0		
defense_v	34	0		
defense_v	35	0		
defense_v	36	0		
defense_v	37	0		
defense_v	38	0		
defense_v	39	0		
defense_v	40	0		
defense_v	41	0		
defense_v	42	0		
defense_v	43	0		
defense_v	44	0		
defense_v	45	0		
defense_v	46	0		
defense_v	47	0		
defense_v	48	0		
defense_v	49	0		
defense_v	50	0		
defense_v	51	0		
defense_v	52	0		
defense_v	53	0		
defense_v	54	0		
defense_v	55	0		
defense_v	56	0		
defense_v	57	0		
defense_v	58	0		
defense_v	59	0		
defense_v	60	0		
defense_v	61	0		
defense_v	62	0		
defense_v	63	0		
defense_v	64	0		
defense_v	65	0		
defense_v	66	0		
defense_v	67	0		
defense_v	68	0		
defense_v	69	0		
defense_v	70	0		
defense_v	71	0		
defense_v	72	0		
defense_v	73	0		
defense_v	74	0		
defense_v	75	0		
defense_v	76	0		
defense_v	77	0		
defense_v	78	0		
defense_v	79	0		
defense_v	80	0		
defense_v	81	0		
defense_v	82	0		
defense_v	83	0		
defense_v	84	0		
defense_v	85	0		
defense_v	86	0		
defense_v	87	0		
defense_v	88	0		
defense_v	89	0		
defense_v	90	0		
defense_v	91	0		
defense_v	92	0		
defense_v	93	0		
defense_v	94	0		
defense_v	95	0		
defense_v	96	0		
defense_v	97	0		
defense_v	98	0		
defense_v	99	0		
defense_v	100	0		
defense_v	101	0		
defense_v	102	0		
defense_v	103	0		
defense_v	104	0		
defense_v	105	0		
defense_v	106	0		
defense_v	107	0		
defense_v	108	0		
defense_v	109	0		
defense_v	110	0		
defense_v	111	0		
defense_v	112	0		
defense_v	113	0		
defense_v	114	0		
defense_v	115	0		
defense_v	116	0		
defense_v	117	0		
defense_v	118	0		
defense_v	119	0		
defense_v	120	0		
defense_v	121	0		
defense_v	122	0		
defense_v	123	0		
defense_v	124	0		
defense_v	125	0		
defense_v	126	0		
defense_v	127	0		
defense_v	128	0		
defense_v	129	0		
defense_v	130	0		
defense_v	131	40		
defense_v	132	80		
defense_v	133	120		
defense_v	134	160		
defense_v	135	200		
defense_v	136	240		
defense_v	137	280		
defense_v	138	320		
defense_v	139	360		
defense_v	140	400		
defense_v	141	440		
defense_v	142	480		
defense_v	143	520		
defense_v	144	560		
defense_v	145	600		
defense_v	146	640		
defense_v	147	680		
defense_v	148	720		
defense_v	149	760		
defense_v	150	800		
deadlystrike_v	1	5		
deadlystrike_v	2	5		
deadlystrike_v	3	5		
deadlystrike_v	4	6		
deadlystrike_v	5	6		
deadlystrike_v	6	7		
deadlystrike_v	7	7		
deadlystrike_v	8	8		
deadlystrike_v	9	8		
deadlystrike_v	10	9		
deadlystrike_v	11	9		
deadlystrike_v	12	10		
deadlystrike_v	13	10		
deadlystrike_v	14	11		
deadlystrike_v	15	13		
deadlystrike_v	16	13		
deadlystrike_v	17	13		
deadlystrike_v	18	13		
deadlystrike_v	19	13		
deadlystrike_v	20	13		
deadlystrike_v	21	14		
deadlystrike_v	22	14		
deadlystrike_v	23	14		
deadlystrike_v	24	14		
deadlystrike_v	25	14		
deadlystrike_v	26	15		
deadlystrike_v	27	15		
deadlystrike_v	28	15		
deadlystrike_v	29	15		
deadlystrike_v	30	15		
deadlystrike_v	31	15		
deadlystrike_v	32	15		
deadlystrike_v	33	15		
deadlystrike_v	34	15		
deadlystrike_v	35	15		
deadlystrike_v	36	15		
deadlystrike_v	37	15		
deadlystrike_v	38	15		
deadlystrike_v	39	15		
deadlystrike_v	40	15		
deadlystrike_v	41	15		
deadlystrike_v	42	15		
deadlystrike_v	43	15		
deadlystrike_v	44	15		
deadlystrike_v	45	15		
deadlystrike_v	46	15		
deadlystrike_v	47	15		
deadlystrike_v	48	15		
deadlystrike_v	49	15		
deadlystrike_v	50	15		
deadlystrike_v	51	15		
deadlystrike_v	52	15		
deadlystrike_v	53	15		
deadlystrike_v	54	15		
deadlystrike_v	55	15		
deadlystrike_v	56	15		
deadlystrike_v	57	15		
deadlystrike_v	58	15		
deadlystrike_v	59	15		
deadlystrike_v	60	15		
deadlystrike_v	61	15		
deadlystrike_v	62	15		
deadlystrike_v	63	15		
deadlystrike_v	64	15		
deadlystrike_v	65	15		
deadlystrike_v	66	15		
deadlystrike_v	67	15		
deadlystrike_v	68	15		
deadlystrike_v	69	15		
deadlystrike_v	70	15		
deadlystrike_v	71	15		
deadlystrike_v	72	15		
deadlystrike_v	73	15		
deadlystrike_v	74	15		
deadlystrike_v	75	15		
deadlystrike_v	76	15		
deadlystrike_v	77	15		
deadlystrike_v	78	15		
deadlystrike_v	79	15		
deadlystrike_v	80	15		
deadlystrike_v	81	15		
deadlystrike_v	82	15		
deadlystrike_v	83	15		
deadlystrike_v	84	15		
deadlystrike_v	85	15		
deadlystrike_v	86	15		
deadlystrike_v	87	15		
deadlystrike_v	88	15		
deadlystrike_v	89	15		
deadlystrike_v	90	15		
deadlystrike_v	91	15		
deadlystrike_v	92	15		
deadlystrike_v	93	15		
deadlystrike_v	94	15		
deadlystrike_v	95	15		
deadlystrike_v	96	15		
deadlystrike_v	97	15		
deadlystrike_v	98	15		
deadlystrike_v	99	15		
deadlystrike_v	100	15		
deadlystrike_v	101	15		
deadlystrike_v	102	15		
deadlystrike_v	103	15		
deadlystrike_v	104	15		
deadlystrike_v	105	15		
deadlystrike_v	106	15		
deadlystrike_v	107	15		
deadlystrike_v	108	15		
deadlystrike_v	109	15		
deadlystrike_v	110	15		
deadlystrike_v	111	15		
deadlystrike_v	112	15		
deadlystrike_v	113	15		
deadlystrike_v	114	15		
deadlystrike_v	115	15		
deadlystrike_v	116	15		
deadlystrike_v	117	15		
deadlystrike_v	118	15		
deadlystrike_v	119	15		
deadlystrike_v	120	15		
deadlystrike_v	121	15		
deadlystrike_v	122	15		
deadlystrike_v	123	15		
deadlystrike_v	124	15		
deadlystrike_v	125	15		
deadlystrike_v	126	15		
deadlystrike_v	127	15		
deadlystrike_v	128	15		
deadlystrike_v	129	15		
deadlystrike_v	130	15		
deadlystrike_v	131	15		
deadlystrike_v	132	15		
deadlystrike_v	133	15		
deadlystrike_v	134	15		
deadlystrike_v	135	15		
deadlystrike_v	136	15		
deadlystrike_v	137	15		
deadlystrike_v	138	15		
deadlystrike_v	139	15		
deadlystrike_v	140	15		
deadlystrike_v	141	15		
deadlystrike_v	142	15		
deadlystrike_v	143	15		
deadlystrike_v	144	15		
deadlystrike_v	145	15		
deadlystrike_v	146	15		
deadlystrike_v	147	15		
deadlystrike_v	148	15		
deadlystrike_v	149	15		
deadlystrike_v	150	15		
runspeed_v	1	1		
runspeed_v	2	2		
runspeed_v	3	3		
runspeed_v	4	4		
runspeed_v	5	5		
runspeed_v	6	6		
