nDecorationId	Desc	nType	nMaxPlayerCount	nBufferId	szPlayerPos_1_1	szPlayerExtPos_1_1	szSlot_1_1	szPlayerPos_2_1	szPlayerExtPos_2_1	szSlot_2_1	szPlayerPos_2_2	szPlayerExtPos_2_2	szSlot_2_2	szPlayerPos_3_1	szPlayerExtPos_3_1	szSlot_3_1	szPlayerPos_3_2	szPlayerExtPos_3_2	szSlot_3_2	szPlayerPos_3_3	szPlayerExtPos_3_3	szSlot_3_3	szPlayerPos_4_1	szPlayerExtPos_4_1	szSlot_4_1	szPlayerPos_4_2	szPlayerExtPos_4_2	szSlot_4_2	szPlayerPos_4_3	szPlayerExtPos_4_3	szSlot_4_3	szPlayerPos_4_4	szPlayerExtPos_4_4	szSlot_4_4	szPlayerPos_5_1	szPlayerExtPos_5_1	szSlot_5_1	szPlayerPos_5_2	szPlayerExtPos_5_2	szSlot_5_2	szPlayerPos_5_3	szPlayerExtPos_5_3	szSlot_5_3	szPlayerPos_5_4	szPlayerExtPos_5_4	szSlot_5_4	szPlayerPos_5_5	szPlayerExtPos_5_5	szSlot_5_5
502	桦木橱柜		1	2323	0|0																																												
503	墨香橱柜		1	2323	0|0																																												
504	幻彩流光橱柜		1	2323	0|0																																												
505	紫檀鎏金橱柜		1	2323	0|0																																												
531	墨绿镶金橱柜		1	2323	0|0																																												
532	绛红雕金橱柜		1	2323	0|0																																												
4501	孩童秋千		2	2321	0|0		z_m01	-80|-70	0|20|120	z_l01	110|10	0|-50|-60	z_r01																																				
4505	月明花影		2	2321	0|0		z_m01	-80|-70	0|20|120	z_l01	110|10	0|-50|-60	z_r01																																				
1511	松木长凳		1	2321	0|0		z_m01																																										
1512	桦木长凳		1	2321	0|0		z_m01																																										
1513	墨香圆凳		1	2321	0|0		z_m01																																										
1514	幻彩流光圆凳		1	2321	0|0		z_m01																																										
1515	紫檀鎏金圆凳		1	2321	0|0		z_m01																																										
1523	墨绿镶金圆凳		1	2321	0|0		z_m01																																										
1524	绛红雕金圆凳		1	2321	0|0		z_m01																																										
1516	松木椅		1	2321	0|0		z_m01																																										
1517	核桃木扶手椅		1	2321	0|0		z_m01																																										
1518	朱丹描金椅		1	2321	0|0		z_m01																																										
1525	墨绿镶金太师椅		1	2321	0|0		z_m01																																										
4520	银石双人椅		2	2321	0|0		z_m01	-80|-70	0|20|120;90|140|120;180|0|-100	z_l01	110|10	0|-50|-60;90|-80|20;180|90|90	z_r01																																				
4521	鎏金双人椅		2	2321	0|0		z_m01	-80|-70	0|20|120;90|140|120;180|0|-100	z_l01	110|10	0|-50|-60;90|-80|20;180|90|90	z_r01																																				
5001	青石圆凳		1	2321	0|0		z_m01																																										
10021	结婚-普通椅子		1	2321	0|0		z_m01																																										
10024	结婚-隆重椅子		1	2321	0|0		z_m01																																										
10027	结婚-豪华椅子		1	2321	0|0		z_m01																																										
10013	婚床1	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10013	婚床1	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10013	婚床1	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10013	婚床1	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10014	婚床2	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10014	婚床2	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10014	婚床2	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10014	婚床2	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10015	婚床3	0	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10015	婚床3	1	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10015	婚床3	2	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10015	婚床3	3	2	2321	-60|160	270|-110|60		-60|160	270|-110|60		85|175	0|60|-130																																					
10016	结婚浴缸1		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
10017	结婚浴缸2		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
10018	结婚浴缸3		2	2321	-130|-60	0|-50|10		-130|-60	0|-50|10		80|20	0|-90|-160																																					
10030	跨服攻城战-王座		1	2321	0|0		z_m01																																										
30000	主座		1	2321	0|0		z_m01																																										
10035	普通长凳		1	2321	0|0		z_m01																																										
10038	华清池		2	2321	-50|-190	270|-240|-180		-50|-190	270|-240|-180		70|-30	270|-120|-30		-50|-190	270|-240|-180		70|-30	270|-120|-30		280|-30	270|60|-60		-50|-190	270|-240|-180		70|-30	270|-120|-30		280|-30	270|60|-60		220|-290	270|20|-320		-50|-190	270|-240|-180		70|-30	270|-120|-30		280|-30	270|60|-60		220|-290	270|20|-320		-20|-430	270|-240|-440	
