nTemplateId	szInfo	szType	szSubType	szResPath	nDepth	nWidth	nLength	nHeight	bCanOperation	bHasObstacle	nBarrierType	szLimitRotation	szScale	bShowDir	nAllowRelation	nNpcResAttribID
505	紫檀鎏金橱柜	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_01s.prefab	1	3	7	250	1	1		90|180				
531	墨绿镶金橱柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_01.prefab	1	3	7	280	1	1		90|180				
532	绛红雕金橱柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_01.prefab	1	4	8	280	1	1		90|180				
506	松木书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_02s.prefab	1	3	6	250		1		90|180				
507	桦木书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_02s.prefab	1	3	7	250		1		90|180				
508	墨香书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_02s.prefab	1	3	7	250		1		90|180				
509	幻彩流光书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_02s.prefab	1	3	7	250		1		90|180				
510	紫檀鎏金书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_02s.prefab	1	3	7	250		1		90|180				
533	墨绿镶金书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_02.prefab	1	3	7	280		1		90|180				
534	绛红雕金书架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_02.prefab	1	3	6	280		1		90|180				
511	松木博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_03s.prefab	1	3	6	250		1		90|180				
512	桦木博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_03s.prefab	1	3	7	250		1		90|180				
513	墨香博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_03s.prefab	1	3	7	250		1		90|180				
514	幻彩流光博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_03s.prefab	1	3	7	250		1		90|180				
515	紫檀鎏金博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_03s.prefab	1	3	7	250		1		90|180				
535	墨绿镶金博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_03.prefab	1	3	7	280		1		90|180				
536	绛红雕金博古架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_03.prefab	1	2	7	280		1		90|180				
516	松木杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_04s.prefab	1	7	3	160		1		90|180				
517	桦木杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_04s.prefab	1	8	3	180		1		90|180				
518	墨香杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_04s.prefab	1	7	3	160		1		90|180				
519	幻彩流光杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_04s.prefab	1	8	3	180		1		90|180				
520	紫檀鎏金杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_04s.prefab	1	8	4	250		1		90|180				
537	墨绿镶金杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_04.prefab	1	8	3	230		1		90|180				
538	绛红雕金杂物架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_04.prefab	1	8	3	250		1		90|180				
521	松木多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_05s.prefab	1	4	3	170		1		90|180				
522	桦木多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_05s.prefab	1	4	3	200		1		90|180				
523	墨香多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_05s.prefab	1	5	3	170		1		90|180				
524	幻彩流光多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_05s.prefab	1	4	3	175		1		90|180				
525	紫檀鎏金多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_05s.prefab	1	5	3	135		1		90|180				
539	墨绿镶金多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_05.prefab	1	5	3	150		1		90|180				
540	绛红雕金多宝格			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_05.prefab	1	5	3	160		1		90|180				
526	松木小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_06s.prefab	1	4	4	100		1		90|180				
527	桦木小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_06s.prefab	1	4	4	120		1		90|180				
528	墨香小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_06s.prefab	1	4	4	100		1		90|180				
529	幻彩流光小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_06s.prefab	1	4	4	170		1		90|180				
530	紫檀鎏金小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi05_06s.prefab	1	4	4	150		1		90|180				
541	墨绿镶金小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi06_06.prefab	1	4	4	160		1		90|180				
542	绛红雕金小方柜			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi07_06.prefab	1	4	5	150		1		90|180				
1001	松木方桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_01s.prefab	1	6	6	90		1		90|180				
1002	桦木方桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_01s.prefab	1	6	6	90		1		90|180				
1003	墨香圆桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_01s.prefab	1	8	8	90		1		90|180				
1004	幻彩流光圆桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_01s.prefab	1	8	8	90		1		90|180				
1005	紫檀鎏金圆桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_01s.prefab	1	8	8	90		1		90|180				
1031	墨绿镶金圆桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi06_01.prefab	1	9	9	70		1		90|180				
1032	绛红雕金圆桌			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi07_01.prefab	1	8	8	65		1		90|180				
1006	松木案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_02s.prefab	1	3	8	30		1		90|180				
1007	桦木案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_02s.prefab	1	3	8	30		1		90|180				
1008	墨香案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_02s.prefab	1	3	8	30		1		90|180				
1009	幻彩流光案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_02s.prefab	1	3	8	35		1		90|180				
1010	紫檀鎏金案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_02s.prefab	1	3	8	30		1		90|180				
1033	墨绿镶金案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi06_02.prefab	1	3	8	25		1		90|180				
1034	绛红雕金案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi07_02.prefab	1	3	8	25		1		90|180				
1011	松木方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_03s.prefab	1	3	6	20		1		90|180				
1012	桦木方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_03s.prefab	1	3	6	20		1		90|180				
1013	墨香方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_03s.prefab	1	3	6	20		1		90|180				
1014	幻彩流光方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_03s.prefab	1	3	6	20		1		90|180				
1015	紫檀鎏金方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_03s.prefab	1	3	6	20		1		90|180				
1035	墨绿镶金方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi06_03.prefab	1	3	6	20		1		90|180				
1036	绛红雕金方案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi07_03.prefab	1	3	6	20		1		90|180				
1016	松木翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_04s.prefab	1	3	10	90		1		90|180				
1017	桦木翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_04s.prefab	1	3	11	100		1		90|180				
1018	墨香翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_04s.prefab	1	3	11	125		1		90|180				
1019	幻彩流光翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_04s.prefab	1	3	11	120		1		90|180				
1020	紫檀鎏金翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_04s.prefab	1	3	12	125		1		90|180				
1037	墨绿镶金翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi06_04.prefab	1	3	11	125		1		90|180				
1038	绛红雕金翘头案			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi07_04.prefab	1	3	11	120		1		90|180				
1021	松木盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi01_05s.prefab	1	2	2	95		1		90|180				
1022	桦木盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi02_05s.prefab	1	2	2	125		1		90|180				
1023	墨香盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi03_05s.prefab	1	2	2	170		1		90|180				
1024	幻彩流光盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi04_05s.prefab	1	2	2	175		1		90|180				
1025	紫檀鎏金盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi05_05s.prefab	1	4	4	130		1		90|180				
1039	墨绿镶金盆景架			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zhuozi06_05.prefab	1	2	2	135		1		90|180				
1026	松木棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi01_01s.prefab	1	5	5	30		1		90|180				
1027	桦木棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi02_01s.prefab	1	5	5	45		1		90|180				
1028	墨香棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi03_01s.prefab	1	5	5	65		1		90|180				
1029	幻彩流光棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi04_01s.prefab	1	7	7	60		1		90|180				
1030	紫檀鎏金棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi05_01s.prefab	1	7	7	70		1		90|180				
1040	墨绿镶金棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi06_01.prefab	1	7	7	40		1		90|180				
1041	绛红雕金棋盘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_weiqi07_01.prefab	1	6	6	45		1		90|180				
1501	稻禾蒲团			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian01_01s.prefab	1	3	3	10		0		90|180				
1502	笋壳蒲团			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian02_01s.prefab	1	3	3	10		0		90|180				
1503	紫罗兰			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian03_01s.prefab	1	3	3	10		0		90|180				
1504	冷玉琅缳			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian04_01s.prefab	1	3	3	15		0		90|180				
1505	紫玉成烟			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian05_01s.prefab	1	3	3	10		0		90|180				
1519	交十叠翠			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian06_01.prefab	1	3	3	10		0		90|180				
1520	金风玉露			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian07_01.prefab	1	3	3	10		0		90|180				
1506	粗麻方垫			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian01_02s.prefab	1	3	3	10		0		90|180				
1507	棉质方垫			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian02_02s.prefab	1	3	3	10		0		90|180				
1508	幽芳			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian03_02s.prefab	1	3	3	10		0		90|180				
1509	红尘客梦			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian04_02s.prefab	1	3	3	10		0		90|180				
1510	金兰			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian05_02s.prefab	1	3	3	10		0		90|180				
1521	红莲揽翠			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian06_02.prefab	1	3	3	20		0		90|180				
1522	胭脂点雪			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zuodian07_02.prefab	1	3	3	15		0		90|180				
1511	松木长凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi01_01s.prefab	1	2	5	55	1	1				1		
1512	桦木长凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi02_01s.prefab	1	2	5	45	1	1				1		
1513	墨香圆凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi03_01s.prefab	1	2	2	55	1	1				1		
1514	幻彩流光圆凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi04_01s.prefab	1	2	2	55	1	1				1		
1515	紫檀鎏金圆凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi05_01s.prefab	1	2	2	55	1	1				1		
1523	墨绿镶金圆凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi06_01.prefab	1	2	2	50	1	1				1		
1524	绛红雕金圆凳		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_dengzi07_01.prefab	1	2	2	45	1	1				1		
1516	松木椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi01s.prefab	1	3	3	100	1	1				1		
1517	核桃木扶手椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi02s.prefab	1	3	3	100	1	1				1		
1518	朱丹描金椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi03s.prefab	1	3	4	100	1	1				1		
1525	墨绿镶金太师椅		DengZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yizi04.prefab	1	3	3	100	1	1				1		
2001	松木浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen01s.prefab	1	9	10	80	1	1		90|180				
2002	桦木浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen02s.prefab	1	12	12	100	1	1		90|180				
2003	墨香浴盆	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen03s.prefab	1	10	12	100	1	1		90|180				
2004	镜花水月	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen04s.prefab	1	12	12	130	1	1		90|180				
2005	琼瑶碧落	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen05s.prefab	1	15	15	70	1	1		90|180				
2006	晴翠扶风	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen06.prefab	1	15	15	130	1	1		90|180				
2007	青龙观月	NormalAddRes	YuGang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_yupen07.prefab	1	15	15	140	1	1		90|180				
2501	虎啸山林			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan02_01s.prefab	0	16	10	5		0		90|180				
2502	飞熊入梦			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan02_02s.prefab	0	21	12	5		0		90|180				
2503	星悬长空（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_04s.prefab	0	12	14	5		0		90|180	100|117;100|115			
2504	海枯石烂（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_02s.prefab	0	12	14	5		0		90|180	100|117;100|115			
2505	火凤金鸾地衣（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_01s.prefab	0	15	15	5		0		90|180	100|114;100|114			
2506	金榜提名（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_03s.prefab	0	14	19	5		0		90|180	100|115;100|111			
2507	星悬长空（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_04s.prefab	0	20	24	5		0		90|180	100|110;100|108			
2508	海枯石烂（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_02s.prefab	0	20	26	5		0		90|180	100|110;100|108			
2509	火凤金鸾地衣（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_01s.prefab	0	22	26	5		0		90|180	100|109;100|108			
2510	金榜提名（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_03s.prefab	0	22	28	5		0		90|180	100|109;100|107			
2511	幻彩流光地衣（中）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan01_05s.prefab	0	12	14	5		0		90|180	100|117;100|115			
2512	幻彩流光地衣（大）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan03_05s.prefab	0	16	26	5		0		90|180	100|110;100|108			
3001	松木锦盒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang01s.prefab	1	7	10	75		1		90|180				
3002	百宝箱			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang02s.prefab	1	7	11	75		1		90|180				
3003	双龙衔珠			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_baoxiang03s.prefab	1	7	11	75		1		90|180				
3004	金枝玉叶（合）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng01_02s.prefab	1	2	8	380		1		90|180				
3005	寒梅傲雪			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_penjing02s.prefab	1	4	7	145		1		90|180				
3006	青松迎客			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_penjing01s.prefab	1	4	10	165		1		90|180				
3021	叶落知秋			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_penjing03.prefab	1	5	8	165		1		90|180				
3007	粗麻屏风			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng04s.prefab	1	2	14	335		1		90|180				
3008	金枝玉叶（张）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng01_01s.prefab	1	2	8	380		1		90|180				
3009	太岳入云			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng03s.prefab	1	2	14	380		1		90|180				
3010	三生连理			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng02s.prefab	1	2	14	335		1		90|180				
3022	风帘翠幕			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_pingfeng05.prefab	1	1	13	340		1		90|180				
3011	星悬长空（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_04s.prefab	0	6	12	5		0		90|180	100|134;100|117			
3012	海枯石烂（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_02s.prefab	0	6	12	5		0		90|180	100|134;100|117			
3013	火凤金鸾地衣（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_01s.prefab	0	6	12	5		0		90|180	100|134;100|117			
3014	金榜提名（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_03s.prefab	0	6	12	5		0		90|180	100|134;100|117			
3015	铜雀香炉	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu04s.prefab	1	4	2	135	1	1		90|180				
3016	玉莲香炉	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu02s.prefab	1	4	4	100	1	1		90|180				
3017	熟铜香炉	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu01s.prefab	1	4	6	120	1	1		90|180				
3018	七绣云香	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu03s.prefab	1	4	5	135	1	1		90|180				
3019	翠玉炉衬紫金葫芦	DoCmd	XiangLu	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_xianglu05s.prefab	1	4	2	170	1	1		90|180				
3020	幻彩流光地衣（小）			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_ditan04_05s.prefab	0	6	12	5		0		90|180	100|134;100|117			
3501	松木灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng01_01s.prefab	1	2	2	200	1	1		90|180|270				
3502	桦木灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng02_01s.prefab	1	3	3	220	1	1		90|180|270				
3503	墨香灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng03_01s.prefab	1	2	2	240	1	1		90|180|270				
3504	幻彩流光灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng04_01s.prefab	1	3	3	280	1	1		90|180|270				
3505	紫檀鎏金灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng05_01s.prefab	1	2	2	260	1	1		90|180|270				
3516	墨绿环首灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng06_01.prefab	1	3	3	245	1	1		90|180|270				
3517	青翠双翼灯	DoCmd	Deng	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_deng07_01.prefab	1	3	3	225	1	1		90|180|270				
3506	绛桃春			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping02s.prefab	1	3	3	110		1		90|180				
3507	郁金香			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping01s.prefab	1	2	2	125		1		90|180				
3508	青玉瓷瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping04s.prefab	1	3	3	300		1		90|180				
3509	一剪梅			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping03s.prefab	1	3	3	300		1		90|180				
3510	七菱冰玄花			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping05s.prefab	1	2	2	150		1		90|180				
3518	点绛唇			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping12.prefab	1	2	2	120		1		90|180				
3519	暖黄木玉瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping10.prefab	1	2	2	110		1		90|180				
3511	檀香木盒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_zawu01s.prefab	1	2	3	40		1		90|180				
3512	画筒			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_shujuan01s.prefab	1	2	2	130		1		90|180				
3513	金狮揽玉瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping07s.prefab	1	3	3	120		1		90|180				
3514	瑞鹤仙			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_diaoxiang01s.prefab	1	3	3	185		1		90|180				
3515	青花孔雀花卉纹瓶			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_huaping06s.prefab	1	4	4	140		1		90|180				
3520	青龙盘珠			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_diaoxiang03.prefab	1	4	4	140		1		90|180				
3521	攒蹄回首金角鹿			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_diaoxiang02.prefab	1	2	2	125		1		90|180				
4001	轻竹帘			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian01_01s.prefab	1	2	12	380		1	200	90|180				
4002	苏幕遮			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_01s.prefab	1	2	12	380		1	200	90|180				
4003	一帘幽梦			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_02s.prefab	1	2	12	380		1	200	90|180				
4004	珥金拖紫			Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuanglian02_03s.prefab	1	2	12	380		1	200	90|180				
