Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
Npc出场（七煞使）	900003	1		Protected	1					
Npc出场（七煞使）	900003	1		HeadUIVisable	0					
Npc出场（七煞使）	900003	2	6	Protected	0					
Npc出场（七煞使）	900003	2	7	PlayShake	150	100	1	1	1	
Npc出场（七煞使）	900003	2	7	PlayEffect	9015					
Npc出场（七煞使）	900003	2	7	CastSkill	1515	1				
Npc出场（七煞使）	900003	3		HeadUIVisable	1					
Npc出场（七煞使）	900003	3		CrossFade	1					
Npc出场（苏墨芸）	900005	1		ChangeAct	17	20				
Npc出场（苏墨芸）	900005	1		Protected	1					
Npc出场（苏墨芸）	900005	1		HeadUIVisable	0					
Npc出场（苏墨芸）	900005	2	10	PlayShake	150	100	1	1	1	
Npc出场（苏墨芸）	900005	2	10	PlayEffect	9015					
Npc出场（苏墨芸）	900005	2	10	CastSkill	1515	1				
Npc出场（苏墨芸）	900005	3		Protected	0					
Npc出场（苏墨芸）	900005	3		HeadUIVisable	1					
Npc出场（张仲天）	900006	1		ChangeAct	29					
Npc出场（张仲天）	900006	1		CrossFade	1					
Npc出场（张仲天）	900006	1		Protected	1					
Npc出场（张仲天）	900006	1		HeadUIVisable	0					
Npc出场（张仲天）	900006	2	6	Protected	0					
Npc出场（张仲天）	900006	2	7	PlayShake	150	100	1	1	1	
Npc出场（张仲天）	900006	2	132	PlayEffect	9015					
Npc出场（张仲天）	900006	2	7	CastSkill	1515	1				
Npc出场（张仲天）	900006	3		HeadUIVisable	1					
Npc出场（张仲天）	900006	3		CrossFade	1					
Npc出场（神秘剑客）	900007	1		ChangeAct	6					
Npc出场（神秘剑客）	900007	1		CrossFade	1					
Npc出场（神秘剑客）	900007	1		Protected	1					
Npc出场（神秘剑客）	900007	2	6	Protected	0					
Npc出场（神秘剑客）	900007	2	7	PlayShake	150	100	1	1	1	
Npc出场（神秘剑客）	900007	2	4	PlayEffect	9055					
Npc出场（神秘剑客）	900007	2	15	PlayEffect	9054					
Npc出场（神秘剑客）	900007	2	18	PlayEffect	9056					
Npc出场（神秘剑客）	900007	2	7	CastSkill	1515	1				
Npc出场（神秘剑客）	900007	3		CrossFade	1					
Npc001_at01	900101	2	8	CastSkill						
Npc004_at01	900401	2	5	PlayEffect						
Npc004_at01	900401	2	9	CastSkill						
Npc008_at01	900801	2	7	CastSkill						
Npc014_at01	901401	2	5	CastSkill						
Npc023_at01	902301	2	5	CastSkill						
Npc024_at01	902401	2	2	PlayEffect						
Npc024_at01	902401	2	6	CastSkill						
Npc025_at01	902501	2	6	CastSkill						
小骷髅_at01	911001	2	16	CastSkill						
天王轻功	7	1		PlaySound	2001					
天王轻功	7	1		PlayEffect	5				15	
天王轻功	7	3		DoCommonAct	30	1015				
天王轻功	7	2	16	ClearEffect	5					
峨眉轻功	8	1		PlaySound	2002					
峨眉轻功	8	1		PlayEffect	5				15	
峨眉轻功	8	3		DoCommonAct	30	1016				
峨眉轻功	8	2	16	ClearEffect	5					
桃花轻功	9	1		PlaySound	2003					
桃花轻功	9	1		PlayEffect	5				15	
桃花轻功	9	3		DoCommonAct	30	1017				
桃花轻功	9	2	16	ClearEffect	5					
逍遥轻功	10	1		PlaySound	2004					
逍遥轻功	10	1		PlayEffect	5				15	
逍遥轻功	10	3		DoCommonAct	30	1018				
逍遥轻功	10	2	16	ClearEffect	5					
天王过场轻功	11	1		PlaySound	2001					
天王过场轻功	11	1		PlayEffect	5					
天王过场轻功	11	1		ShadowActive	0					
天王过场轻功	11	3		ClearEffect	5					
天王过场轻功	11	3		ShadowActive	1					
峨眉过场轻功	12	1		PlaySound	2002					
峨眉过场轻功	12	1		PlayEffect	5					
峨眉过场轻功	12	1		ShadowActive	0					
峨眉过场轻功	12	3		ClearEffect	5					
峨眉过场轻功	12	3		ShadowActive	1					
桃花过场轻功	13	1		PlaySound	2003					
桃花过场轻功	13	1		PlayEffect	5					
桃花过场轻功	13	1		ShadowActive	0					
桃花过场轻功	13	3		ClearEffect	5					
桃花过场轻功	13	3		ShadowActive	1					
逍遥过场轻功	14	1		PlaySound	2004					
逍遥过场轻功	14	1		PlayEffect	5					
逍遥过场轻功	14	1		ShadowActive	0					
逍遥过场轻功	14	3		ClearEffect	5					
逍遥过场轻功	14	3		ShadowActive	1					
天王轻功落地	1015	1		CrossFade	1000					
天王轻功落地	1015	2	1	PlayEffect	1010					
天王轻功落地	1015	2	4	CanDoRun						
天王轻功落地	1015	3		CrossFade	850					
峨眉轻功落地	1016	1		CrossFade	1000					
峨眉轻功落地	1016	2	1	PlayEffect	1010					
峨眉轻功落地	1016	2	4	CanDoRun						
峨眉轻功落地	1016	3		CrossFade	850					
桃花轻功落地	1017	1		CrossFade	1000					
桃花轻功落地	1017	2	1	PlayEffect	1010					
桃花轻功落地	1017	2	4	CanDoRun						
桃花轻功落地	1017	3		CrossFade	800					
逍遥轻功落地	1018	1		CrossFade	1000					
逍遥轻功落地	1018	2	1	PlayEffect	1010					
逍遥轻功落地	1018	2	4	CanDoRun						
逍遥轻功落地	1018	3		CrossFade	500					
轻功落地通用	15	1		CrossFade	1000					
轻功落地通用	15	3		CrossFade	500					
测试跳跃前摇后摇	16	1		PlayEffect						
测试跳跃前摇后摇	16	2		PlayEffect	10					
测试跳跃前摇后摇	16	2	14	CastSkill	14					
测试跳跃前摇后摇	16	2	9	PlayShake	10	4000	2			
测试跳跃前摇后摇	16	3		UnbindEffect	10					
测试跳跃前摇后摇_子	17	1		CastSkill	14					
测试跳跃前摇后摇_子	17	2	5	PlayShake	50	4000	2			
测试跳跃前摇后摇_子	17	3		UnbindEffect	10					
红色预警	19	1		CastSkill	19					
红色预警_子1	20	1		CastSkill	20					
红色预警_子1	20	1		CastSkill	18					
红色预警_子2	18	1		CastSkill	18					
npc近身单体1	21	2	5	CastSkill	21					
npc近身单体2	22	2	5	CastSkill	22					
npc近身群体1	23	2	5	CastSkill	23					
npc近身群体1	23	2	5	PlayEffect	23					
骷髅王刀光	90	1		PlayEffect	90					
骷髅王刀光	90	2	17	CastSkill	90					
骷髅王刀光	90	3		UnbindEffect	90					
骷髅王冲击波	92	1		CastSkill	92					
骷髅王冲击波	92	3		DoCommonAct	7			15		
骷髅王绞杀	93	2	12	CastSkill	93					
骷髅王绞杀	93	2	26	CastSkill	94					
骷髅王绞杀	93	3		DoCommonAct	7			15		
通用红色预警_半径圆4.9米	95	1		CastSkill	95					
通用红色预警_矩形8*2米	96	1		CastSkill	96					
通用红色预警_扇形90度3米	97	1		CastSkill	97					
骷髅王_红色预警_半径圆4.9米	98	1		DoCommonAct	7	95		12		
骷髅王_红色预警_矩形8*2米	99	1		DoCommonAct	7	96		23		
测试击飞	101	1		CrossFade	1					
测试击飞	101	1		InstantDir	1000					
测试击飞	101	1		CastSkill	101					
测试特殊死亡冰冻	102	1		CrossFade	1					
测试特殊死亡冰冻	102	1		InstantDir	1000					
测试特殊死亡冰冻	102	1		CastSkill	102					
锤击	110	1		CrossFade	1					
锤击	110	1		InstantDir	1000					
锤击	110	2	4	CastSkill	110					
锤击	110	2	0	PlayEffect	9091					
蛮横霸道	109	1		CrossFade	1					
蛮横霸道	109	1		InstantDir	1000					
蛮横霸道	109	1		CastSkill	111					
蛮横霸道	109	1		CastSkill	112					
蛮横霸道	109	1		PlayEffect						
蛮横霸道	109	3		ClearEffect						
蛮横霸道	109	3		DoCommonAct	7			20		
蛮横霸道_伤害	111	1		CastSkill	111					
神力	113	1		CrossFade	1					
神力	113	1		InstantDir	1000					
神力	113	1		PlayEffect	513					
神力	113	2	6	CastSkill	113					
神力	113	3		UnbindEffect	513					
钢之铠甲	114	1		CastSkill	114					
钢之铠甲	114	1		PlayEffect	6213					
万象天引	115	1		CrossFade	1					
万象天引	115	1		InstantDir	1000					
万象天引	115	2	5	CastSkill	115					
万象天引	115	2		PlayEffect	212					
万象天引	115	3		UnbindEffect	212					
万象天引_子	116	1		CastSkill	116					
剑击	117	1		CrossFade	1					
剑击	117	1		InstantDir	1000					
剑击	117	2	4	CastSkill	117					
剑击	117	2	0	PlayEffect	117					
金蛇擒鹤拳	118	1		CrossFade	1					
金蛇擒鹤拳	118	1		InstantDir	1000					
金蛇擒鹤拳	118	2	1	CastSkill	118					
金蛇擒鹤拳	118	2		PlayEffect	118					
金蛇擒鹤拳	118	3		UnbindEffect	212					
狂剑诀	119	2	3	CastSkill	119					
狂剑诀_子1	120	2	3	CastSkill	120					
狂剑诀_子2	121	2	6	CastSkill	121					
金蛇剑法	122	1		CrossFade	1					
金蛇剑法	122	1		InstantDir	1000					
金蛇剑法	122	2	4	CastSkill	122					
金蛇剑法	122	2	4	PlayEffect						
金蛇剑法_子1	123	1		CrossFade	1					
金蛇剑法_子1	123	1		InstantDir	1000					
金蛇剑法_子1	123	2	4	CastSkill	123					
金蛇剑法_子1	123	2	4	PlayEffect						
金蛇剑法_子2	124	1		CrossFade	1					
金蛇剑法_子2	124	1		InstantDir	1000					
金蛇剑法_子2	124	2	4	CastSkill	124					
金蛇剑法_子2	124	2	4	PlayEffect						
神行百变	125	1		PlayEffect	6507				10	
神行百变	125	1		CrossFade	1					
神行百变	125	1		InstantDir	1000					
神行百变_子1	126	1		RetsetPos						
神行百变_子1	126	1		CrossFade	1					
神行百变_子1	126	1		InstantDir	1000					
神行百变_子1	126	2	5	CastSkill	126					
神行百变_子2	127	2	3	PlayEffect	508					
神行百变_子2	127	3		CrossFade	1					
神行百变_子2	127	3		UnbindEffect	508					
箭术	129	1		CrossFade	1					
箭术	129	1		InstantDir	1000					
箭术	129	2	7	PlayEffect	6402					
箭术	129	2	7	CastSkill	129					
箭术	129	3		UnbindEffect	6401					
箭无虚发	130	1		CrossFade	1					
箭无虚发	130	1		InstantDir	1000					
箭无虚发	130	1		PlayEffect						
箭无虚发	130	2	7	CastSkill	130					
箭无虚发_子	131	1		CrossFade	1					
箭无虚发_子	131	1		InstantDir	1000					
箭无虚发_子	131	1		CastSkill	131					
连环箭	132	1		CrossFade	1					
连环箭	132	1		InstantDir	1000					
连环箭	132	1		PlayEffect						
连环箭	132	2	3	CastSkill	132					
连环箭	132	3		DoCommonAct	7			15		
铁骑突袭	133	1		CrossFade	1					
铁骑突袭	133	1		InstantDir	1000					
铁骑突袭	133	1		PlayEffect						
铁骑突袭	133	2	6	CastSkill	133					
铁骑突袭	133	3		DoCommonAct	7			15		
万箭齐发	134	1		CrossFade	1					
万箭齐发	134	1		InstantDir	1000					
万箭齐发	134	1		PlayEffect	134					
万箭齐发	134	1		CastSkill	134					
万箭齐发	134	3		DoCommonAct	7			20		
万箭齐发_子	135	1		CrossFade	1					
万箭齐发_子	135	1		InstantDir	1000					
万箭齐发_子	135	1		CastSkill	135					
焚星落羽	136	1		PlayEffect						
焚星落羽	136	1		CastSkill						
焚星落羽	136	3		DoCommonAct	7			30		
枪法	140	1		CrossFade	1					
枪法	140	1		InstantDir	1000					
枪法	140	2	3	CastSkill	140					
枪法	140	2	0	PlayEffect	501					
遣散	141	1		CrossFade	1					
遣散	141	1		InstantDir	1000					
遣散	141	1		CastSkill	141					
横扫千军	142	1		CrossFade	1					
横扫千军	142	1		InstantDir	1000					
横扫千军	142	1		PlayEffect	513					
横扫千军	142	2	6	CastSkill	142					
横扫千军	142	3		UnbindEffect	513					
长枪贯日	143	1		CrossFade	1					
长枪贯日	143	1		InstantDir	1000					
长枪贯日	143	1		PlayEffect	510	1				
长枪贯日	143	2	2	CastSkill	144					
长枪贯日	143	3		ClearEffect	510					
长枪贯日_子	144	1		CastSkill	144					
圣盾护体	145	1		CastSkill	145					
圣盾护体	145	1		PlayEffect	6213					
撕咬	146	2	5	CastSkill	146					
潜土突刺	147	2	5	CastSkill	152					
潜土突刺	147	2	6	CastSkill	147					
狼王地裂	148	2	7	CastSkill	148					
瞬身撕咬_子1	150	1		RetsetPos						
瞬身撕咬_子1	150	1		CrossFade	1					
瞬身撕咬_子1	150	1		InstantDir	1000					
瞬身撕咬_子1	150	1		PlayEffect	508					
瞬身撕咬_子1	150	2	6	CastSkill	150					
瞬身撕咬_子2	151	2	3	PlayEffect	508					
瞬身撕咬_子2	151	3		CrossFade	1					
瞬身撕咬_子2	151	3		UnbindEffect	508					
角击	153	2	5	CastSkill	153					
寒冰冲顶	155	1		CrossFade	1					
寒冰冲顶	155	1		InstantDir	35					
寒冰冲顶	155	3		CastSkill	156					
寒冰冲顶	155	3		PlayEffect	156					
寒冰冲顶	155	3		UnbindEffect	156					
寒冰冲顶_子	156	1		CastSkill	156					
撕咬	157	1		CrossFade	1					
撕咬	157	1		InstantDir	1000					
撕咬	157	2	5	CastSkill	146					
烈焰奔袭	158	1		CrossFade	1					
烈焰奔袭	158	1		InstantDir	35					
烈焰奔袭	158	1		PlayEffect	206					
烈焰奔袭	158	2	5	CastSkill	159					
烈焰奔袭	158	3		UnbindEffect	206					
烈焰奔袭_子	159	1		CastSkill	159					
甩尾	160	1		CrossFade	1					
甩尾	160	1		InstantDir	1000					
甩尾	160	2	5	CastSkill	160					
风刃舞	162	1		CrossFade	1					
风刃舞	162	1		InstantDir	1000					
风刃舞	162	1		PlayEffect	513					
风刃舞	162	2	10	CastSkill	162					
风刃舞	162	3		UnbindEffect	513					
影风斩	163	1		CrossFade	1					
影风斩	163	1		InstantDir	1000					
影风斩	163	1		CastSkill	163					
影风斩	163	1		CastSkill	172					
龙卷呼啸	164	1		CrossFade	1					
龙卷呼啸	164	1		InstantDir	1000					
龙卷呼啸	164	2	6	CastSkill	164					
天火烈爪	165	1		CrossFade	1					
天火烈爪	165	1		InstantDir	1000					
天火烈爪	165	2	6	CastSkill	165					
狼王地裂_效果	171	2	5	CastSkill	171					
群体刀光重击	178	2	5	CastSkill	178					
群体刀光重击	178	2	5	CastSkill	179					
自爆	181	1		CastSkill	181					
自爆	181	1		PlaySceneEffect	26					
弓箭	182	2	6	PlayEffect	3182					
弓箭	182	2	6	CastSkill	182					
烈焰奔袭_蓄力	185	1		CastSkill	185					
烈焰奔袭_蓄力	185	1		PlayEffect	9018					
烈焰奔袭_蓄力	185	3		ClearEffect	9018					
烈焰奔袭	186	1		CrossFade	1					
烈焰奔袭	186	1		InstantDir	1000					
烈焰奔袭	186	1		CastSkill	187					
烈焰奔袭	186	1		CastSkill	188					
烈焰奔袭	186	3		DoCommonAct	7			20		
烈焰奔袭_伤害	187	1		CastSkill	187					
冲锋	189	1		CrossFade	1					
冲锋	189	1		InstantDir	1000					
冲锋	189	1		CastSkill	190					
冲锋	189	1		PlayEffect	1330					
冲锋	189	3		ClearEffect	1330					
冲锋	189	3		DoCommonAct	7			20		
冲锋_子	190	1		CastSkill	190					
飞刃	191	1		CrossFade	1					
飞刃	191	1		InstantDir	1000					
飞刃	191	2	7	CastSkill	191					
飞刃	191	3		DoCommonAct	7			20		
七煞地裂	192	2	12	CastSkill	192					
七煞地裂	192	3		DoCommonAct	7			20		
七煞使普攻	10194	1		DoCommonAct	16	194		20		
七煞使普攻	10194	3		CrossFade	1200					
七煞使普攻	194	2	5	CastSkill	194					
飞剪	196	2	5	CastSkill	196					
天王锤法	201	1		CrossFade	1					
天王锤法	201	1		InstantDir	1000					
天王锤法	201	1	0	LinkSkillInit	20	202				
天王锤法	201	2	1	CanDoSkill						
天王锤法	201	2	1	CastSkill	201					
天王锤法	201	1		PlayEffect	9091				3	
天王锤法	201	2	5	CanDoRun						
天王锤法	201	2	6	CastLinkSkill						
天王锤法	201	2	3	PlayShake	30	120	1	1		
天王锤法	201	2	4	MovePos	25	35	160			
天王锤法2	202	1		CrossFade	1					
天王锤法2	202	1		InstantDir	1000					
天王锤法2	202	2	1	CanDoSkill						
天王锤法2	202	2	1	CastSkill	202					
天王锤法2	202	1	0	LinkSkillInit	20	203				
天王锤法2	202	1		PlayEffect	9092				-1	
天王锤法2	202	2	5	CanDoRun						
天王锤法2	202	2	4	CastLinkSkill						
天王锤法2	202	2	3	PlayShake	30	120	1	1		
天王锤法2	202	2	3	MovePos	50	50	160			
天王锤法3	203	1		CrossFade	1					
天王锤法3	203	1		InstantDir	1000					
天王锤法3	203	1	0	LinkSkillInit	20	204				
天王锤法3	203	2	1	CanDoSkill						
天王锤法3	203	2	1	CastSkill	203					
天王锤法3	203	2	5	CanDoRun						
天王锤法3	203	2	6	CastLinkSkill						
天王锤法3	203	1		PlayEffect	9093				-1	
天王锤法3	203	2	4	PlayShake	100	180	1	1		
天王锤法3	203	2	3	MovePos	50	40	130			
天王锤法4	204	1		CrossFade	500					
天王锤法4	204	1		InstantDir	1000					
天王锤法4	204	2	1	CanDoSkill						
天王锤法4	204	2	3	CastSkill	204					
天王锤法4	204	2	0	PlayEffect	9094				-1	
天王锤法4	204	2	7	PlayShake	120	180	1	1		
天王锤法4	204	2	8	CanDoRun						
天王锤法4	204	2	5	MovePos	50	50	150			
野蛮冲撞	206	1		CrossFade	1					
野蛮冲撞	206	1		InstantDir	35					
野蛮冲撞	206	1		PlayEffect	206				-1	
野蛮冲撞	206	2	5	CastSkill	207					
野蛮冲撞	206	2	8	PlayShake	60	120	2	1		
野蛮冲撞	206	3		UnbindEffect	206					
野蛮冲撞	206	2	12	CanDoRun						
野蛮冲撞	206	2	12	CanDoSkill	1					
野蛮冲撞_子	207	1		CastSkill	207					
霸王怒吼	208	1		PlayEffect	9079					
霸王怒吼	208	2	0	CastSkill	208					
霸王怒吼	208	2	3	PlayShake	60	160	3	1		
霸王怒吼	208	2	10	CanDoRun						
霸王怒吼	208	2	10	CanDoSkill	1					
霸王怒吼	208	3		UnbindEffect	9079					
血战八方	210	1		PlayEffect	210	1				
血战八方	210	1		IgnoreSpeState	1					
血战八方	210	2	1	CastSkill	211					
血战八方	210	2	5	CastSkill	211					
血战八方	210	2	10	CastSkill	211					
血战八方	210	2	15	CastSkill	211					
血战八方	210	2	20	CastSkill	211					
血战八方	210	2	25	CastSkill	211					
血战八方	210	2	30	CastSkill	211					
血战八方	210	2	35	CastSkill	211					
血战八方	210	2	40	CastSkill	211					
血战八方	210	2	45	CastSkill	211					
血战八方	210	2	50	CastSkill	211					
血战八方	210	2	55	CastSkill	211					
血战八方	210	2	60	CastSkill	211					
血战八方	210	2	65	CastSkill	211					
血战八方	210	2	70	CastSkill	211					
血战八方	210	2	75	CastSkill	211					
血战八方	210	3		ClearEffect	210					
血战八方	210	3		RemoveBuff	3346					
血战八方_子1	211	1		CastSkill	211					
血战八方_子1	211	1		PlayEffect	210					
血战八方_子1	211	3		UnbindEffect	210					
血战八方_子2	212	1		CastSkill	212					
金钟罩	213	1		CastSkill	213					
金钟罩	213	1		PlayEffect	9077					
金钟罩	213	1		PlaySound	5213					
金钟罩	213	2	10	CanDoRun						
金钟罩	213	2	10	CanDoSkill	1					
日月山河碎	214	2	9	PlaySound	5214					
日月山河碎	214	1		CrossFade	1					
日月山河碎	214	1		InstantDir	1000					
日月山河碎	214	1		PlayEffect	214					
日月山河碎	214	1		OpenSceneGray						
日月山河碎	214	1		ChangeBright	300					
日月山河碎	214	1		CastSkill	226					
日月山河碎	214	2	7	PlayShake	8	4000	2			
日月山河碎	214	2	7	CastSkill	215					
日月山河碎	214	2	12	PlayShake	8	4000	2			
日月山河碎	214	2	12	CastSkill	215					
日月山河碎	214	2	24	PlayShake	8	4000	2			
日月山河碎	214	2	24	CastSkill	215					
日月山河碎	214	2	45	PlayShake	30	4000	2			
日月山河碎	214	2	45	CastSkill	215					
日月山河碎	214	3		UnbindEffect	214					
日月山河碎	214	3		CloseSceneGray						
日月山河碎	214	3		ClearBright						
日月山河碎_子	215	1		CastSkill	215					
力拔山河	251	1		CrossFade	1					
力拔山河	251	1		InstantDir	1000					
力拔山河	251	2	2	CastSkill	213					
力拔山河	251	2	10	CastSkill	212					
力拔山河	251	2	10	PlayShake	50	160	2	1		
力拔山河	251	2		PlayEffect	212					
力拔山河	251	3		UnbindEffect	212					
力拔山河_子	252	1		CastSkill	213					
少林棍法	261	1		CrossFade	1					
少林棍法	261	1		InstantDir	1000					
少林棍法	261	1		PlayEffect	261				3	
少林棍法	261	1		LinkSkillInit	20	262				
少林棍法	261	1		PlaySound	5801					
少林棍法	261	2	1	CanDoSkill						
少林棍法	261	2	0	CastSkill	261					
少林棍法	261	2	5	CanDoRun						
少林棍法	261	2	5	CastLinkSkill						
少林棍法	261	2	4	PlayShake	30	120	1	1		
少林棍法	261	2	4	MovePos	50	50	160			
少林棍法2	262	1		CrossFade	1					
少林棍法2	262	1		InstantDir	1000					
少林棍法2	262	1		PlayEffect	262				-1	
少林棍法2	262	1		LinkSkillInit	20	263				
少林棍法2	262	1		PlaySound	5802					
少林棍法2	262	2	1	UnbindEffect	262					
少林棍法2	262	2	1	CanDoSkill						
少林棍法2	262	2	0	CastSkill	262					
少林棍法2	262	2	6	CanDoRun						
少林棍法2	262	2	8	CastLinkSkill						
少林棍法2	262	2	5	PlayShake	50	120	1	1		
少林棍法2	262	2	5	MovePos	50	50	160			
少林棍法3	263	1		CrossFade	1					
少林棍法3	263	1		InstantDir	1000					
少林棍法3	263	1		PlayEffect	263				-1	
少林棍法3	263	1		LinkSkillInit	20	264				
少林棍法3	263	1		PlaySound	5803					
少林棍法3	263	2	1	UnbindEffect	263					
少林棍法3	263	2	1	CanDoSkill						
少林棍法3	263	2	0	CastSkill	263					
少林棍法3	263	2	5	CanDoRun						
少林棍法3	263	2	5	CastLinkSkill						
少林棍法3	263	2	5	PlayShake	100	180	1	1		
少林棍法3	263	2	5	MovePos	35	35	130			
少林棍法4	264	1		CrossFade	500					
少林棍法4	264	1		InstantDir	1000					
少林棍法4	264	1		PlayEffect	264				-1	
少林棍法4	264	1		PlaySound	5802					
少林棍法4	264	2	4	UnbindEffect	264					
少林棍法4	264	2	1	CanDoSkill						
少林棍法4	264	2	0	CastSkill	264					
少林棍法4	264	2	3	PlayShake	120	180	1	1		
少林棍法4	264	2	5	CanDoRun						
少林棍法4	264	2	3	MovePos	35	35	130			
降龙棍	266	1		CrossFade	1					
降龙棍	266	1		InstantDir	1000					
降龙棍	266	1		PlayEffect	266				-1	
降龙棍	266	1		PlaySound	5806					
降龙棍	266	2	1	UnbindEffect	266					
降龙棍	266	2	3	PlayShake	140	200	1	1		
降龙棍	266	2	1	CastSkill	266					
降龙棍	266	2	4	CanDoRun						
降龙棍	266	2	4	CanDoSkill	1					
大力金刚指	268	1		CrossFade	1					
大力金刚指	268	1		InstantDir	1000					
大力金刚指	268	1		PlaySound	5807					
大力金刚指	268	2	0	PlayEffect	268				-1	
大力金刚指	268	2	1	UnbindEffect	268					
大力金刚指	268	2	2	CastSkill	268					
大力金刚指	268	2	2	PlayShake	60	180	1	1		
大力金刚指	268	2	9	CanDoRun						
大力金刚指	268	2	9	CanDoSkill	1					
大力金刚指	268	3		CrossFade	500					
金刚伏魔	270	1		CrossFade	1					
金刚伏魔	270	1		InstantDir	1000					
金刚伏魔	270	1		PlaySound	5808					
金刚伏魔	270	1		CastSkill	270					
金刚伏魔	270	1		PlayEffect	270				-1	
金刚伏魔	270	2	10	CanDoRun						
金刚伏魔	270	2	10	CanDoSkill	1					
金刚伏魔	270	2	1	UnbindEffect	270					
十二擒龙手	272	1		PlayEffect	272					
十二擒龙手	272	1		PlaySound	5809					
十二擒龙手	272	2	1	UnbindEffect	272					
十二擒龙手	272	2	1	CastSkill	272					
十二擒龙手	272	2	4	PlayShake	80	160	1	1		
十二擒龙手	272	2	10	CanDoRun						
十二擒龙手	272	2	10	CanDoSkill	1					
如影随形灭	283	1		CrossFade	1					
如影随形灭	283	1		InstantDir	1000					
如影随形灭	283	1		PlayEffect	283					
如影随形灭	283	1		PlayEffect	284					
如影随形灭	283	1		PlayEffect	285					
如影随形灭	283	1		OpenSceneGray						
如影随形灭	283	1		ChangeBright	300					
如影随形灭	283	1		CastSkill	285					
如影随形灭	283	1		PlaySound	5800					
如影随形灭	283	2	4	PlayShake	8	4000	2			
如影随形灭	283	2	4	CastSkill	291					
如影随形灭	283	2	8	PlayShake	8	4000	2			
