nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
97	8	17	17阶	T17玉佩(未鉴定）	5497	5697	5597	75	20	5	Contrib	49600
98	8	17	17阶	T17护身符(未鉴定）	5507	5707	5607	75	20	5	Contrib	49600
99	8	18	18阶	T18项链(未鉴定）	5478	5678	5578	75	20	5	Contrib	55500
100	8	18	18阶	T18戒指(未鉴定）	5488	5688	5588	75	20	5	Contrib	55500
101	8	18	18阶	T18玉佩(未鉴定）	5498	5698	5598	75	20	5	Contrib	55500
102	8	18	18阶	T18护身符(未鉴定）	5508	5708	5608	75	20	5	Contrib	55500
103	6	2	2阶	T2帽子(未鉴定）	1073	1653	1173	75	20	5	Contrib	200
104	6	2	2阶	T2护腕(未鉴定）	1093	1669	1193	75	20	5	Contrib	200
105	6	2	2阶	T2腰带(未鉴定）	1103	1677	1203	75	20	5	Contrib	200
106	6	2	2阶	T2鞋子(未鉴定）	1113	1685	1213	75	20	5	Contrib	200
107	6	3	3阶	T3帽子(未鉴定）	1074	1654	1174	75	20	5	Contrib	400
108	6	3	3阶	T3护腕(未鉴定）	1094	1670	1194	75	20	5	Contrib	400
109	6	3	3阶	T3腰带(未鉴定）	1104	1678	1204	75	20	5	Contrib	400
110	6	3	3阶	T3鞋子(未鉴定）	1114	1686	1214	75	20	5	Contrib	400
111	6	4	4阶	T4帽子(未鉴定）	1075	1655	1175	75	20	5	Contrib	1000
112	6	4	4阶	T4护腕(未鉴定）	1095	1671	1195	75	20	5	Contrib	1000
113	6	4	4阶	T4腰带(未鉴定）	1105	1679	1205	75	20	5	Contrib	1000
114	6	4	4阶	T4鞋子(未鉴定）	1115	1687	1215	75	20	5	Contrib	1000
115	6	5	5阶	T5帽子(未鉴定）	1076	1656	1176	75	20	5	Contrib	2400
116	6	5	5阶	T5护腕(未鉴定）	1096	1672	1196	75	20	5	Contrib	2400
117	6	5	5阶	T5腰带(未鉴定）	1106	1680	1206	75	20	5	Contrib	2400
118	6	5	5阶	T5鞋子(未鉴定）	1116	1688	1216	75	20	5	Contrib	2400
119	6	6	6阶	T6帽子(未鉴定）	1077	1657	1177	75	20	5	Contrib	3000
120	6	6	6阶	T6护腕(未鉴定）	1097	1673	1197	75	20	5	Contrib	3000
121	6	6	6阶	T6腰带(未鉴定）	1107	1681	1207	75	20	5	Contrib	3000
122	6	6	6阶	T6鞋子(未鉴定）	1117	1689	1217	75	20	5	Contrib	3000
123	6	7	7阶	T7帽子(未鉴定）	1078	1658	1178	75	20	5	Contrib	4000
124	6	7	7阶	T7护腕(未鉴定）	1098	1674	1198	75	20	5	Contrib	4000
125	6	7	7阶	T7腰带(未鉴定）	1108	1682	1208	75	20	5	Contrib	4000
126	6	7	7阶	T7鞋子(未鉴定）	1118	1690	1218	75	20	5	Contrib	4000
127	6	8	8阶	T8帽子(未鉴定）	1079	1659	1179	75	20	5	Contrib	5400
128	6	8	8阶	T8护腕(未鉴定）	1099	1675	1199	75	20	5	Contrib	5400
129	6	8	8阶	T8腰带(未鉴定）	1109	1683	1209	75	20	5	Contrib	5400
130	6	8	8阶	T8鞋子(未鉴定）	1119	1691	1219	75	20	5	Contrib	5400
131	6	9	9阶	T9帽子(未鉴定）	1080	3657	1180	75	20	5	Contrib	7200
132	6	9	9阶	T9护腕(未鉴定）	1100	3661	1200	75	20	5	Contrib	7200
133	6	9	9阶	T9腰带(未鉴定）	1110	3663	1210	75	20	5	Contrib	7200
134	6	9	9阶	T9鞋子(未鉴定）	1120	3665	1220	75	20	5	Contrib	7200
135	6	10	10阶	T10帽子(未鉴定）	1081	3658	1181	75	20	5	Contrib	9000
136	6	10	10阶	T10护腕(未鉴定）	1101	3662	1201	75	20	5	Contrib	9000
137	6	10	10阶	T10腰带(未鉴定）	1111	3664	1211	75	20	5	Contrib	9000
138	6	10	10阶	T10鞋子(未鉴定）	1121	3666	1221	75	20	5	Contrib	9000
139	6	11	11阶	T11帽子(未鉴定）	5511	5711	5611	75	20	5	Contrib	11250
140	6	11	11阶	T11护腕(未鉴定）	5531	5731	5631	75	20	5	Contrib	11250
141	6	11	11阶	T11腰带(未鉴定）	5541	5741	5641	75	20	5	Contrib	11250
142	6	11	11阶	T11鞋子(未鉴定）	5551	5751	5651	75	20	5	Contrib	11250
143	6	12	12阶	T12帽子(未鉴定）	5512	5712	5612	75	20	5	Contrib	13500
144	6	12	12阶	T12护腕(未鉴定）	5532	5732	5632	75	20	5	Contrib	13500
145	6	12	12阶	T12腰带(未鉴定）	5542	5742	5642	75	20	5	Contrib	13500
146	6	12	12阶	T12鞋子(未鉴定）	5552	5752	5652	75	20	5	Contrib	13500
147	6	13	13阶	T13帽子(未鉴定）	5513	5713	5613	75	20	5	Contrib	14850
148	6	13	13阶	T13护腕(未鉴定）	5533	5733	5633	75	20	5	Contrib	14850
149	6	13	13阶	T13腰带(未鉴定）	5543	5743	5643	75	20	5	Contrib	14850
150	6	13	13阶	T13鞋子(未鉴定）	5553	5753	5653	75	20	5	Contrib	14850
151	6	14	14阶	T14帽子(未鉴定）	5514	5714	5614	75	20	5	Contrib	17050
152	6	14	14阶	T14护腕(未鉴定）	5534	5734	5634	75	20	5	Contrib	17050
153	6	14	14阶	T14腰带(未鉴定）	5544	5744	5644	75	20	5	Contrib	17050
154	6	14	14阶	T14鞋子(未鉴定）	5554	5754	5654	75	20	5	Contrib	17050
155	6	15	15阶	T15帽子(未鉴定）	5515	5715	5615	75	20	5	Contrib	19600
156	6	15	15阶	T15护腕(未鉴定）	5535	5735	5635	75	20	5	Contrib	19600
157	6	15	15阶	T15腰带(未鉴定）	5545	5745	5645	75	20	5	Contrib	19600
158	6	15	15阶	T15鞋子(未鉴定）	5555	5755	5655	75	20	5	Contrib	19600
159	6	16	16阶	T16帽子(未鉴定）	5516	5716	5616	75	20	5	Contrib	22540
160	6	16	16阶	T16护腕(未鉴定）	5536	5736	5636	75	20	5	Contrib	22540
161	6	16	16阶	T16腰带(未鉴定）	5546	5746	5646	1	1	98	Contrib	225400
162	6	16	16阶	T16鞋子(未鉴定）	5556	5756	5656	1	1	98	Contrib	225400
163	6	17	17阶	T17帽子(未鉴定）	5517	5717	5617	1	1	98	Contrib	248000
164	6	17	17阶	T17护腕(未鉴定）	5537	5737	5637	1	1	98	Contrib	248000
165	6	17	17阶	T17腰带(未鉴定）	5547	5747	5647	1	1	98	Contrib	248000
166	6	17	17阶	T17鞋子(未鉴定）	5557	5757	5657	1	1	98	Contrib	248000
167	6	18	18阶	T18帽子(未鉴定）	5518	5718	5618	1	1	98	Contrib	277500
168	6	18	18阶	T18护腕(未鉴定）	5538	5738	5638	1	1	98	Contrib	277500
169	6	18	18阶	T18腰带(未鉴定）	5548	5748	5648	1	1	98	Contrib	277500
170	6	18	18阶	T18鞋子(未鉴定）	5558	5758	5658	1	1	98	Contrib	277500
