GoodsId	TemplateId	Name	Price	MoneyType	ShopType	SubType	Sort	Discount	LimitType	LimitNum	HotTip	TimeFrame	CloseTimeFrame	MinLevel	ShowLevel	ShowVipLevel	OpenTime	CloseTime	ForbidStall	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1017	214	普通的神秘矿石	120	Gold	Treasure		18	6	7	10		OpenLevel89	OpenLevel109							1	1	1	1	1	1	1
1018	215	无暇的神秘矿石	560	Gold	Treasure		19	7	7	6		OpenLevel89	OpenLevel109							1	1	1	1	1	1	1
1019	222	绿水晶	25	Gold	Treasure		20	5	7	300		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1020	223	蓝水晶	120	Gold	Treasure		21	6	7	50		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1021	224	紫水晶	560	Gold	Treasure		22	7	7	20		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1022	213	破损的神秘矿石	20	Gold	Treasure		23	4	7	20		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1023	214	普通的神秘矿石	100	Gold	Treasure		24	5	7	20		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1024	215	无暇的神秘矿石	480	Gold	Treasure		25	6	7	10		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1025	223	蓝水晶	100	Gold	Treasure		26	5	7	60		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1026	224	紫水晶	480	Gold	Treasure		27	6	7	30		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1027	213	破损的神秘矿石	15	Gold	Treasure		28	3	7	20		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1028	214	普通的神秘矿石	80	Gold	Treasure		29	4	7	20		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1029	215	无暇的神秘矿石	400	Gold	Treasure		30	5	7	10		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1030	212	白水晶	5	Gold	Treasure		31	4	7	200		OpenLevel99	OpenLevel109							1	1	1	1	1	1	1
1031	222	绿水晶	30	Gold	Treasure		32	6	7	200		OpenLevel99	OpenLevel109							1	1	1	1	1	1	1
1032	212	白水晶	5	Gold	Treasure		33	4	7	400		OpenLevel109	OpenLevel119							1	1	1	1	1	1	1
1035	213	破损的神秘矿石	15	Gold	Treasure		36	3	7	40		OpenLevel129	OpenLevel139							1	1	1	1	1	1	1
1036	214	普通的神秘矿石	80	Gold	Treasure		37	4	7	30		OpenLevel129	OpenLevel139							1	1	1	1	1	1	1
1037	215	无暇的神秘矿石	400	Gold	Treasure		38	5	7	20		OpenLevel129	OpenLevel139							1	1	1	1	1	1	1
1038	213	破损的神秘矿石	15	Gold	Treasure		39	3	7	60		OpenLevel139								1	1	1	1	1	1	1
1039	214	普通的神秘矿石	80	Gold	Treasure		40	4	7	40		OpenLevel139								1	1	1	1	1	1	1
1040	215	无暇的神秘矿石	400	Gold	Treasure		41	5	7	30		OpenLevel139								1	1	1	1	1	1	1
1041	7289	阵法修炼精要	100	Gold	Treasure		42	7	7	10		OpenLevel89								1	1	1	1	1	1	1
1042	222	绿水晶	20	Gold	Treasure		43	4	7	300		OpenLevel119	OpenLevel129							1	1	1	1	1	1	1
1043	222	绿水晶	20	Gold	Treasure		44	4	7	300		OpenLevel129								1	1	1	1	1	1	1
1044	223	蓝水晶	100	Gold	Treasure		45	5	7	60		OpenLevel129								1	1	1	1	1	1	1
1045	224	紫水晶	480	Gold	Treasure		46	6	7	30		OpenLevel129								1	1	1	1	1	1	1
1046	225	橙水晶	1920	Gold	Treasure		47	6	7	10		OpenLevel129								1	1	1	1	1	1	1
1047	7394	元气瓶（精）	465	Gold	Treasure		48	7	7	5		OpenLevel69		999	999	25				1	1	1	1	1	1	1
1048	9404	绝学断篇宝箱（普通）	360000	Gold	Treasure		49	5	7	5				999	999	25				1	1	1	1	1	1	1
1049	6151	真气丹（1000点）	175	Gold	Treasure		50	7	7	50		OpenLevel79								1	1	1	1	1	1	1
1050	6152	真气丹（5000点）	875	Gold	Treasure		51	7	7	10		OpenLevel99		999	999					1	1	1	1	1	1	1
1051	2162	1级魂石箱	98	Gold	Treasure		52	7	7	100										1	1	1	1	1	1	1
1052	2163	2级魂石箱	500	Gold	Treasure		53	7	7	100				59	59					1	1	1	1	1	1	1
1053	2164	3级魂石箱	3000	Gold	Treasure		54	7	7	100				69	69					1	1	1	1	1	1	1
1054	2165	4级魂石箱	15000	Gold	Treasure		55	7	7	100				79	79					1	1	1	1	1	1	1
1055	787	藏宝图	28	Gold	Treasure		56	7	7	100										1	1	1	1	1	1	1
1056	786	黄金宝箱	500	Gold	Treasure		57	5	7	100										1	1	1	1	1	1	1
1057	4816	元气瓶（中）	3000	Gold	Treasure		58	7	7	100				69	69					1	1	1	1	1	1	1
1058	4687	黎饰宝箱	5000	Gold	Treasure		59	7	7	100										1	1	1	1	1	1	1
1059	995304	转生卡	1000	Gold	Treasure		60	7	7	5				999	999	25				1	1	1	1	1	1	1
1060	4731	2级家具材料24选礼盒	50000	Gold	Treasure		61	7	7	50				69	69					1	1	1	1	1	1	1
1061	4732	3级家具材料12选礼盒	50000	Gold	Treasure		62	7	7	50				79	79					1	1	1	1	1	1	1
1062	4733	4级家具材料6选礼盒	50000	Gold	Treasure		63	7	7	50				89	89					1	1	1	1	1	1	1
1063	4734	5级家具材料3选礼盒	50000	Gold	Treasure		64	7	7	50				99	99					1	1	1	1	1	1	1
1064	995399	兑换卡-神之墓地门票	9999999	Gold	Treasure		65	7	7	7				999	999	25				1	1	1	1	1	1	1
1065	993072	如意卡任选礼盒	1000	Gold	Treasure		66	7	7	10										1	1	1	1	1	1	1
20310	7026	T6时装（自然）过度道具	8705	SilverBoard	Dress	tabDressHeadShop	999													1	1	1	1	1	1	1
20311	6998	T1时装（斗笠）过度道具	8706	SilverBoard	Dress	tabDressHeadShop	998													1	1	1	1	1	1	1
20312	7003	T2时装（花）过度道具	8707	SilverBoard	Dress	tabDressHeadShop	997													1	1	1	1	1	1	1
20313	7011	T3时装（新年大衣）过度道具	8708	SilverBoard	Dress	tabDressHeadShop	996													1	1	1	1	1	1	1
20332	7016	T4时装（八家将）过度道具	7719	SilverBoard	Dress	tabDressHeadShop	977													1	1	1	1	1	1	1
20337	7021	T5时装（黑帮）过度道具	7724	SilverBoard	Dress	tabDressHeadShop	972													1	1	1	1	1	1	1
20347	7031	T7时装（浮光）过度道具	7734	SilverBoard	Dress	tabDressHeadShop	962													1	1	1	1	1	1	1
20352	7036	T8时装（轻纱）过度道具	7739	SilverBoard	Dress	tabDressHeadShop	957													1	1	1	1	1	1	1
20357	6995	T1校服头·颜色1过度道具	7744	SilverBoard	Dress	tabDressHeadShop	952													1	1	1	1	1	1	1
20358	6996	T2校服头·颜色1过度道具	7745	SilverBoard	Dress	tabDressHeadShop	951													1	1	1	1	1	1	1
20359	6997	T3校服头·颜色1过度道具	7746	SilverBoard	Dress	tabDressHeadShop	950													1	1	1	1	1	1	1
20360	7295	云梦之犄	19001	SilverBoard	Dress	tabDressHeadShop	949													1	1	1	1	1	1	1
20361	7310	新年头	19002	SilverBoard	Dress	tabDressHeadShop	948													1	1	1	1	1	1	1
20362	7311	狗头	19003	SilverBoard	Dress	tabDressHeadShop	947													1	1	1	1	1	1	1
20363	7026	T6时装（自然）过度道具	490	SilverBoard	Dress	tabDressHeadShop	946													1	1	1	1	1	1	1
20367	7508	T4校服头·颜色1过度道具	14014	SilverBoard	Dress	tabDressHeadShop	942													1	1	1	1	1	1	1
20368	8202	T13时装（兔子）头部·30天	10101	SilverBoard	Dress	tabDressHeadShop	941							999	999	25				1	1	1	1	1	1	1
20369	6962	T16头盔	70007	SilverBoard	Dress	tabDressHeadShop	940													1	1	1	1	1	1	1
20370	8214	T13时装（兔子）头部·1年	70008	SilverBoard	Dress	tabDressHeadShop	939													1	1	1	1	1	1	1
20371	7678	【苍澜花间】头饰外观	20000	SilverBoard	Dress	tabDressHeadShop	938													1	1	1	1	1	1	1
20372	7676	【风动萤舞】头饰外观	20000	SilverBoard	Dress	tabDressHeadShop	937													1	1	1	1	1	1	1
20373	8524	【盛夏风情】头饰外观	20000	SilverBoard	Dress	tabDressHeadShop	936													1	1	1	1	1	1	1
20374	9816	缀芳沐雪头饰	70018	SilverBoard	Dress	tabDressHeadShop	935													1	1	1	1	1	1	1
20375	10516	愚人节头饰	70019	SilverBoard	Dress	tabDressHeadShop	934													1	1	1	1	1	1	1
20376	9810	秋叶流歌头饰	70014	SilverBoard	Dress	tabDressHeadShop	933													1	1	1	1	1	1	1
20377	11005	云霞芳冠	20030	SilverBoard	Dress	tabDressHeadShop	932													1	1	1	1	1	1	1
20378	11110	【玉面灵狐】头饰外观·30天	20033	SilverBoard	Dress	tabDressHeadShop	931							999	999	25				1	1	1	1	1	1	1
20379	10604	【翩燕流云】头饰外观	20023	SilverBoard	Dress	tabDressHeadShop	930													1	1	1	1	1	1	1
20380	11094	青风·30天	20032	SilverBoard	Dress	tabDressHeadShop	929													1	1	1	1	1	1	1
20381	11357	风华绝代头饰外观	70100	SilverBoard	Dress	tabDressHeadShop	928													1	1	1	1	1	1	1
20382	11946	万圣节头饰·5天	60054	SilverBoard	Dress	tabDressHeadShop	927													1	1	1	1	1	1	1
20383	11998	【故梦星辰】头饰外观	160072	SilverBoard	Dress	tabDressHeadShop	926													1	1	1	1	1	1	1
2001	6036	【天王】浮光·梦羽(全配色)	15801	SilverBoard	Dress	tabDressWaiyiShop	5													1	1	1	1	1	1	1
2002	6037	【峨眉】浮光·梦蝶(全配色)	15802	SilverBoard	Dress	tabDressWaiyiShop	6													1	1	1	1	1	1	1
2003	6038	【桃花】浮光·梦蝶(全配色)	15803	SilverBoard	Dress	tabDressWaiyiShop	7													1	1	1	1	1	1	1
2004	6039	【逍遥】浮光·梦羽(全配色)	15804	SilverBoard	Dress	tabDressWaiyiShop	8													1	1	1	1	1	1	1
2005	6040	【武当】浮光·梦羽(全配色)	15805	SilverBoard	Dress	tabDressWaiyiShop	9													1	1	1	1	1	1	1
2006	6041	【天忍】浮光·梦蝶(全配色)	15806	SilverBoard	Dress	tabDressWaiyiShop	10													1	1	1	1	1	1	1
2007	6042	【少林】浮光·梦羽(全配色)	15807	SilverBoard	Dress	tabDressWaiyiShop	11													1	1	1	1	1	1	1
2008	6043	【翠烟】浮光·梦蝶(全配色)	15808	SilverBoard	Dress	tabDressWaiyiShop	12													1	1	1	1	1	1	1
2009	6044	【唐门】浮光·梦羽(全配色)	15809	SilverBoard	Dress	tabDressWaiyiShop	13													1	1	1	1	1	1	1
2010	6045	【昆仑】浮光·梦蝶(全配色)	15810	SilverBoard	Dress	tabDressWaiyiShop	14													1	1	1	1	1	1	1
2011	6046	【丐帮】浮光·梦羽(全配色)	15811	SilverBoard	Dress	tabDressWaiyiShop	15													1	1	1	1	1	1	1
2012	6047	【五毒】浮光·梦蝶(全配色)	15812	SilverBoard	Dress	tabDressWaiyiShop	16													1	1	1	1	1	1	1
2013	6048	【藏剑】浮光·梦羽(全配色)	15813	SilverBoard	Dress	tabDressWaiyiShop	17													1	1	1	1	1	1	1
2014	6049	【长歌】浮光·梦蝶(全配色)	15814	SilverBoard	Dress	tabDressWaiyiShop	18													1	1	1	1	1	1	1
2015	4508	【天王】佳期·鸿影	15815	SilverBoard	Dress	tabDressWaiyiShop	19													1	1	1	1	1	1	1
2016	4509	【峨眉】佳期·花恋	15816	SilverBoard	Dress	tabDressWaiyiShop	20													1	1	1	1	1	1	1
2017	4510	【桃花】佳期·琼华	15817	SilverBoard	Dress	tabDressWaiyiShop	21													1	1	1	1	1	1	1
2018	4511	【逍遥】佳期·墨语	15818	SilverBoard	Dress	tabDressWaiyiShop	22													1	1	1	1	1	1	1
2019	4512	【武当】佳期·墨语	15819	SilverBoard	Dress	tabDressWaiyiShop	23													1	1	1	1	1	1	1
2020	4513	【天忍】佳期·花恋	15820	SilverBoard	Dress	tabDressWaiyiShop	24													1	1	1	1	1	1	1
2021	4514	【少林】佳期·鸿影	15821	SilverBoard	Dress	tabDressWaiyiShop	25													1	1	1	1	1	1	1
2022	4515	【翠烟】佳期·花恋	15822	SilverBoard	Dress	tabDressWaiyiShop	26													1	1	1	1	1	1	1
2023	4516	【唐门】佳期·墨语	15823	SilverBoard	Dress	tabDressWaiyiShop	27													1	1	1	1	1	1	1
2024	4517	【昆仑】佳期·花恋	15824	SilverBoard	Dress	tabDressWaiyiShop	28													1	1	1	1	1	1	1
2025	4518	【丐帮】佳期·鸿影	15825	SilverBoard	Dress	tabDressWaiyiShop	29													1	1	1	1	1	1	1
2026	4519	【五毒】佳期·琼华	15826	SilverBoard	Dress	tabDressWaiyiShop	30													1	1	1	1	1	1	1
2027	6344	【天王】狂客	15827	SilverBoard	Dress	tabDressWaiyiShop	31													1	1	1	1	1	1	1
2028	6345	【峨眉】狷者	15828	SilverBoard	Dress	tabDressWaiyiShop	32													1	1	1	1	1	1	1
2029	6346	【桃花】魅灵	15829	SilverBoard	Dress	tabDressWaiyiShop	33													1	1	1	1	1	1	1
2030	6347	【逍遥】邪侠	15830	SilverBoard	Dress	tabDressWaiyiShop	34													1	1	1	1	1	1	1
2031	6348	【武当】邪侠	15831	SilverBoard	Dress	tabDressWaiyiShop	35													1	1	1	1	1	1	1
2032	6349	【天忍】狷者	15832	SilverBoard	Dress	tabDressWaiyiShop	36													1	1	1	1	1	1	1
2033	6350	【少林】狂客	15833	SilverBoard	Dress	tabDressWaiyiShop	37													1	1	1	1	1	1	1
2034	6351	【翠烟】魅灵	15834	SilverBoard	Dress	tabDressWaiyiShop	38													1	1	1	1	1	1	1
2035	6352	【唐门】邪侠	15835	SilverBoard	Dress	tabDressWaiyiShop	39													1	1	1	1	1	1	1
2036	6353	【昆仑】狷者	15836	SilverBoard	Dress	tabDressWaiyiShop	40													1	1	1	1	1	1	1
2037	6354	【丐帮】狂客	15837	SilverBoard	Dress	tabDressWaiyiShop	41													1	1	1	1	1	1	1
2038	6355	【五毒】魅灵	15838	SilverBoard	Dress	tabDressWaiyiShop	42													1	1	1	1	1	1	1
2039	6356	【藏剑】邪侠	15839	SilverBoard	Dress	tabDressWaiyiShop	43													1	1	1	1	1	1	1
2040	6357	【长歌】魅灵	15840	SilverBoard	Dress	tabDressWaiyiShop	44													1	1	1	1	1	1	1
2041	4448	【天王】青竹觅影	9301	SilverBoard	Dress	tabDressWaiyiShop	45													1	1	1	1	1	1	1
2042	4449	【峨眉】落花映雪	9302	SilverBoard	Dress	tabDressWaiyiShop	46													1	1	1	1	1	1	1
2043	4450	【桃花】落花映雪	9303	SilverBoard	Dress	tabDressWaiyiShop	47													1	1	1	1	1	1	1
2044	4451	【逍遥】青竹觅影	9304	SilverBoard	Dress	tabDressWaiyiShop	48													1	1	1	1	1	1	1
2045	4452	【武当】青竹觅影	9305	SilverBoard	Dress	tabDressWaiyiShop	49													1	1	1	1	1	1	1
2046	4453	【天忍】落花映雪	9306	SilverBoard	Dress	tabDressWaiyiShop	50													1	1	1	1	1	1	1
2047	4454	【少林】青竹觅影	9307	SilverBoard	Dress	tabDressWaiyiShop	51													1	1	1	1	1	1	1
2048	4455	【翠烟】落花映雪	9308	SilverBoard	Dress	tabDressWaiyiShop	52													1	1	1	1	1	1	1
2049	4456	【唐门】青竹觅影	9309	SilverBoard	Dress	tabDressWaiyiShop	53													1	1	1	1	1	1	1
2050	4457	【昆仑】落花映雪	9310	SilverBoard	Dress	tabDressWaiyiShop	54													1	1	1	1	1	1	1
2051	4458	【丐帮】青竹觅影	9311	SilverBoard	Dress	tabDressWaiyiShop	55													1	1	1	1	1	1	1
2052	4459	【五毒】落花映雪	9312	SilverBoard	Dress	tabDressWaiyiShop	56													1	1	1	1	1	1	1
2053	6204	【藏剑】青竹觅影	9313	SilverBoard	Dress	tabDressWaiyiShop	57													1	1	1	1	1	1	1
2054	6205	【长歌】落花映雪	9314	SilverBoard	Dress	tabDressWaiyiShop	58													1	1	1	1	1	1	1
2055	2667	外观过度道具_1	9315	SilverBoard	Dress	tabDressWaiyiShop	59													1	1	1	1	1	1	1
2056	2706	外观2过度道具	9316	SilverBoard	Dress	tabDressWaiyiShop	60													1	1	1	1	1	1	1
2057	3310	外观3过度道具	9317	SilverBoard	Dress	tabDressWaiyiShop	61													1	1	1	1	1	1	1
2058	3864	外观5过度道具	9318	SilverBoard	Dress	tabDressWaiyiShop	62													1	1	1	1	1	1	1
2059	3311	艺趣·盛典华服	9319	SilverBoard	Dress	tabDressWaiyiShop	63													1	1	1	1	1	1	1
2060	4891	周年庆典华服	9320	SilverBoard	Dress	tabDressWaiyiShop	64													1	1	1	1	1	1	1
2061	2700	江湖侠少装	9321	SilverBoard	Dress	tabDressWaiyiShop	65													1	1	1	1	1	1	1
2062	4495	<斗笠系列>时装·30天	9322	SilverBoard	Dress	tabDressWaiyiShop	66													1	1	1	1	1	1	1
2063	4498	<学院系列>时装·30天	9323	SilverBoard	Dress	tabDressWaiyiShop	67													1	1	1	1	1	1	1
2064	4501	<冬季系列>时装·30天	9324	SilverBoard	Dress	tabDressWaiyiShop	68													1	1	1	1	1	1	1
2065	4504	<艺趣系列>时装·30天	9325	SilverBoard	Dress	tabDressWaiyiShop	69													1	1	1	1	1	1	1
2066	4507	<黑色系列>时装·30天	9326	SilverBoard	Dress	tabDressWaiyiShop	70													1	1	1	1	1	1	1
2067	6884	T1校服·颜色1过度道具	9327	SilverBoard	Dress	tabDressWaiyiShop	71													1	1	1	1	1	1	1
2068	6885	T2校服·颜色1过度道具	9328	SilverBoard	Dress	tabDressWaiyiShop	72													1	1	1	1	1	1	1
2069	6886	T3校服·颜色1过度道具	9329	SilverBoard	Dress	tabDressWaiyiShop	73													1	1	1	1	1	1	1
2070	5969	【天王】浮光	12601	SilverBoard	Dress	tabDressWaiyiShop	74													1	1	1	1	1	1	1
2071	5970	峨嵋武器外装T1	12602	SilverBoard	Dress	tabDressWaiyiShop	75													1	1	1	1	1	1	1
2072	5971	桃花武器外装T1	12603	SilverBoard	Dress	tabDressWaiyiShop	76													1	1	1	1	1	1	1
2073	5972	逍遥武器外装T1	12604	SilverBoard	Dress	tabDressWaiyiShop	77													1	1	1	1	1	1	1
2074	5973	武当武器外装T1	12605	SilverBoard	Dress	tabDressWaiyiShop	78													1	1	1	1	1	1	1
2075	5974	天忍武器外装T1	12606	SilverBoard	Dress	tabDressWaiyiShop	79													1	1	1	1	1	1	1
2076	5975	少林武器外装T1	12607	SilverBoard	Dress	tabDressWaiyiShop	80													1	1	1	1	1	1	1
2077	5976	翠烟武器外装T1	12608	SilverBoard	Dress	tabDressWaiyiShop	81													1	1	1	1	1	1	1
2078	5977	唐门武器外装T1	12609	SilverBoard	Dress	tabDressWaiyiShop	82													1	1	1	1	1	1	1
2079	5978	昆仑武器外装T1	12610	SilverBoard	Dress	tabDressWaiyiShop	83													1	1	1	1	1	1	1
2080	5979	丐帮武器外装T1	12611	SilverBoard	Dress	tabDressWaiyiShop	84													1	1	1	1	1	1	1
2081	5980	五毒武器外装T1	12612	SilverBoard	Dress	tabDressWaiyiShop	85													1	1	1	1	1	1	1
2082	5981	藏剑武器外装T1	12613	SilverBoard	Dress	tabDressWaiyiShop	86													1	1	1	1	1	1	1
2083	5982	长歌武器外装T1	12614	SilverBoard	Dress	tabDressWaiyiShop	87													1	1	1	1	1	1	1
2084	6873	【邪魅狷狂】衣服外观	12615	SilverBoard	Dress	tabDressWaiyiShop	88													1	1	1	1	1	1	1
2085	7318	<新年装>时装	12616	SilverBoard	Dress	tabDressWaiyiShop	89													1	1	1	1	1	1	1
2086	6872	【浮光若梦】衣服外观	12617	SilverBoard	Dress	tabDressWaiyiShop	90													1	1	1	1	1	1	1
2087	7507	T4校服·颜色1过度道具	14013	SilverBoard	Dress	tabDressWaiyiShop	91													1	1	1	1	1	1	1
2088	5289	T16衣服	70004	SilverBoard	Dress	tabDressWaiyiShop	92													1	1	1	1	1	1	1
2089	7677	【苍澜花间】衣服外观	50000	SilverBoard	Dress	tabDressWaiyiShop	93													1	1	1	1	1	1	1
2090	7675	【风动萤舞】衣服外观	50000	SilverBoard	Dress	tabDressWaiyiShop	94													1	1	1	1	1	1	1
2091	8523	【盛夏风情】衣服外观	50000	SilverBoard	Dress	tabDressWaiyiShop	95													1	1	1	1	1	1	1
2092	9798	秋叶流歌衣服	70013	SilverBoard	Dress	tabDressWaiyiShop	96													1	1	1	1	1	1	1
2093	9804	缀芳沐雪衣服	70017	SilverBoard	Dress	tabDressWaiyiShop	97													1	1	1	1	1	1	1
2094	10603	【翩燕流云】衣服外观	40000	SilverBoard	Dress	tabDressWaiyiShop	98													1	1	1	1	1	1	1
2095	11353	风华绝代衣服外观	70000	SilverBoard	Dress	tabDressWaiyiShop	99													1	1	1	1	1	1	1
2096	11994	【故梦星辰】衣服外观	130068	SilverBoard	Dress	tabDressWaiyiShop	100													1	1	1	1	1	1	1
2097	12025	艺趣·盛典华服	130087	SilverBoard	Dress	tabDressWaiyiShop	101													1	1	1	1	1	1	1
