TimeFrame	PlayerAddExpP	ItemID	LimitAddNum
OpenLevel69	200	213	10
OpenLevel69	300	213	15
OpenLevel69	100	214	5
OpenLevel69	150	214	5
OpenLevel69	200	214	10
OpenLevel69	300	214	15
OpenLevel69	100	215	2
OpenLevel69	150	215	2
OpenLevel69	200	215	3
OpenLevel69	300	215	5
OpenLevel69	100	1234	50
OpenLevel69	150	1234	50
OpenLevel69	200	1234	100
OpenLevel69	300	1234	150
OpenLevel69	100	1235	50
OpenLevel69	150	1235	50
OpenLevel69	200	1235	100
OpenLevel69	300	1235	150
OpenLevel79	100	212	50
OpenLevel79	150	212	50
OpenLevel79	200	212	100
OpenLevel79	300	212	150
OpenLevel79	100	222	50
OpenLevel79	150	222	50
OpenLevel79	200	222	100
OpenLevel79	300	222	150
OpenLevel79	100	223	15
OpenLevel79	150	223	15
OpenLevel79	200	223	30
OpenLevel79	300	223	45
OpenLevel79	100	213	5
OpenLevel79	150	213	5
OpenLevel79	200	213	10
OpenLevel79	300	213	15
OpenLevel79	100	214	5
OpenLevel79	150	214	5
OpenLevel79	200	214	10
OpenLevel79	300	214	15
OpenLevel79	100	215	2
OpenLevel79	150	215	2
OpenLevel79	200	215	3
OpenLevel79	300	215	5
OpenLevel79	100	1234	50
OpenLevel79	150	1234	50
OpenLevel79	200	1234	100
OpenLevel79	300	1234	150
OpenLevel79	100	1235	50
OpenLevel79	150	1235	50
OpenLevel79	200	1235	100
OpenLevel79	300	1235	150
OpenLevel79	100	6151	25
OpenLevel79	150	6151	25
OpenLevel79	200	6151	50
OpenLevel79	300	6151	75
OpenLevel89	100	212	50
OpenLevel89	150	212	50
OpenLevel89	200	212	100
OpenLevel89	300	212	150
OpenLevel89	100	222	50
OpenLevel89	150	222	50
OpenLevel89	200	222	100
OpenLevel89	300	222	150
OpenLevel89	100	223	15
OpenLevel89	150	223	15
OpenLevel89	200	223	30
OpenLevel89	300	223	45
OpenLevel89	100	224	5
OpenLevel89	150	224	5
OpenLevel89	200	224	10
OpenLevel89	300	224	15
OpenLevel89	100	213	5
OpenLevel89	150	213	5
OpenLevel89	200	213	10
OpenLevel89	300	213	15
OpenLevel89	100	214	5
OpenLevel89	150	214	5
OpenLevel89	200	214	10
OpenLevel89	300	214	15
OpenLevel89	100	215	2
OpenLevel89	150	215	2
OpenLevel89	200	215	3
OpenLevel89	300	215	5
OpenLevel89	100	1234	50
OpenLevel89	150	1234	50
OpenLevel89	200	1234	100
OpenLevel89	300	1234	150
OpenLevel89	100	1235	50
OpenLevel89	150	1235	50
OpenLevel89	200	1235	100
OpenLevel89	300	1235	150
OpenLevel89	100	6151	25
OpenLevel89	150	6151	25
OpenLevel89	200	6151	50
OpenLevel89	300	6151	75
OpenLevel99	100	212	50
OpenLevel99	150	212	50
OpenLevel99	200	212	100
OpenLevel99	300	212	150
OpenLevel99	100	222	50
OpenLevel99	150	222	50
OpenLevel99	200	222	100
OpenLevel99	300	222	150
OpenLevel99	100	223	15
OpenLevel99	150	223	15
OpenLevel99	200	223	30
OpenLevel99	300	223	45
OpenLevel99	100	224	5
OpenLevel99	150	224	5
OpenLevel99	200	224	10
OpenLevel99	300	224	15
OpenLevel99	100	213	5
OpenLevel99	150	213	5
OpenLevel99	200	213	10
OpenLevel99	300	213	15
OpenLevel99	100	214	5
OpenLevel99	150	214	5
OpenLevel99	200	214	10
OpenLevel99	300	214	15
OpenLevel99	100	215	2
OpenLevel99	150	215	2
OpenLevel99	200	215	3
OpenLevel99	300	215	5
OpenLevel99	100	1234	50
OpenLevel99	150	1234	50
OpenLevel99	200	1234	100
OpenLevel99	300	1234	150
OpenLevel99	100	1235	50
OpenLevel99	150	1235	50
OpenLevel99	200	1235	100
OpenLevel99	300	1235	150
OpenLevel99	100	6151	25
OpenLevel99	150	6151	25
OpenLevel99	200	6151	50
OpenLevel99	300	6151	75
OpenLevel99	100	6152	5
OpenLevel99	150	6152	5
OpenLevel99	200	6152	10
OpenLevel99	300	6152	15
OpenLevel109	100	212	50
OpenLevel109	150	212	50
OpenLevel109	200	212	100
OpenLevel109	300	212	150
OpenLevel109	100	222	50
OpenLevel109	150	222	50
OpenLevel109	200	222	100
OpenLevel109	300	222	150
OpenLevel109	100	223	25
OpenLevel109	150	223	25
OpenLevel109	200	223	50
OpenLevel109	300	223	75
OpenLevel109	100	224	10
OpenLevel109	150	224	10
OpenLevel109	200	224	20
OpenLevel109	300	224	30
OpenLevel109	100	213	10
OpenLevel109	150	213	10
OpenLevel109	200	213	20
OpenLevel109	300	213	30
OpenLevel109	100	214	10
OpenLevel109	150	214	10
OpenLevel109	200	214	20
OpenLevel109	300	214	30
OpenLevel109	100	215	5
OpenLevel109	150	215	5
OpenLevel109	200	215	10
OpenLevel109	300	215	15
OpenLevel109	100	1234	50
OpenLevel109	150	1234	50
OpenLevel109	200	1234	100
OpenLevel109	300	1234	150
OpenLevel109	100	1235	50
OpenLevel109	150	1235	50
OpenLevel109	200	1235	100
OpenLevel109	300	1235	150
OpenLevel109	100	6151	25
OpenLevel109	150	6151	25
OpenLevel109	200	6151	50
OpenLevel109	300	6151	75
OpenLevel109	100	6152	5
OpenLevel109	150	6152	5
OpenLevel109	200	6152	10
OpenLevel109	300	6152	15
OpenLevel119	100	212	50
OpenLevel119	150	212	50
OpenLevel119	200	212	100
OpenLevel119	300	212	150
OpenLevel119	100	222	50
OpenLevel119	150	222	50
OpenLevel119	200	222	100
OpenLevel119	300	222	150
OpenLevel119	100	223	30
OpenLevel119	150	223	30
OpenLevel119	200	223	60
OpenLevel119	300	223	90
OpenLevel119	100	224	15
OpenLevel119	150	224	15
OpenLevel119	200	224	30
OpenLevel119	300	224	45
OpenLevel119	100	213	10
OpenLevel119	150	213	10
OpenLevel119	200	213	20
OpenLevel119	300	213	30
OpenLevel119	100	214	10
OpenLevel119	150	214	10
OpenLevel119	200	214	20
OpenLevel119	300	214	30
OpenLevel119	100	215	5
OpenLevel119	150	215	5
OpenLevel119	200	215	10
OpenLevel119	300	215	15
OpenLevel119	100	1234	50
OpenLevel119	150	1234	50
OpenLevel119	200	1234	100
OpenLevel119	300	1234	150
OpenLevel119	100	1235	50
OpenLevel119	150	1235	50
OpenLevel119	200	1235	100
OpenLevel119	300	1235	150
OpenLevel119	100	6151	25
OpenLevel119	150	6151	25
OpenLevel119	200	6151	50
OpenLevel119	300	6151	75
OpenLevel119	100	6152	5
OpenLevel119	150	6152	5
OpenLevel119	200	6152	10
OpenLevel119	300	6152	15
OpenLevel129	100	212	50
OpenLevel129	150	212	50
OpenLevel129	200	212	100
OpenLevel129	300	212	150
OpenLevel129	100	222	50
OpenLevel129	150	222	50
OpenLevel129	200	222	100
OpenLevel129	300	222	150
OpenLevel129	100	223	30
OpenLevel129	150	223	30
OpenLevel129	200	223	60
OpenLevel129	300	223	90
OpenLevel129	100	224	15
OpenLevel129	150	224	15
OpenLevel129	200	224	30
OpenLevel129	300	224	45
OpenLevel129	100	213	10
OpenLevel129	150	213	10
OpenLevel129	200	213	20
OpenLevel129	300	213	30
OpenLevel129	100	214	10
OpenLevel129	150	214	10
OpenLevel129	200	214	20
OpenLevel129	300	214	30
OpenLevel129	100	215	5
OpenLevel129	150	215	5
OpenLevel129	200	215	10
OpenLevel129	300	215	15
OpenLevel129	100	1234	50
OpenLevel129	150	1234	50
OpenLevel129	200	1234	100
OpenLevel129	300	1234	150
OpenLevel129	100	1235	50
OpenLevel129	150	1235	50
OpenLevel129	200	1235	100
OpenLevel129	300	1235	150
OpenLevel129	100	6151	25
OpenLevel129	150	6151	25
OpenLevel129	200	6151	50
OpenLevel129	300	6151	75
OpenLevel129	100	6152	5
OpenLevel129	150	6152	5
OpenLevel129	200	6152	10
OpenLevel129	300	6152	15
