Index	Name	PosX	PosY	Dir	Desc
22	npc_3	2619	12271	63	3-1房间
22	npc_4	2749	11921	61	3-1房间
22	npc_5	2908	12510	40	3-1房间
22	box_buff	2599	11549	43	3-1房间
23	npc_1	2714	16203	22	2-1房间
23	npc_2	2228	16643	54	2-1房间
23	npc_3	2646	16669	63	2-1房间
23	npc_4	2428	16434	61	2-1房间
23	npc_5	2252	16145	40	2-1房间
23	box_buff	3430	16621	7	2-1房间
24	npc_1	2937	21281	22	1-1房间
24	npc_2	2453	20948	54	1-1房间
24	npc_3	2658	20571	63	1-1房间
24	npc_4	3215	20996	61	1-1房间
24	npc_5	2831	20924	40	1-1房间
24	box_buff	3845	19938	24	1-1房间
25	npc_1	6989	20207	22	1-2房间
25	npc_2	7257	19786	54	1-2房间
25	npc_3	6989	19529	63	1-2房间
25	npc_4	6945	19876	61	1-2房间
25	npc_5	6636	20005	40	1-2房间
25	box_buff	7931	21136	0	1-2房间
1	LeftNpc	10449	11978	1	3-3房间
1	RightNpc	13331	11734	1	3-3房间
1	TopNpc	12022	13552	1	3-3房间
1	BottomNpc	12094	10696	1	3-3房间
2	LeftNpc	10569	16010	1	2-3房间
2	RightNpc	13401	16001	1	2-3房间
2	TopNpc	11981	17521	1	2-3房间
2	BottomNpc	11980	14667	1	2-3房间
3	LeftNpc	15465	16003	1	2-4房间
3	RightNpc	18295	16000	1	2-4房间
3	TopNpc	16927	17453	1	2-4房间
3	BottomNpc	16934	14653	1	2-4房间
4	LeftNpc	15772	11925	1	3-4房间
4	RightNpc	18603	11918	1	3-4房间
4	TopNpc	17151	13426	1	3-4房间
4	BottomNpc	17140	10351	1	3-4房间
5	LeftNpc	15558	7470	1	4-4房间
5	RightNpc	18419	7452	1	4-4房间
5	TopNpc	16937	9104	1	4-4房间
5	BottomNpc	16954	5842	1	4-4房间
6	LeftNpc	10626	7448	1	4-3房间
6	RightNpc	13511	7436	1	4-3房间
6	TopNpc	12026	9151	1	4-3房间
6	BottomNpc	12035	5796	1	4-3房间
7	LeftNpc	5773	7549	1	4-2房间
7	RightNpc	9025	7672	1	4-2房间
7	TopNpc	7286	9045	1	4-2房间
7	BottomNpc	7417	5869	1	4-2房间
8	LeftNpc	5767	11986	1	3-2房间
8	RightNpc	8974	12057	1	3-2房间
8	TopNpc	7291	13509	1	3-2房间
8	BottomNpc	7412	10508	1	3-2房间
9	LeftNpc	5929	15999	1	2-2房间
9	RightNpc	8772	15996	1	2-2房间
9	TopNpc	7337	17503	1	2-2房间
9	BottomNpc	7346	14656	1	2-2房间
10	LeftNpc	10749	20465	1	1-3房间
10	RightNpc	13184	20453	1	1-3房间
10	BottomNpc	11939	18980	1	1-3房间
11	LeftNpc	15485	20383	1	1-4房间
11	RightNpc	17964	20341	1	1-4房间
11	BottomNpc	16815	19038	1	1-4房间
12	LeftNpc	20438	20410	1	1-5房间
12	BottomNpc	21560	19096	1	1-5房间
13	LeftNpc	20520	16276	1	2-5房间
13	TopNpc	22061	17304	1	2-5房间
13	BottomNpc	21677	15170	1	2-5房间
14	LeftNpc	20338	12129	1	3-5房间
14	TopNpc	22038	13577	1	3-5房间
14	BottomNpc	21550	10679	1	3-5房间
15	LeftNpc	20681	7165	1	4-5房间
15	TopNpc	22196	8700	1	4-5房间
15	BottomNpc	21535	6153	1	4-5房间
16	LeftNpc	21033	2522	1	5-5房间
16	TopNpc	22308	3729	1	5-5房间
17	LeftNpc	16102	2541	1	5-4房间
17	RightNpc	18559	3025	1	5-4房间
17	TopNpc	17469	3922	1	5-4房间
18	LeftNpc	11152	2587	1	5-3房间
18	RightNpc	13459	3032	1	5-3房间
18	TopNpc	12386	3831	1	5-3房间
19	LeftNpc	5796	2561	1	5-2房间
19	RightNpc	8444	3044	1	5-2房间
19	TopNpc	7286	3893	1	5-2房间
20	RightNpc	4337	3917	1	5-1房间
20	TopNpc	2975	5058	1	5-1房间
21	RightNpc	4317	7976	1	4-1房间
21	TopNpc	2928	9294	1	4-1房间
21	BottomNpc	2959	6758	1	4-1房间
22	RightNpc	4306	12070	1	3-1房间
22	TopNpc	2934	13551	1	3-1房间
22	BottomNpc	2990	10905	1	3-1房间
23	RightNpc	4354	16130	1	2-1房间
23	TopNpc	2850	17479	1	2-1房间
23	BottomNpc	2851	14910	1	2-1房间
24	RightNpc	4134	20254	1	1-1房间
24	BottomNpc	2979	19014	1	1-1房间
25	LeftNpc	6261	20425	1	1-2房间
25	RightNpc	8456	20380	1	1-2房间
25	BottomNpc	7303	19108	1	1-2房间
