Id	Info	Name	StoneIcon	StoneValue	Value	Type	QualityLevel	QualityType	GrowthType	GradeType	EquipType	NpcTemplateId	Skill1	Skill2	Skill3	Skill4	Skill5	Skill6	Skill7	Skill8	Skill9	Skill10
32	S级同伴，历代名将	袁承志	1	50	2000000	1	3	10	310	22	22	310		2518	2519	2614	2523					
33	S级同伴，历代名将	鳌拜	1	50	2000000	1	3	9	309	21	21	311		2637	2638	2616	2623					
34	S级同伴，野外首领	金翅鹏皇	1	50	2000000	8	3	8	308	20	20	312		1270	1278							
35	S级同伴，野外首领	赤睛虎皇	1	50	2000000	8	3	11	311	23	23	313		1270	1278							
36	S级同伴，野外首领	撼天熊皇	1	50	2000000	8	3	2	302	14	14	314		1270	1278							
37	S级同伴，野外首领	定海金刚	1	50	2000000	8	3	5	305	17	17	315		1270	1278							
38	S级同伴，60组队秘境	唐影	1	50	2000000	1	3	12	312	24	24	316		2524	2525	2614	2621					
39	S级同伴，80组队秘境	岳飞	1	50	2000000	1	3	3	303	15	15	317		2838	2839	2618	2621					
40	S级同伴	杨熙烈	1	50	2000000	1	3	5	305	17	17	318		2687	2841	2614	2624					
41	S级同伴	上官飞龙	1	50	2000000	1	3	4	304	16	16	319		2866	2867	2616	2623					
42	S级同伴	叶无心	1	50	2000000	1	3	10	310	22	22	320		1283	1284	2615	2621					
43	S级同伴	孟知秋	1	50	2000000	1	3	11	311	23	23	321		2873	2644	2619	2622					
44	S级同伴	纳兰潜凛	1	50	2000000	1	3	3	303	15	15	322		2574	2684	2615	2624					
45	S级同伴	张风	1	50	2000000	1	3	4	304	16	16	323		2874	2878	2613	2624					
46	S级同伴	无虚大师	1	50	2000000	1	3	7	307	19	19	324		2875	2879	2613	2624					
47	S级同伴	南宫灭	1	50	2000000	1	3	6	306	18	18	325		2843	2844	2614	2622					
48	S级同伴	方勉	1	50	2000000	1	3	9	309	21	21	326		2876	2880	2613	2624					
135	S级同伴	秋依水	1	50	2000000	1	3	2	302	14	14	437		2847	2848	2615	2621					
131	S级同伴	燕若雪	1	50	2000000	1	3	6	306	18	18	1055		2528	2529	2617	2622					
132	S级同伴	杨再兴	1	50	2000000	1	3	1	301	13	13	1056		2877	2881	2613	2624					
133	S级同伴	韩世忠	1	50	2000000	1	3	7	307	19	19	1057		2842	2670	2613	2624					
134	A级同伴	聂小倩	1	50	900000	8	4	2	402	2	2	332		1181	1188							
49	A级同伴	纳兰真	1	50	900000	0	4	4	404	4	4	327		2560	2561	2604						
126	A级同伴	少年杨影枫	1	50	900000	0	4	1	401	1	1	1062		2564	2565	2608						
50	A级同伴，天王大师兄	杨铁心	1	50	900000	0	4	1	401	1	1	328		1101	1106	2608						
51	A级同伴，逍遥大师兄	柳潇庭	1	50	900000	0	4	3	403	3	3	329		1221	1232	2609						
52	A级同伴，峨眉大师兄	无想	1	50	900000	0	4	2	402	2	2	330		1131	1136	2603						
53	A级同伴，桃花大师姐	李恬儿	1	50	900000	0	4	4	404	4	4	331		1181	1188	2604						
54	A级同伴，武当大师兄	天目	1	50	900000	0	4	5	405	5	5	332		2801	2805	2608						
55	A级同伴，天忍大师姐	完颜襄	1	50	900000	8	4	6	406	6	6	333		1295	1296	2606						
56	A级同伴，少林大师兄	玄慈	1	50	900000	8	4	7	407	7	7	334		1181	1188							
57	A级同伴，翠烟大师姐	尹筱雨	1	50	900000	8	4	8	408	8	8	335		1181	1188							
136	A级同伴，丐帮大师兄	石轩辕	1	50	900000	8	4	9	409	9	9	1063		1181	1188							
137	A级同伴，昆仑大师兄	宋秋石	1	50	900000	8	4	10	410	10	10	1064		1181	1188							
138	A级同伴，五毒大师兄	古嫣然	1	50	900000	8	4	11	411	11	11	1065		1181	1188							
139	A级同伴，唐门大师兄	唐晓	1	50	900000	8	4	12	412	12	12	1066		1181	1188							
58	A级同伴，野外首领	寒玉鹿王	1	50	900000	0	4	3	403	3	3	336		2552	2553	2607						
59	A级同伴，野外首领	大地狼王	1	50	900000	0	4	9	409	9	9	337		2532	2533	2605						
60	A级同伴，野外首领	奔焰豹王	1	50	900000	0	4	6	406	6	6	338		2539	2541	2606						
61	A级同伴，野外首领	九尾狐王	1	50	900000	0	4	12	412	12	12	339		2546	2547	2604						
62	A级同伴	南宫彩虹	1	50	900000	0	4	2	402	2	2	340		2696	2699	2606						
63	A级同伴	张琳心	1	50	900000	0	4	8	408	8	8	341		2698	2502	2604						
64	A级同伴	蔷薇	1	50	900000	0	4	2	402	2	2	342		2501	2882	2607						
65	A级同伴	耶律辟离	1	50	900000	0	4	6	406	6	6	343		2629	2630	2605						
66	A级同伴	苏墨芸	1	50	900000	0	4	9	409	9	9	344		1289	1290	2603						
67	A级同伴	卓非凡	1	50	900000	0	4	5	405	5	5	345		2865	2832	2609						
68	A级同伴	紫轩	1	50	900000	0	4	8	408	8	8	346		2639	2863	2607						
69	A级同伴	张如梦	1	50	900000	0	4	5	405	5	5	347		2581	2582	2608						
70	A级同伴	林海	1	50	900000	0	4	10	410	10	10	348		2884	2886	2607						
71	A级同伴	陆文龙	1	50	900000	0	4	11	411	11	11	349		2836	2635	2608						
72	A级同伴	无相	1	50	900000	0	4	7	407	7	7	350		2885	1296	2606						
73	A级同伴	赵升权	1	50	900000	0	4	10	410	10	10	351		1295	2888	2606						
74	A级同伴	赵节	1	50	900000	0	4	1	401	1	1	352		2508	2509	2604						
75	A级同伴	邵骑风	1	50	900000	0	4	3	403	3	3	353		2862	2837	2609						
76	A级同伴	A28	1	50	900000	8	4	1	401	1	1	354		1270	1278							
77	A级同伴	A29	1	50	900000	8	4	1	401	1	1	355		1270	1278							
78	B级同伴	小李子	1	50	300000	0	5	1	501	1	1	356		2891	2591	2593						
79	B级同伴	萧动尘	1	50	300000	0	5	3	503	3	3	357		1281	1282	2594						
80	B级同伴	心魔	1	50	300000	0	5	5	505	5	5	358		1286	2692	2596						
81	B级同伴	胡神医	1	50	300000	0	5	2	502	2	2	359		2693	2694	2593						
82	B级同伴	秦沐白	1	50	300000	0	5	10	510	10	10	360		2568	2569	2598						
83	B级同伴	张仲天	1	50	300000	0	5	12	512	12	12	361		2651	2657	2598						
84	B级同伴	路达	1	50	300000	0	5	11	511	11	11	362		2652	2663	2598						
85	B级同伴	李三	1	50	300000	0	5	4	504	4	4	363		2653	2664	2596						
86	B级同伴	卢青	1	50	300000	0	5	6	506	6	6	364		2869	2893	2598						
87	B级同伴	莺儿	1	50	300000	0	5	8	508	8	8	365		2892	2660	2593						
88	B级同伴	顾武	1	50	300000	0	5	7	507	7	7	366		1271	2662	2594						
89	B级同伴	B12	1	50	300000	8	5	1	501	1	1	367		2652	2663	2598						
90	B级同伴	B13	1	50	300000	8	5	12	512	12	12	368		2650	2655	2595						
91	B级同伴	B14	1	50	300000	8	5	1	501	1	1	369		1270	1278							
92	B级同伴	B15	1	50	300000	8	5	1	501	1	1	370		1270	1278							
93	B级同伴	B16	1	50	300000	8	5	1	501	1	1	371		1270	1278							
94	B级同伴	B17	1	50	300000	8	5	1	501	1	1	372		1270	1278							
95	B级同伴	B18	1	50	300000	8	5	1	501	1	1	373		1270	1278							
96	C级同伴	金钱豹	1	50	50000	0	6	1	601	1	1	374		1261	1262							
97	C级同伴	黑翼猎鹰	1	50	50000	0	6	1	601	1	1	375		1261	1262							
98	C级同伴	武林恶徒	1	50	50000	0	6	1	601	1	1	376		1270	1278							
99	C级同伴	猛虎	1	50	50000	0	6	1	601	1	1	377		1261	1262							
100	C级同伴	枫林卫	1	50	50000	0	6	1	601	1	1	378		1270	1278							
101	C级同伴	猿猴	1	50	50000	0	6	1	601	1	1	379		1274	1280							
102	C级同伴	铁面捕头	1	50	50000	0	6	1	601	1	1	380		1270	1278							
103	C级同伴	红衣女童	1	50	50000	0	6	1	601	1	1	381		1270	1278							
104	C级同伴	铸剑师	1	50	50000	0	6	1	601	1	1	382		1270	1278							
105	C级同伴	猎人	1	50	50000	0	6	1	601	1	1	383		2557	2558							
106	C级同伴	红缨侍	1	50	50000	0	6	1	601	1	1	384		1276	1278							
107	C级同伴	强盗	1	50	50000	0	6	1	601	1	1	385		1270	1278							
108	C级同伴	药王谷弟子	1	50	50000	0	6	1	601	1	1	386		1274	1280							
109	C级同伴	灰狼	1	50	50000	0	6	1	601	1	1	387		1261	1262							
110	C级同伴	东瀛忍者	1	50	50000	0	6	1	601	1	1	388		1270	1278							
111	C级同伴	生使	1	50	50000	0	6	1	601	1	1	389		1270	1278							
112	C级同伴	死侍	1	50	50000	0	6	1	601	1	1	390		1270	1278							
113	C级同伴	火狐	1	50	50000	0	6	1	601	1	1	391		1261	1262							
114	C级同伴	九幽弟子	1	50	50000	0	6	1	601	1	1	392		1270	1278							
115	C级同伴	黑熊	1	50	50000	0	6	1	601	1	1	393		1261	1262							
116	C级同伴	无忧教弟子	1	50	50000	0	6	1	601	1	1	394		1274	1280							
117	C级同伴	天工匠者	1	50	50000	0	6	1	601	1	1	395		1270	1278							
118	C级同伴	傀儡士兵	1	50	50000	0	6	1	601	1	1	396		1270	1278							
119	C级同伴	机关人	1	50	50000	0	6	1	601	1	1	397		1274	1280							
120	C级同伴	C25	1	50	50000	8	6	1	601	1	1	398		1270	1278							
121	C级同伴	C26	1	50	50000	8	6	1	601	1	1	399		1270	1278							
122	C级同伴	C27	1	50	50000	8	6	1	601	1	1	400		1270	1278							
123	C级同伴	C28	1	50	50000	8	6	1	601	1	1	401		1270	1278							
124	C级同伴	C29	1	50	50000	8	6	1	601	1	1	402		1270	1278							
125	C级同伴	C30	1	50	50000	8	6	1	601	1	1	403		1270	1278							
