EquipType	GradeLevel	Pos1	Pos2	Pos3	Pos4	Pos5	Pos6
10	1	609	609	609	615	627	639
10	2	603	609	615	645	651	610
10	3	609	627	657	610	610	616
10	4	604	610	622	634	628	652
10	5	610	610	622	634	658	611
10	6	610	646	664	611	629	641
10	7	605	611	611	617	623	635
10	8	605	611	611	623	635	612
10	9	611	617	629	653	612	642
10	10	611	665	612	624	636	660
10	11	606	612	612	618	630	648
10	12	606	612	612	612	636	631
10	13	612	618	624	654	613	643
10	14	630	666	613	613	637	661
10	15	607	613	613	619	625	649
10	16	607	613	613	625	637	614
10	17	607	619	631	655	614	644
10	18	613	667	614	626	638	662
10	19	608	614	614	620	632	650
11	0	603	603	609	615	627	633
11	1	603	603	615	615	627	651
11	2	609	615	627	627	663	604
11	3	621	645	657	604	616	616
11	4	604	604	610	616	628	628
11	5	604	604	616	628	640	629
11	6	622	628	646	605	617	653
11	7	605	611	617	629	659	665
11	8	605	611	617	617	629	606
11	9	605	605	623	629	618	654
11	10	635	641	606	618	630	666
11	11	606	612	618	630	648	660
11	12	606	612	618	624	636	631
11	13	606	606	618	642	619	631
11	14	630	648	607	619	655	667
11	15	607	607	613	619	631	661
11	16	607	613	619	619	631	650
11	17	607	607	625	631	620	656
11	18	637	643	608	620	620	668
11	19	608	608	614	620	632	662
12	0	603	609	621	627	633	645
12	1	609	615	621	633	633	651
12	2	603	609	621	627	633	616
12	3	615	657	663	604	610	610
12	4	604	622	622	640	634	646
12	5	610	622	628	634	652	635
12	6	634	634	658	611	623	641
12	7	605	611	617	623	629	635
12	8	605	611	623	629	647	636
12	9	611	617	623	665	636	642
12	10	635	635	612	624	630	654
12	11	606	612	618	624	636	660
12	12	606	612	624	630	660	637
12	13	612	618	624	666	637	643
12	14	636	636	613	625	631	649
12	15	607	613	619	625	637	655
12	16	607	613	625	631	649	638
12	17	613	619	625	667	638	644
12	18	637	637	614	626	632	656
12	19	608	614	620	626	638	662
13	0	603	603	609	609	615	627
13	1	603	603	609	615	633	651
13	2	603	609	609	639	663	616
13	3	627	645	657	604	610	616
13	4	604	604	610	610	622	634
13	5	604	604	610	610	652	629
13	6	616	622	646	605	611	641
13	7	605	611	629	659	665	727
13	8	605	605	611	611	733	618
13	9	605	611	617	729	624	630
13	10	647	659	606	612	642	669
13	11	606	606	612	612	630	672
13	12	606	612	612	618	674	637
13	13	606	606	612	675	625	631
13	14	630	630	613	619	661	684
13	15	607	607	613	619	643	680
13	16	607	613	631	655	677	620
13	17	607	613	619	680	626	632
13	18	649	661	608	620	638	686
13	19	608	614	614	632	644	692
14	0	603	603	609	615	621	651
14	1	603	603	609	627	633	639
14	2	603	609	621	645	657	604
14	3	627	633	663	604	610	616
14	4	604	604	604	610	622	640
14	5	604	610	616	628	658	605
14	6	604	634	646	605	611	653
14	7	605	611	617	623	635	729
14	8	605	605	611	629	728	636
14	9	605	611	647	727	606	654
14	10	605	635	606	612	624	673
14	11	606	606	612	618	630	676
14	12	606	606	612	636	670	643
14	13	606	612	630	669	607	661
14	14	606	648	607	625	655	678
14	15	607	613	619	631	637	677
14	16	607	613	619	625	684	638
14	17	607	631	637	678	608	656
14	18	607	637	608	626	644	691
14	19	608	614	620	632	662	685
15	0	603	609	609	621	633	639
15	1	603	609	609	615	627	645
15	2	603	609	627	633	651	610
15	3	615	657	663	604	610	616
15	4	604	610	622	634	628	646
15	5	604	610	610	634	658	623
15	6	604	634	664	611	641	653
15	7	605	611	617	629	635	728
15	8	605	611	617	629	730	624
15	9	605	611	611	732	636	642
15	10	659	665	606	612	654	670
15	11	606	612	612	618	636	671
15	12	606	612	612	618	672	625
15	13	606	612	660	671	613	637
15	14	648	666	613	643	655	682
15	15	607	619	625	631	637	683
15	16	613	619	631	649	682	626
15	17	607	613	661	683	638	644
15	18	637	667	614	626	656	687
15	19	608	614	620	632	638	689
16	0	603	609	609	621	633	651
16	1	603	609	609	621	633	657
16	2	603	609	609	627	645	610
16	3	621	633	663	604	610	616
16	4	604	610	622	634	640	658
16	5	604	610	622	628	634	611
16	6	604	610	664	611	641	647
16	7	605	611	617	623	635	733
16	8	605	611	611	629	731	624
16	9	605	611	623	734	612	636
16	10	635	665	606	612	624	674
16	11	606	612	612	618	636	675
16	12	606	612	612	618	673	625
16	13	606	612	624	676	613	637
16	14	636	666	613	631	649	679
16	15	607	613	625	637	655	681
16	16	613	613	631	643	679	626
16	17	613	625	661	681	614	638
16	18	637	667	608	650	656	688
16	19	614	614	620	626	638	690
17	0	603	609	609	615	621	633
17	1	603	609	609	615	627	639
17	2	603	609	627	633	651	610
17	3	627	645	657	604	610	616
17	4	604	610	616	622	628	634
17	5	604	610	610	616	640	623
17	6	622	628	664	605	611	653
17	7	605	611	617	629	659	730
17	8	605	611	617	665	731	636
17	9	605	611	611	729	624	654
17	10	635	647	606	612	618	670
17	11	606	612	612	618	630	676
17	12	606	612	612	618	674	631
17	13	606	612	636	673	613	655
17	14	624	666	607	619	661	680
17	15	613	619	625	631	637	679
17	16	613	619	625	667	677	638
17	17	607	613	631	678	620	656
17	18	637	649	608	626	644	688
17	19	614	614	620	632	662	687
18	0	603	609	615	621	633	645
18	1	603	609	621	627	633	651
18	2	603	609	615	621	633	610
18	3	621	657	663	604	610	616
18	4	604	610	622	634	640	652
18	5	604	622	628	634	646	641
18	6	622	634	658	605	611	635
18	7	605	611	617	623	629	730
18	8	605	611	617	623	733	642
18	9	605	611	623	732	636	624
18	10	629	665	606	612	636	672
18	11	606	612	624	630	636	669
18	12	606	612	660	624	669	637
18	13	606	612	624	672	631	643
18	14	630	666	613	625	637	684
18	15	607	619	625	637	655	681
18	16	607	619	625	637	680	644
18	17	613	625	631	679	638	656
18	18	649	667	608	626	638	689
18	19	614	620	626	632	638	685
19	0	603	603	603	609	627	639
19	1	603	603	609	621	633	645
19	2	603	609	615	633	651	604
19	3	603	621	657	604	610	616
19	4	604	604	604	610	622	652
19	5	604	604	610	634	640	611
19	6	628	658	664	605	605	665
19	7	605	605	611	623	635	732
19	8	605	605	611	629	727	606
19	9	605	611	623	730	606	654
19	10	605	659	606	612	666	673
19	11	606	606	612	624	636	674
19	12	606	606	606	612	671	625
19	13	606	612	675	636	607	649
19	14	624	618	607	607	667	678
19	15	607	613	637	643	661	682
19	16	607	613	619	631	682	608
19	17	607	625	637	683	608	650
19	18	607	661	608	644	668	686
19	19	608	614	626	638	656	692
20	0	603	603	609	615	627	639
20	1	603	603	615	621	633	645
20	2	603	621	627	651	663	604
20	3	627	633	657	604	610	616
20	4	604	610	616	622	628	634
20	5	604	604	616	622	628	641
20	6	622	646	658	605	635	665
20	7	605	611	617	623	653	729
20	8	605	611	617	647	728	642
20	9	605	605	629	734	618	636
20	10	635	665	606	624	630	671
20	11	606	606	612	618	624	675
20	12	606	612	618	630	676	637
20	13	606	606	636	670	655	643
20	14	666	648	619	631	625	684
20	15	607	607	619	631	637	683
20	16	607	619	625	649	681	632
20	17	607	631	661	684	620	638
20	18	637	667	626	632	644	687
20	19	608	608	620	626	656	691
21	0	603	609	615	621	627	651
21	1	603	609	615	627	633	639
21	2	603	609	615	621	657	616
21	3	627	633	663	604	610	616
21	4	604	610	616	622	628	652
21	5	604	610	628	634	658	629
21	6	628	640	664	605	611	617
21	7	605	611	623	629	635	727
21	8	605	611	617	647	728	618
21	9	605	611	617	734	630	642
21	10	629	635	606	612	654	672
21	11	606	612	624	630	666	669
21	12	606	612	618	624	672	631
21	13	606	612	618	674	619	643
21	14	630	666	613	637	655	677
21	15	607	619	625	631	661	683
21	16	613	619	625	661	684	638
21	17	607	619	649	683	632	644
21	18	631	637	614	620	656	685
21	19	608	620	626	632	668	686
22	0	603	609	609	609	621	633
22	1	609	609	609	615	627	639
22	2	603	609	615	645	651	610
22	3	609	627	657	610	610	616
22	4	604	610	622	634	628	652
22	5	610	610	622	634	658	611
22	6	610	646	664	611	629	635
22	7	605	611	611	617	623	731
22	8	605	611	611	623	733	612
22	9	611	635	629	727	612	642
22	10	611	665	612	636	660	670
22	11	606	612	612	618	648	671
22	12	606	612	612	636	671	631
22	13	612	618	624	675	613	643
22	14	612	666	613	637	661	678
22	15	613	613	619	625	649	682
22	16	607	613	625	637	680	614
22	17	619	631	655	677	614	644
22	18	613	667	626	638	662	689
22	19	614	614	620	632	650	690
23	0	603	603	609	615	627	633
23	1	603	603	615	615	627	651
23	2	609	615	627	627	663	604
23	3	621	645	657	604	616	616
23	4	604	604	610	616	628	628
23	5	604	604	616	628	640	629
23	6	622	628	646	605	617	653
23	7	605	611	617	629	665	734
23	8	605	611	617	617	729	606
23	9	605	605	629	731	618	666
23	10	635	623	606	618	630	675
23	11	606	612	618	630	660	674
23	12	606	612	618	624	673	631
23	13	606	606	636	669	619	631
23	14	630	648	619	655	667	677
23	15	607	607	619	631	661	681
23	16	607	619	619	631	678	650
23	17	607	625	631	682	620	656
23	18	637	643	620	620	668	692
23	19	608	608	620	632	662	691
24	0	603	609	621	627	633	645
24	1	609	615	621	633	633	651
24	2	603	609	621	627	633	640
24	3	615	657	663	610	622	634
24	4	604	610	622	622	634	646
24	5	610	616	622	628	652	635
24	6	634	634	658	611	623	641
24	7	605	611	617	629	635	728
24	8	605	611	623	629	732	636
24	9	611	617	635	730	624	654
24	10	623	665	612	636	630	673
24	11	606	612	618	624	636	676
24	12	606	612	624	630	676	637
24	13	612	618	666	670	637	643
24	14	636	636	625	631	649	680
24	15	613	619	625	637	655	679
24	16	613	625	631	649	679	638
24	17	619	625	667	681	638	644
24	18	637	637	626	632	656	688
24	19	614	620	626	638	662	690
25	0	603	603	609	609	615	627
25	1	603	603	609	615	633	651
25	2	603	609	609	639	663	616
25	3	627	645	657	604	610	616
25	4	604	604	610	610	622	634
25	5	604	604	610	610	652	629
25	6	616	664	646	605	611	734
25	7	605	611	629	641	728	727
25	8	605	605	611	731	733	618
25	9	605	611	617	729	630	670
25	10	611	734	606	612	612	669
25	11	606	606	612	630	674	672
25	12	606	612	612	670	674	637
25	13	606	618	612	675	631	677
25	14	630	671	613	619	661	684
25	15	607	607	619	643	678	680
25	16	607	613	631	678	677	662
25	17	607	613	619	680	632	685
25	18	631	683	608	620	638	686
25	19	608	614	614	644	690	692
26	0	603	603	609	615	621	651
26	1	603	603	609	627	633	639
26	2	603	609	621	645	657	604
26	3	627	633	663	604	610	616
26	4	604	604	604	610	622	640
26	5	604	610	616	628	658	605
26	6	604	634	646	605	611	733
26	7	605	611	623	635	727	729
26	8	605	605	611	732	728	636
26	9	605	611	629	727	606	675
26	10	605	730	606	612	624	673
26	11	606	606	612	618	671	676
26	12	606	606	612	675	670	643
26	13	606	612	630	669	661	679
26	14	636	674	607	607	625	678
26	15	607	619	631	637	683	677
26	16	607	613	625	681	684	638
26	17	607	631	637	678	608	687
26	18	607	680	608	626	620	691
26	19	608	614	620	656	692	685
27	0	603	609	609	621	633	639
27	1	603	609	609	615	627	645
27	2	603	609	627	633	651	610
27	3	615	657	663	604	610	616
27	4	604	610	622	634	628	646
27	5	604	610	610	634	658	623
27	6	604	634	664	611	641	729
27	7	605	611	617	653	730	728
27	8	605	611	629	727	730	624
27	9	605	611	611	732	636	676
27	10	665	733	606	612	636	670
27	11	606	612	612	618	673	671
27	12	606	612	612	676	672	625
27	13	606	612	618	671	637	681
27	14	666	673	613	649	655	682
27	15	619	625	631	637	684	683
27	16	613	637	649	679	682	626
27	17	607	613	661	683	638	691
27	18	667	677	614	626	644	687
27	19	608	614	620	632	688	689
28	0	603	609	609	621	633	651
28	1	603	609	609	621	633	657
28	2	603	609	609	627	645	610
28	3	621	633	663	604	610	616
28	4	604	610	622	634	640	658
28	5	604	610	622	628	634	611
28	6	604	610	664	611	653	731
28	7	605	611	617	623	732	730
28	8	605	611	611	729	731	624
28	9	605	611	665	734	612	672
28	10	635	728	606	612	624	674
28	11	606	612	612	636	669	675
28	12	606	612	612	669	673	625
28	13	606	612	624	676	637	680
28	14	666	672	613	631	649	679
28	15	613	625	637	655	682	681
28	16	613	613	625	684	679	638
28	17	613	625	631	681	614	689
28	18	637	682	608	668	656	688
28	19	614	614	620	638	686	690
29	0	603	609	609	615	621	633
29	1	603	609	609	615	627	639
29	2	603	609	627	633	651	610
29	3	627	645	657	604	610	616
29	4	604	610	616	622	628	634
29	5	604	610	610	616	640	623
29	6	622	628	664	605	611	733
29	7	605	611	617	659	729	730
29	8	605	611	617	733	731	612
29	9	605	611	665	729	624	672
29	10	635	732	606	612	630	670
29	11	606	612	612	618	669	676
29	12	606	612	612	671	674	619
29	13	606	612	624	673	655	678
29	14	672	666	613	619	661	680
29	15	619	625	631	637	677	679
29	16	613	619	625	679	677	638
29	17	607	613	667	678	620	689
29	18	637	682	608	632	656	688
29	19	614	614	620	662	686	687
30	0	603	609	615	621	633	645
30	1	603	609	621	627	633	651
30	2	603	609	615	621	633	610
30	3	621	657	663	604	610	616
30	4	604	610	622	628	634	652
30	5	604	622	628	634	640	617
30	6	622	634	658	605	611	732
30	7	605	611	623	635	731	730
30	8	605	611	617	731	730	624
30	9	605	611	623	732	636	675
30	10	623	729	606	612	630	672
30	11	606	612	624	636	676	669
30	12	606	612	624	676	669	637
30	13	606	612	666	672	625	682
30	14	630	673	625	631	637	684
30	15	619	625	637	655	680	681
30	16	607	625	637	677	680	644
30	17	613	625	631	679	638	691
30	18	667	684	608	626	638	689
30	19	614	620	626	632	688	685
31	0	603	603	603	609	627	639
31	1	603	603	609	621	633	645
31	2	603	609	615	633	651	604
31	3	603	621	657	604	610	616
31	4	604	604	604	610	622	652
31	5	604	604	610	634	640	611
31	6	628	634	664	605	605	734
31	7	605	605	611	665	728	732
31	8	605	605	611	728	727	606
31	9	605	611	635	733	606	671
31	10	605	734	606	612	666	673
31	11	606	606	612	636	670	674
31	12	606	606	612	670	671	625
31	13	606	612	675	636	607	683
31	14	606	669	607	649	667	678
31	15	607	637	643	661	684	682
31	16	607	613	637	678	682	608
31	17	607	619	637	683	608	690
31	18	607	681	608	662	668	686
31	19	608	614	626	656	687	692
32	0	603	603	609	615	627	639
32	1	603	603	615	621	633	645
32	2	603	621	627	651	663	604
32	3	627	633	657	604	610	616
32	4	604	610	616	622	628	634
32	5	604	604	616	622	628	641
32	6	622	646	658	605	635	727
32	7	605	611	665	623	733	729
32	8	605	611	617	727	728	624
32	9	605	605	629	734	636	674
32	10	665	730	606	624	630	671
32	11	606	606	612	618	673	675
32	12	606	636	618	675	676	643
32	13	606	606	630	670	667	681
32	14	636	674	619	631	625	684
32	15	607	619	631	637	679	683
32	16	607	619	625	680	681	632
32	17	607	631	649	684	620	692
32	18	637	683	626	632	644	687
32	19	608	608	626	668	685	691
33	0	603	609	615	621	627	651
33	1	603	609	615	627	633	639
33	2	603	609	615	621	657	616
33	3	627	633	663	604	610	616
33	4	604	610	616	622	628	652
33	5	604	610	616	628	634	629
33	6	628	640	664	605	611	734
33	7	605	611	629	635	728	727
33	8	605	611	635	727	728	618
33	9	605	611	623	734	630	673
33	10	629	733	606	612	618	672
33	11	606	612	630	666	674	669
33	12	606	612	666	669	672	631
33	13	606	612	618	674	619	679
33	14	630	670	637	655	661	677
33	15	619	625	631	643	681	683
33	16	613	619	631	678	684	638
33	17	607	619	643	683	632	692
33	18	631	680	614	620	656	685
33	19	608	620	626	668	690	686
34	0	603	609	609	609	621	633
34	1	609	609	609	615	627	639
34	2	603	609	615	645	651	610
34	3	609	627	657	610	610	616
34	4	604	610	622	634	628	652
34	5	610	610	622	634	658	611
34	6	610	628	664	611	617	732
34	7	605	611	611	623	730	731
34	8	605	611	611	731	733	612
34	9	611	623	665	732	612	672
34	10	611	729	612	636	618	670
34	11	606	612	612	618	676	671
34	12	612	612	618	673	671	631
34	13	612	612	636	675	625	677
34	14	666	676	613	637	613	678
34	15	613	619	625	649	680	682
34	16	607	613	625	684	680	614
34	17	619	637	667	677	644	688
34	18	613	679	614	626	650	689
34	19	614	614	620	632	691	690
35	0	603	603	609	615	627	633
35	1	603	603	615	615	627	651
35	2	609	615	627	627	663	604
35	3	621	645	657	604	616	616
35	4	604	604	610	616	628	628
35	5	604	604	616	628	640	629
35	6	622	628	646	605	617	733
35	7	605	611	629	665	727	734
35	8	605	611	617	734	729	618
35	9	605	605	629	731	618	670
35	10	629	730	606	618	666	675
35	11	606	606	612	630	669	674
35	12	606	606	618	672	673	631
35	13	606	606	624	669	619	684
35	14	630	674	619	631	655	677
35	15	619	667	631	661	678	681
35	16	607	619	631	681	678	650
35	17	607	619	631	682	626	685
35	18	637	683	620	620	668	692
35	19	608	608	620	662	687	691
36	0	603	609	621	627	633	645
36	1	609	615	621	633	633	651
36	2	603	609	621	627	633	640
36	3	615	657	663	610	622	634
36	4	604	610	622	622	634	646
36	5	610	616	622	628	652	635
36	6	634	634	658	611	623	731
36	7	605	611	617	635	729	728
36	8	605	611	629	728	732	636
36	9	611	635	665	730	624	671
36	10	623	727	612	618	636	673
36	11	606	612	624	636	675	676
36	12	636	612	624	671	676	643
36	13	636	636	666	670	625	682
36	14	618	675	637	613	649	680
36	15	619	625	631	637	683	679
36	16	613	625	631	682	679	638
36	17	637	637	667	681	626	689
36	18	625	677	638	632	656	688
36	19	614	620	638	662	686	690
