ItemTemplateId	Desc	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
661	特效符文·减效果	360	resist_allseriesstate_rate_v	60																																						
667	特效符文·回复	360	recover_life_v	480	75																																					
677	特效符文·玄武	1080	lifemax_v	2400			all_series_resist_v	20																																		
678	特效符文·青龙	1080	basic_damage_v	120		120	attackrate_v	160																																		
679	特效符文·凤凰	1080	lifemax_v	2400			defense_v	80																																		
680	特效符文·白虎	1080	basic_damage_v	120		120	deadlystrike_v	40																																		
681	特效符文·朱雀	1080	basic_damage_v	120		120	ignore_defense_v	80																																		
682	特效符文·应龙	1080	lifemax_v	2400			weaken_deadlystrike_v	40																																		
683	特效符文·白泽	1080	basic_damage_v	120		120	add_seriesstate_rate_v	20																																		
684	特效符文·麒麟	1080	lifemax_v	2400			resist_allseriesstate_rate_v	20																																		
608	完美符文·生命	1440	lifemax_v	4000																																						
614	完美符文·攻击	1440	basic_damage_v	200		200																																				
620	完美符文·全抗	1440	all_series_resist_v	100																																						
626	完美符文·命中	1440	attackrate_v	800																																						
632	完美符文·闪避	1440	defense_v	400																																						
638	完美符文·会心	1440	deadlystrike_v	200																																						
644	完美符文·忽闪	1440	ignore_defense_v	400																																						
650	完美符文·减会心	1440	weaken_deadlystrike_v	200																																						
656	完美符文·效果	1440	add_seriesstate_rate_v	100																																						
662	完美符文·减效果	1440	resist_allseriesstate_rate_v	100																																						
668	完美符文·回复	1440	recover_life_v	800	75																																					
685	完美符文·玄武	5040	lifemax_v	4000			all_series_resist_v	50																																		
686	完美符文·青龙	5040	basic_damage_v	200		200	attackrate_v	400																																		
687	完美符文·凤凰	5040	lifemax_v	4000			defense_v	200																																		
688	完美符文·白虎	5040	basic_damage_v	200		200	deadlystrike_v	100																																		
689	完美符文·朱雀	5040	basic_damage_v	200		200	ignore_defense_v	200																																		
690	完美符文·应龙	5040	lifemax_v	4000			weaken_deadlystrike_v	100																																		
691	完美符文·白泽	5040	basic_damage_v	200		200	add_seriesstate_rate_v	50																																		
692	完美符文·麒麟	5040	lifemax_v	4000			resist_allseriesstate_rate_v	50																																		
