QualityLevel	Level	FightPower
3	76	6400
3	77	6800
3	78	7200
3	79	7600
3	80	8000
3	81	8800
3	82	9600
3	83	10400
3	84	11200
3	85	12000
3	86	12800
3	87	13600
3	88	14400
3	89	15200
3	90	16000
3	91	17600
3	92	19200
3	93	20800
3	94	22400
3	95	24000
3	96	25600
3	97	27200
3	98	28800
3	99	30400
3	100	32000
4	1	1
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	1
4	10	2
4	11	2
4	12	3
4	13	4
4	14	5
4	15	6
4	16	6
4	17	7
4	18	8
4	19	9
4	20	10
4	21	17
4	22	24
4	23	31
4	24	38
4	25	45
4	26	52
4	27	59
4	28	66
4	29	73
4	30	80
4	31	98
4	32	117
4	33	136
4	34	154
4	35	173
4	36	192
4	37	210
4	38	229
4	39	248
4	40	266
4	41	306
4	42	346
4	43	386
4	44	426
4	45	466
4	46	506
4	47	546
4	48	586
4	49	626
4	50	666
4	51	766
4	52	866
4	53	966
4	54	1066
4	55	1166
4	56	1266
4	57	1366
4	58	1466
4	59	1566
4	60	1666
4	61	1833
4	62	2000
4	63	2166
4	64	2333
4	65	2500
4	66	2666
4	67	2833
4	68	3000
4	69	3166
4	70	3333
4	71	3666
4	72	4000
4	73	4333
4	74	4666
4	75	5000
4	76	5333
4	77	5666
4	78	6000
4	79	6333
4	80	6666
4	81	7333
4	82	8000
4	83	8666
4	84	9333
4	85	10000
4	86	10666
4	87	11333
4	88	12000
4	89	12666
4	90	13333
4	91	14666
4	92	16000
4	93	17333
4	94	18666
4	95	20000
4	96	21333
4	97	22666
4	98	24000
4	99	25333
4	100	26666
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	2
5	12	2
5	13	3
5	14	4
5	15	4
5	16	5
5	17	6
5	18	6
5	19	7
5	20	8
5	21	13
5	22	19
5	23	24
5	24	30
5	25	36
5	26	41
5	27	47
5	28	52
5	29	58
5	30	64
5	31	78
5	32	93
5	33	108
5	34	123
5	35	138
5	36	153
5	37	168
5	38	183
5	39	198
5	40	213
5	41	245
5	42	277
5	43	309
5	44	341
5	45	373
5	46	405
5	47	437
5	48	469
5	49	501
5	50	533
5	51	613
5	52	693
5	53	773
5	54	853
5	55	933
5	56	1013
5	57	1093
5	58	1173
5	59	1253
5	60	1333
5	61	1466
5	62	1600
5	63	1733
5	64	1866
5	65	2000
5	66	2133
5	67	2266
5	68	2400
5	69	2533
5	70	2666
5	71	2933
5	72	3200
5	73	3466
5	74	3733
5	75	4000
5	76	4266
5	77	4533
5	78	4800
5	79	5066
5	80	5333
5	81	5866
5	82	6400
5	83	6933
5	84	7466
5	85	8000
5	86	8533
5	87	9066
5	88	9600
5	89	10133
5	90	10666
5	91	11733
5	92	12800
5	93	13866
5	94	14933
5	95	16000
5	96	17066
5	97	18133
5	98	19200
5	99	20266
5	100	21333
6	1	1
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	2
6	13	2
6	14	3
6	15	3
6	16	4
6	17	4
6	18	5
6	19	5
6	20	6
6	21	10
6	22	14
6	23	18
6	24	22
6	25	27
6	26	31
6	27	35
6	28	39
6	29	43
6	30	48
6	31	59
6	32	70
6	33	81
6	34	92
6	35	104
6	36	115
6	37	126
6	38	137
6	39	148
6	40	160
6	41	184
6	42	208
6	43	232
6	44	256
6	45	280
6	46	304
6	47	328
6	48	352
6	49	376
6	50	400
6	51	460
6	52	520
6	53	580
6	54	640
6	55	700
6	56	760
6	57	820
6	58	880
6	59	940
6	60	1000
6	61	1100
6	62	1200
6	63	1300
6	64	1400
6	65	1500
6	66	1600
6	67	1700
6	68	1800
6	69	1900
6	70	2000
6	71	2200
6	72	2400
6	73	2600
6	74	2800
6	75	3000
6	76	3200
6	77	3400
6	78	3600
6	79	3800
6	80	4000
6	81	4400
6	82	4800
6	83	5200
6	84	5600
6	85	6000
6	86	6400
6	87	6800
6	88	7200
6	89	7600
6	90	8000
6	91	8800
6	92	9600
6	93	10400
6	94	11200
6	95	12000
6	96	12800
6	97	13600
6	98	14400
6	99	15200
6	100	16000
