Id	Info	Name	szGrowthType	Value	ShowTimeFrame	Series	AiType	GrowthType	QualityLevel	NpcTemplateId	BYNpcTemplateId	BaseSkillId	Skill1	Skill2	Skill3	ExtSkill1	ExtSkill2	ExtSkill3	ExtSkill4	ExtSkill5	ValueLimit	Hide	version_tx	version_vn	version_kor	version_hk	version_xm	version_en	version_th
29	S级同伴，天忍掌门	端木睿	近战、暴发	1500000		4	6	6	3	305		2815	2935	2618	2819														
30	S级同伴，少林掌门	玄因	近战	1500000		1	11	7	3	306	2222	1270	2940	2619	953							1	1	1	1	1	1	1	1
31	S级同伴，翠烟掌门	尹含烟	远程	1500000		3	4	8	3	307		1270	2933	2620	953							1	1	1	1	1	1	1	1
32	S级同伴，五毒掌门	黑面郎君	远程、均衡	1500000		2	1	11	3	308	1464	3286	2930	2621	3289							1	1	1	1	1	1	1	1
33	S级同伴，昆仑掌门	璇玑子	远程	1500000		5	2	10	3	309		1270	2931	2622	953							1	1	1	1	1	1	1	1
34	S级同伴，丐帮掌门	何人我	近战、爆发	1500000		4	10	12	3	310	2223	3291	2939	2624	3292							1	1	1	1	1	1	1	1
35	S级同伴，唐门掌门	唐仇	远程、输出	1500000		2	7	9	3	311	2224	3293	2936	2623	3295							1	1	1	1	1	1	1	1
149	S级同伴，代言人	林更新	远程、输出	1500000		3	4	15	3	2698	2699	3923	2933	2614	3924						1			1	1	1	1	1	1
150	S级同伴，代言人	颖宝宝	远程、输出	1500000		3	13	15	3	2700	2701	3923	2942	2614	3925						1			1	1	1		1	1
151	S级同伴	李斯	远程、输出	1500000		3	4	15	3	3808		3923	2933	2614	3924														
152	S级同伴	狄仁杰	远程、输出	1500000		3	13	15	3	3809		3923	2942	2614	3925														
36	S级同伴	孟知秋	近战、辅助	1500000		1	4	7	3	312	1465	2873	2933	2619	2898														
37	S级同伴，历代名将	高长恭	近战、高闪	1500000	OpenDay7	4	11	12	3	313	1466	2645	2940	2624	2646														
38	S级同伴，历代名将	哲别	远程、输出	1500000	OpenDay7	2	5	9	3	314	1467	2513	2934	2623	2516														
39	S级同伴，历代名将	秦良玉	近战、控制	1500000	OpenDay7	3	3	8	3	315	1745	2676	2932	2620	2677														
40	S级同伴，历代名将	袁承志	远程、控制	1500000	OpenDay7	5	4	10	3	316	1468	2518	2933	2622	2519														
41	S级同伴，历代名将	鳌拜	近战、输出	1500000	OpenDay7	1	10	1	3	317	1469	2637	2939	2613	2638														
42	S级同伴，历代名将	韩世忠	近战、输出	1500000	OpenDay7	2	11	11	3	318	1470	2842	2940	2621	2545														
145	S级同伴，野外首领	冰鳞蜥皇	远程、输出	1500000	OpenDay251	3	3	8	3	2281	2282	3904	2932	2620	3906														
146	S级同伴，野外首领	银钩蝎皇	远程、控制	1500000	OpenDay251	2	11	11	3	2283	2284	3908	2940	2621	3909														
147	S级同伴，野外首领	狂鬃獒皇	近战、输出	1500000	OpenDay251	4	11	12	3	2285	2286	3913	2940	2624	3914														
43	S级同伴，野外首领	赤睛虎皇	近战、暴发	1500000	OpenDay116	4	14	6	3	319		3212	2943	2618	3213														
44	S级同伴，野外首领	撼天熊皇	近战、输出	1500000	OpenDay116	1	10	7	3	320		3215	2939	2619	3216														
45	S级同伴，野外首领	紫背鳄皇	近战、输出	1500000	OpenDay116	2	1	11	3	321		3218	2930	2621	3219														
46	S级同伴，野外首领	定海金刚	远程、控制	1500000	OpenDay35	5	5	5	3	322		944	2934	2617	942														
47	S级同伴，野外首领	金翅鹏皇	远程、控制	1500000	OpenDay35	2	3	3	3	323		945	2932	2615	946														
48	S级同伴，野外首领	银角犀皇	近战、辅助	1500000	OpenDay35	3	11	2	3	324		947	2940	2614	948														
49	S级同伴	张风	远程、控制	1500000		5	7	10	3	325	1471	951	2936	2622	953														
50	S级同伴	南宫灭	近战、高闪	1500000		4	3	12	3	326	1472	2843	2932	2624	2844														
51	S级同伴	方勉	近战、输出	1500000		1	11	1	3	437	1473	2876	2940	2613	2880														
52	S级同伴，60组队秘境	唐影	远程、均衡	1500000		2	8	9	3	1051	1474	949	2937	2623	950														
53	S级同伴	秋依水	远程、辅助	1500000		3	9	8	3	1052	1475	2863	2938	2620	2848														
54	S级同伴	天星道长	远程、输出	1500000		5	4	5	3	1053	1476	996	2933	2617	998														
55	S级同伴	燕若雪	近战、控制	1500000		4	7	6	3	1054		2528	2936	2618	955														
56	S级同伴	杨熙烈	远程、输出	1500000		4	12	4	3	1055	1477	2687	2941	2616	2841														
57	S级同伴	上官飞龙	远程、控制	1500000		5	1	5	3	1056	1746	2866	2930	2617	2867														
58	S级同伴	纳兰潜凛	近战、控制	1500000		2	6	3	3	1057	1747	2574	2935	2615	2684														
148	S级同伴	黄真伊	远程、输出	1500000		4	13	4	3	2419	2420	3916	2942	2616	3918								1	1		1	1	1	1
59	A级同伴	纳兰真	远程、辅助	500000		3	9	2	4	327		2560	2938	2614	2561														
60	A级同伴	少年杨影枫	近战、输出	500000		1	4	1	4	328		2564	2933	2613	2565														
61	A级同伴，天王大师兄	杨铁心	近战、高防	500000		1	11	1	4	329		1101	2940	2613	1105														
62	A级同伴，逍遥大师兄	柳潇庭	近战、输出	500000		2	7	3	4	330		1221	2936	2614	1232														
63	A级同伴，峨眉大师兄	无想	远程、输出	500000		3	2	2	4	331		1131	2931	2615	1136														
64	A级同伴，桃花大师姐	李恬儿	远程、输出	500000		4	3	4	4	332		1181	2932	2616	1188														
65	A级同伴，武当大师兄	李天目	远程、高防	500000		5	9	5	4	333		2801	2938	2617	2803														
66	A级同伴，天忍大师姐	完颜襄	近战、控制	500000		4	14	6	4	334		2825	2943	2618	2829														
67	A级同伴，少林大师兄	玄慈	近战	500000		1	1	7	4	335		1270	2930	2619	953							1	1	1	1	1	1	1	1
68	A级同伴，翠烟大师姐	尹筱雨	远程	500000		3	1	8	4	336		1270	2930	2620	953							1	1	1	1	1	1	1	1
69	A级同伴，五毒大师兄	古嫣然	近战	500000		2	6	11	4	337		1270	2935	2621	953							1	1	1	1	1	1	1	1
70	A级同伴，昆仑大师兄	宋秋石	远程	500000		5	4	10	4	338		1270	2933	2622	953							1	1	1	1	1	1	1	1
71	A级同伴，丐帮大师兄	石轩辕	近战	500000		4	10	12	4	339		1270	2939	2624	953							1	1	1	1	1	1	1	1
72	A级同伴，唐门大师兄	唐晓	远程	500000		2	9	9	4	340		1270	2938	2623	953							1	1	1	1	1	1	1	1
73	A级同伴，野外首领	双首异兽	远程、输出	500000	OpenDay6	2	1	9	4	341		959	2930	2623	960														
74	A级同伴，野外首领	奔焰豹王	近战、输出	500000	OpenDay6	4	14	12	4	342		2539	2943	2624	2540														
75	A级同伴，野外首领	九尾狐王	远程、输出	500000	OpenDay6	5	9	10	4	343		2541	2938	2622	2544														
76	A级同伴	唐潇	远程、辅助	500000		2	9	9	4	344		962	2938	2623	963														
77	A级同伴	紫轩	远程、控制	500000		2	13	3	4	345		964	2942	2616	965														
78	A级同伴	蔷薇	远程、输出	500000		5	3	5	4	346		2501	2932	2617	2882														
79	A级同伴	卓非凡	近战、输出	500000		2	8	11	4	347		2865	2937	2621	967														
80	A级同伴	月明瑶	远程、输出	500000		4	9	4	4	348		968	2938	2616	970														
81	A级同伴	南宫彩虹	远程、输出	500000		4	4	4	4	349		2696	2933	2616	971														
82	A级同伴	张如梦	近战、输出	500000		1	7	7	4	350		2581	2936	2619	2582														
83	A级同伴	张琳心	远程、辅助	500000		3	2	8	4	351		2698	2931	2620	973														
84	A级同伴	封玉书	近战、控制	500000		1	6	1	4	352		974	2935	2615	975														
85	A级同伴	曲霞	近战、辅助	500000		2	5	11	4	353		2694	2934	2621	995														
86	A级同伴	耶律辟离	近战、输出	500000		4	6	6	4	354		2629	2935	2618	2630														
87	A级同伴	林海	远程、辅助	500000		5	8	10	4	355		2884	2937	2622	2886														
88	A级同伴	陆文龙	近战、控制	500000		4	1	12	4	438		2836	2930	2624	2635														
89	A级同伴	赵无双	远程、控制	500000		3	4	2	4	1061		977	2933	2614	978														
90	A级同伴	无相	近战、输出	500000		1	6	7	4	1062		2885	2935	2619	1296														
91	A级同伴	赵节	近战、输出	500000		1	5	1	4	1063		2508	2934	2613	2509														
92	A级同伴	邵骑风	近战、输出	500000		4	8	6	4	1064		2862	2937	2618	980														
93	A级同伴	何暮雪	远程、控制	500000		3	4	8	4	1065		983	2933	2620	984														
94	A级同伴	赵升权	近战、均衡	500000		2	1	3	4	1066		1295	2930	2615	2888														
95	A级同伴	柴嵩	远程、辅助	500000		5	2	5	4	1346		986	2931	2617	988														
96	B级同伴	小殷方	近战、输出	200000		2	4	11	5	356		2891	2933	2621	2591														
97	B级同伴	苏墨芸	近战、输出	200000		4	3	12	5	357		1289	2932	2624	1290														
98	B级同伴	萧动尘	近战、输出	200000		2	2	3	5	358		1281	2931	2615	1282														
99	B级同伴	白眉猴王	远程、输出	200000	OpenDay3C	4	9	4	5	359		994	2938	2616	992														
100	B级同伴	大地狼王	近战、输出	200000	OpenDay3C	1	6	1	5	360		2532	2935	2613	2533														
101	B级同伴	寒玉鹿王	远程、输出	200000	OpenDay3C	3	7	8	5	361		2552	2936	2620	2553														
102	B级同伴	胡神医	远程、辅助	200000		3	9	2	5	362		2693	2938	2614	999														
103	B级同伴	秦沐白	远程、控制	200000		5	8	5	5	363		2568	2937	2617	2569														
104	B级同伴	张仲天	远程、输出	200000		2	5	9	5	364		2651	2934	2623	2657														
105	B级同伴	路达	近战、输出	200000		1	9	7	5	365		2652	2938	2619	2663														
106	B级同伴	李三	远程、输出	200000		4	8	4	5	366		2653	2937	2616	2664														
107	B级同伴	卢青	远程、输出	200000		5	4	10	5	367		2869	2933	2622	2893														
108	B级同伴	莺儿	近战、输出	200000		4	9	6	5	368		2892	2938	2618	2660														
109	B级同伴	顾武	近战、输出	200000		1	10	1	5	369		1271	2939	2613	2662														
110	B级同伴	B15		200000			1	1	5	370		2652	2930	2614	2663							1	1	1	1	1	1	1	1
111	B级同伴	B16		200000			1	12	5	371		2650	2930	2615	2655							1	1	1	1	1	1	1	1
112	B级同伴	B17		200000			1	1	5	372		1270	2930	2616	1278							1	1	1	1	1	1	1	1
113	B级同伴	B18		200000			1	1	5	373		1270	2930	2617	1278							1	1	1	1	1	1	1	1
114	C级同伴	金钱豹	近战、输出	50000		1	2	1	6	374		1261	2931	2618	1262														
115	C级同伴	黑翼猎鹰	近战、输出	50000		5	5	10	6	375		989	2934	2619	1262														
116	C级同伴	武林恶徒	近战、输出	50000		2	10	3	6	376		991	2939	2620	1278														
117	C级同伴	猛虎	近战、输出	50000		1	10	7	6	377		1261	2939	2621	1262														
118	C级同伴	枫林卫	近战、输出	50000		4	5	12	6	378		991	2934	2622	1278														
119	C级同伴	猿猴	远程、输出	50000		2	8	3	6	379		1274	2937	2623	1280														
120	C级同伴	铁面捕头	近战、输出	50000		4	2	12	6	380		991	2931	2624	1278														
121	C级同伴	红衣女童	近战、输出	50000		4	3	4	6	381		1270	2932	2613	1278														
122	C级同伴	铸剑师	近战、输出	50000		4	1	6	6	382		991	2930	2614	1278														
123	C级同伴	猎人	远程、输出	50000		5	9	10	6	383		2557	2938	2615	2558														
124	C级同伴	红缨侍	近战、输出	50000		3	1	8	6	384		1276	2930	2616	1278														
125	C级同伴	强盗	近战、输出	50000		5	14	10	6	385		991	2943	2617	1278														
126	C级同伴	药王谷弟子	近战、输出	50000		3	8	8	6	386		1274	2937	2618	1280														
127	C级同伴	灰狼	近战、输出	50000		5	14	5	6	387		1261	2943	2619	1262														
128	C级同伴	东瀛忍者	近战、输出	50000		1	5	1	6	388		991	2934	2620	1278														
129	C级同伴	生使	近战、输出	50000		3	1	2	6	389		1270	2930	2621	1278														
130	C级同伴	死侍	近战、输出	50000		3	2	2	6	390		991	2931	2622	1278														
131	C级同伴	火狐	近战、输出	50000		4	9	4	6	391		989	2938	2623	1262														
132	C级同伴	九幽弟子	近战、输出	50000		1	14	1	6	392		991	2943	2624	1278														
133	C级同伴	黑熊	近战、输出	50000		5	10	5	6	393		990	2939	2613	1262														
134	C级同伴	无忧教弟子	近战、输出	50000		2	6	9	6	394		1274	2935	2614	1280														
135	C级同伴	天工匠者	近战、输出	50000		1	1	7	6	395		991	2930	2615	1278														
136	C级同伴	傀儡士兵	近战、输出	50000		2	10	11	6	396		991	2939	2616	1278														
137	C级同伴	机关人	近战、输出	50000		2	5	9	6	397		1274	2934	2617	1280														
138	C级同伴	C25		50000			1	1	6	398		1270	2930	2618	1278							1	1	1	1	1	1	1	1
139	C级同伴	C26		50000			1	1	6	399		1270	2930	2619	1278							1	1	1	1	1	1	1	1
140	C级同伴	C27		50000			1	1	6	400		1270	2930	2620	1278							1	1	1	1	1	1	1	1
141	C级同伴	C28		50000			1	1	6	401		1270	2930	2621	1278							1	1	1	1	1	1	1	1
142	C级同伴	C29		50000			1	1	6	402		1270	2930	2622	1278							1	1	1	1	1	1	1	1
143	C级同伴	C30		50000			1	1	6	403		1270	2930	2623	1278							1	1	1	1	1	1	1	1
