nPartnerId	Desc1	nItemId	Desc2	nValue	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3
50	南宫灭	1513	南宫灭·百炼手套	1000000	basic_damage_v	200		200																																				
51	方勉	1514	方勉·碎星剑	1000000	basic_damage_v	200		200																																				
52	唐影	1515	唐影·千机扇	1000000	basic_damage_v	200		200																																				
53	秋依水	1516	秋依水·云烟荷	1000000	basic_damage_v	200		200																																				
54	天星道长	1517	天星道长·摘星手套	1000000	basic_damage_v	200		200																																				
55	燕若雪	1518	燕若雪·飘雪流云袖	1000000	basic_damage_v	200		200																																				
56	杨熙烈	1519	杨熙烈·凌绝剑	1000000	basic_damage_v	200		200																																				
57	上官飞龙	1520	上官飞龙·挽月剑	1000000	basic_damage_v	200		200																																				
58	纳兰潜凛	1521	纳兰潜凛·天魔剑	1000000	basic_damage_v	200		200																																				
148	黄真伊	1525	黄真伊·本命武器	1000000	basic_damage_v	200		200																																				
149	林更新	6799	林更新·沧海龙吟	1000000	basic_damage_v	200		200																																				
150	颖宝宝	6800	颖宝宝·凤凰来仪	1000000	basic_damage_v	200		200																																				
59	纳兰真	1931	纳兰真·忘忧	300000	basic_damage_v	100		100																																				
60	少年杨影枫	1932	少年杨影枫·断玉剑	300000	basic_damage_v	100		100																																				
61	杨铁心	1933	杨铁心·素缨錾金枪	300000	basic_damage_v	100		100																																				
62	柳潇庭	1935	柳潇庭·星河枪	300000	basic_damage_v	100		100																																				
63	无想	1934	无想·止水剑	300000	basic_damage_v	100		100																																				
64	李恬儿	1936	李恬儿·赤凰弓	300000	basic_damage_v	100		100																																				
65	李天目	1937	李天目·天枢剑	300000	basic_damage_v	100		100																																				
66	完颜襄	1938	完颜襄·(完颜襄)	300000	basic_damage_v	100		100																																				
67	玄慈	1939	玄慈·(玄慈)	300000	basic_damage_v	100		100																																				
68	尹筱雨	1940	尹筱雨·(尹筱雨)	300000	basic_damage_v	100		100																																				
69	古嫣然	1941	古嫣然·(古嫣然)	300000	basic_damage_v	100		100																																				
70	宋秋石	1942	宋秋石·(宋秋石)	300000	basic_damage_v	100		100																																				
71	石轩辕	1943	石轩辕·(石轩辕)	300000	basic_damage_v	100		100																																				
72	唐晓	1944	唐晓·(唐晓)	300000	basic_damage_v	100		100																																				
73	双首异兽	1945	双首异兽·龙龟甲	300000	basic_damage_v	100		100																																				
74	奔焰豹王	1946	奔焰豹王·奔焰爪	300000	basic_damage_v	100		100																																				
75	九尾狐王	1947	九尾狐王·天狐尾	300000	basic_damage_v	100		100																																				
76	唐潇	1948	唐潇·七杀镰	300000	basic_damage_v	100		100																																				
77	紫轩	1949	紫轩·听雨伞	300000	basic_damage_v	100		100																																				
78	蔷薇	1950	蔷薇·蔷薇袖	300000	basic_damage_v	100		100																																				
79	卓非凡	1951	卓非凡·绝情断意剑	300000	basic_damage_v	100		100																																				
80	月明瑶	1952	月明瑶·浣花手套	300000	basic_damage_v	100		100																																				
81	南宫彩虹	1953	南宫彩虹·玉露剑	300000	basic_damage_v	100		100																																				
82	张如梦	1954	张如梦·金风剑	300000	basic_damage_v	100		100																																				
83	张琳心	1955	张琳心·飞凤剑	300000	basic_damage_v	100		100																																				
84	封玉书	1956	封玉书·翠玉枪	300000	basic_damage_v	100		100																																				
85	曲霞	1957	曲霞·紫玉蛇袖	300000	basic_damage_v	100		100																																				
86	耶律辟离	1958	耶律辟离·火麟爪	300000	basic_damage_v	100		100																																				
87	林海	1959	林海·秋枫剑	300000	basic_damage_v	100		100																																				
88	陆文龙	1960	陆文龙·纹龙刀	300000	basic_damage_v	100		100																																				
89	赵无双	1961	赵无双·挽花剑	300000	basic_damage_v	100		100																																				
90	无相	1962	无相·月牙铲	300000	basic_damage_v	100		100																																				
91	赵节	1963	赵节·贪狼戟	300000	basic_damage_v	100		100																																				
92	邵骑风	1964	邵骑风·流金袖	300000	basic_damage_v	100		100																																				
93	何暮雪	1965	何暮雪·轻雪飞袖	300000	basic_damage_v	100		100																																				
94	赵升权	1966	赵升权·风雪枪	300000	basic_damage_v	100		100																																				
95	柴嵩	1967	柴嵩·墨竹扇	300000	basic_damage_v	100		100																																				
