nSkillBookId	Name	nType	nLevel	nQuality	nSeries	nSkillId	nLevelupId	nLevelValue1	nLevelValue2	nLevelValue3	nLevelValue4	nLevelValue5	nLevelValue6	nLevelValue7	nLevelValue8	nLevelValue9	nLevelValue10
91	【初级】受伤效果	1021	1	3	1	1964	1	500000									
92	【中级】受伤效果	1021	2	4	1	1965	1	1500000									
93	【高级】受伤效果	1021	3	5	1	1966	1	5000000									
94	【初级】迟缓效果	1022	1	3	3	1967	1	500000									
95	【中级】迟缓效果	1022	2	4	3	1968	1	1500000									
96	【高级】迟缓效果	1022	3	5	3	1969	1	5000000									
97	【初级】致缠效果	1023	1	3	2	1970	1	500000									
98	【中级】致缠效果	1023	2	4	2	1971	1	1500000									
99	【高级】致缠效果	1023	3	5	2	1972	1	5000000									
100	【初级】麻痹效果	1024	1	3	4	1973	1	500000									
101	【中级】麻痹效果	1024	2	4	4	1974	1	1500000									
102	【高级】麻痹效果	1024	3	5	4	1975	1	5000000									
103	【初级】眩晕效果	1025	1	3	5	1976	1	500000									
104	【中级】眩晕效果	1025	2	4	5	1977	1	1500000									
105	【高级】眩晕效果	1025	3	5	5	1978	1	5000000									
106	【初级】全系抗性	1026	1	3		1979	1	500000									
107	【中级】全系抗性	1026	2	4		1980	1	1500000									
108	【高级】全系抗性	1026	3	5		1981	1	5000000									
109	【初级】忽略全系抗性	1027	1	3		1982	1	500000									
110	【中级】忽略全系抗性	1027	2	4		1983	1	1500000									
111	【高级】忽略全系抗性	1027	3	5		1984	1	5000000									
112	【初级】反击	1028	1	3		1985	1	500000									
113	【中级】反击	1028	2	4		1988	1	1500000									
114	【高级】反击	1028	3	5		1991	1	5000000									
115	【初级】攻击速度	1029	1	3		1994	1	500000									
116	【中级】攻击速度	1029	2	4		1995	1	1500000									
117	【高级】攻击速度	1029	3	5		1996	1	5000000									
118	青龙分海爪	1011	6	6		3232	1	15000000									
119	玄武大荒钟	1012	6	6		3233	1	15000000									
120	金矢	11	6	6	1	3235	1	15000000									
121	密林斗繁星	13	6	6	2	3238	1	15000000									
122	逆流	12	6	6	3	3241	1	15000000									
123	三昧离火狱	14	6	6	4	3244	1	15000000									
124	八方星雷恸	15	6	6	5	3247	1	15000000									
125	高级群体金刚	22	6	6		3250	1	15000000									
126	高级群体明王	24	6	6		3252	1	15000000									
127	轮回往生	26	6	6		3254	1	15000000									
128	破天一击	27	6	6		3257	1	15000000									
129	十方俱静	1030	6	6		3259	1	15000000									
130	高级群体毒瘴	20	6	6		3261	1	15000000									
131	启明之怒	11	7	7	1	5703	1	30000000									
132	句芒唤荆	13	7	7	2	5705	1	30000000									
133	怒霜狂滔	12	7	7	3	5707	1	30000000									
134	焚天火祭	14	7	7	4	5709	1	30000000									
135	大地蟒动	15	7	7	5	5711	1	30000000									
136	超群金刚	22	7	7		5713	1	30000000									
137	超群明王	24	7	7		5716	1	30000000									
138	六道轮回	26	7	7		5718	1	30000000									
139	破天惊月	27	7	7		5721	1	30000000									
140	百念惧灭	1030	7	7		5724	1	30000000									
141	毒泷恶雾	20	7	7		5726	1	30000000									
142	穿甲破铠	28	7	7		5728	1	30000000									
143	断汲	29	7	7		5729	1	30000000									
