Level	SSSS	SSSS_Base	SSS	SSS_Base	SS	SS_Base	S	S_Base	A	A_Base	B	B_Base	C	C_Base
86	80203500	2250	77118750	2250	74034000	2250	67864500	2250	61695000	2250	49356000	2250	37017000	2250
87	83128500	2250	79931250	2250	76734000	2250	70339500	2250	63945000	2250	51156000	2250	38367000	2250
88	86053500	2250	82743750	2250	79434000	2250	72814500	2250	66195000	2250	52956000	2250	39717000	2250
89	88978500	2250	85556250	2250	82134000	2250	75289500	2250	68445000	2250	54756000	2250	41067000	2250
90	97461000	2500	93712500	2500	89964000	2500	82467000	2500	74970000	2500	59976000	2500	44982000	2500
91	102011000	2500	98087500	2500	94164000	2500	86317000	2500	78470000	2500	62776000	2500	47082000	2500
92	106561000	2500	102462500	2500	98364000	2500	90167000	2500	81970000	2500	65576000	2500	49182000	2500
93	111111000	2500	106837500	2500	102564000	2500	94017000	2500	85470000	2500	68376000	2500	51282000	2500
94	115661000	2500	111212500	2500	106764000	2500	97867000	2500	88970000	2500	71176000	2500	53382000	2500
95	120211000	2500	115587500	2500	110964000	2500	101717000	2500	92470000	2500	73976000	2500	55482000	2500
96	124761000	2500	119962500	2500	115164000	2500	105567000	2500	95970000	2500	76776000	2500	57582000	2500
97	129311000	2500	124337500	2500	119364000	2500	109417000	2500	99470000	2500	79576000	2500	59682000	2500
98	130000000	2500	125000000	2500	120000000	2500	110000000	2500	100000000	2500	80000000	2500	60000000	2500
99	130000000	2500	125000000	2500	120000000	2500	110000000	2500	100000000	2500	80000000	2500	60000000	2500
100	130000000	2500	125000000	2500	120000000	2500	110000000	2500	100000000	2500	80000000	2500	60000000	2500
101	133250000	2500	128125000	2500	123000000	2500	112750000	2500	102500000	2500	82000000	2500	61500000	2500
102	136500000	2500	131250000	2500	126000000	2500	115500000	2500	105000000	2500	84000000	2500	63000000	2500
103	139750000	2500	134375000	2500	129000000	2500	118250000	2500	107500000	2500	86000000	2500	64500000	2500
104	143000000	2500	137500000	2500	132000000	2500	121000000	2500	110000000	2500	88000000	2500	66000000	2500
105	146250000	2500	140625000	2500	135000000	2500	123750000	2500	112500000	2500	90000000	2500	67500000	2500
106	149500000	2500	143750000	2500	138000000	2500	126500000	2500	115000000	2500	92000000	2500	69000000	2500
107	152750000	2500	146875000	2500	141000000	2500	129250000	2500	117500000	2500	94000000	2500	70500000	2500
108	156000000	2500	150000000	2500	144000000	2500	132000000	2500	120000000	2500	96000000	2500	72000000	2500
109	159250000	2500	153125000	2500	147000000	2500	134750000	2500	122500000	2500	98000000	2500	73500000	2500
110	162500000	2500	156250000	2500	150000000	2500	137500000	2500	125000000	2500	100000000	2500	75000000	2500
111	165750000	2500	159375000	2500	153000000	2500	140250000	2500	127500000	2500	102000000	2500	76500000	2500
112	169000000	2500	162500000	2500	156000000	2500	143000000	2500	130000000	2500	104000000	2500	78000000	2500
113	172250000	2500	165625000	2500	159000000	2500	145750000	2500	132500000	2500	106000000	2500	79500000	2500
114	175500000	2500	168750000	2500	162000000	2500	148500000	2500	135000000	2500	108000000	2500	81000000	2500
115	178750000	2500	171875000	2500	165000000	2500	151250000	2500	137500000	2500	110000000	2500	82500000	2500
116	182000000	2500	175000000	2500	168000000	2500	154000000	2500	140000000	2500	112000000	2500	84000000	2500
117	185250000	2500	178125000	2500	171000000	2500	156750000	2500	142500000	2500	114000000	2500	85500000	2500
118	188500000	2500	181250000	2500	174000000	2500	159500000	2500	145000000	2500	116000000	2500	87000000	2500
119	191750000	2500	184375000	2500	177000000	2500	162250000	2500	147500000	2500	118000000	2500	88500000	2500
120	195000000	2500	187500000	2500	180000000	2500	165000000	2500	150000000	2500	120000000	2500	90000000	2500
121	198250000	2500	190625000	2500	183000000	2500	167750000	2500	152500000	2500	122000000	2500	91500000	2500
122	201500000	2500	193750000	2500	186000000	2500	170500000	2500	155000000	2500	124000000	2500	93000000	2500
123	204750000	2500	196875000	2500	189000000	2500	173250000	2500	157500000	2500	126000000	2500	94500000	2500
124	208000000	2500	200000000	2500	192000000	2500	176000000	2500	160000000	2500	128000000	2500	96000000	2500
125	211250000	2500	203125000	2500	195000000	2500	178750000	2500	162500000	2500	130000000	2500	97500000	2500
126	214500000	2500	206250000	2500	198000000	2500	181500000	2500	165000000	2500	132000000	2500	99000000	2500
127	217750000	2500	209375000	2500	201000000	2500	184250000	2500	167500000	2500	134000000	2500	100500000	2500
128	221000000	2500	212500000	2500	204000000	2500	187000000	2500	170000000	2500	136000000	2500	102000000	2500
129	224250000	2500	215625000	2500	207000000	2500	189750000	2500	172500000	2500	138000000	2500	103500000	2500
130	224250000	2500	215625000	2500	207000000	2500	189750000	2500	172500000	2500	138000000	2500	103500000	2500
131	224575000	2500	215937500	2500	207300000	2500	190025000	2500	172750000	2500	138200000	2500	103650000	2500
132	224900000	2500	216250000	2500	207600000	2500	190300000	2500	173000000	2500	138400000	2500	103800000	2500
133	225225000	2500	216562500	2500	207900000	2500	190575000	2500	173250000	2500	138600000	2500	103950000	2500
134	225550000	2500	216875000	2500	208200000	2500	190850000	2500	173500000	2500	138800000	2500	104100000	2500
135	225875000	2500	217187500	2500	208500000	2500	191125000	2500	173750000	2500	139000000	2500	104250000	2500
136	226200000	2500	217500000	2500	208800000	2500	191400000	2500	174000000	2500	139200000	2500	104400000	2500
137	226525000	2500	217812500	2500	209100000	2500	191675000	2500	174250000	2500	139400000	2500	104550000	2500
138	226850000	2500	218125000	2500	209400000	2500	191950000	2500	174500000	2500	139600000	2500	104700000	2500
139	227175000	2500	218437500	2500	209700000	2500	192225000	2500	174750000	2500	139800000	2500	104850000	2500
