nTemplateId	szDesc
1907	高级魂石·袁承志
1908	高级魂石·鳌拜
1909	高级魂石·韩世忠
1918	高级魂石·天星道长
1919	高级魂石·燕若雪
1920	高级魂石·杨熙烈
1921	高级魂石·上官飞龙
1922	高级魂石·纳兰潜凛
1923	高级魂石·方勉
1924	高级魂石·南宫灭
1925	高级魂石·唐影
1926	高级魂石·秋依水
2851	高级魂石·玄慈
6285	初级魂石·韩蒙
5432	初级魂石·尹筱雨
6100	初级魂石·萧玉竹
6101	初级魂石·金兀术
6128	初级魂石·狄仁杰
6129	初级魂石·李元芳
6130	初级魂石·无字碑
6067	初级魂石·叶青阳
6068	初级魂石·冰仪
6069	初级魂石·杨再兴
6070	初级魂石·完颜娄室
5433	初级魂石·石轩辕
4873	初级魂石·宋秋石
4874	初级魂石·古嫣然
3709	初级魂石·年兽
2824	初级魂石·玄天武机
2825	初级魂石·白起
2826	初级魂石·李斯
2696	初级魂石·完颜洪烈
2528	初级魂石·杨瑛
2529	初级魂石·清晓师太
2530	初级魂石·祝子虚
2531	初级魂石·黄玉英
2532	初级魂石·道一真人
2533	初级魂石·端木睿
2534	初级魂石·孟知秋
2535	初级魂石·李显忠
2536	初级魂石·徒单克宁
4540	初级魂石·冰鳞蜥皇
4541	初级魂石·银钩蝎皇
4542	初级魂石·狂鬃獒皇
1754	初级魂石·赤睛虎皇
1755	初级魂石·撼天熊皇
1756	初级魂石·紫背鳄皇
1757	初级魂石·定海金刚
1758	初级魂石·金翅鹏皇
1759	初级魂石·银角犀皇
2668	初级魂石·独孤剑
2674	初级魂石·岳飞
2673	初级魂石·虞姬
2672	初级魂石·荆轲
2848	初级魂石·玄因
2880	初级魂石·南宫飞云
2881	初级魂石·杨影枫
3022	初级魂石·雷
3215	初级魂石·李元霸
3216	初级魂石·赵云
3217	初级魂石·李广
3371	初级魂石·尹含烟
3372	初级魂石·璇玑子
3373	初级魂石·玄天道人
3856	初级魂石·唐仇
3854	初级魂石·黑面郎君
3855	初级魂石·何人我
6286	中级魂石·韩蒙
5434	中级魂石·尹筱雨
6102	中级魂石·萧玉竹
6103	中级魂石·金兀术
6133	中级魂石·狄仁杰
6134	中级魂石·李元芳
6135	中级魂石·无字碑
6071	中级魂石·叶青阳
6072	中级魂石·冰仪
6073	中级魂石·杨再兴
6074	中级魂石·完颜娄室
5435	中级魂石·石轩辕
4875	中级魂石·宋秋石
4876	中级魂石·古嫣然
3710	中级魂石·年兽
2829	中级魂石·玄天武机
2830	中级魂石·白起
2831	中级魂石·李斯
2697	中级魂石·完颜洪烈
2537	中级魂石·杨瑛
2538	中级魂石·清晓师太
2539	中级魂石·祝子虚
2540	中级魂石·黄玉英
2541	中级魂石·道一真人
2542	中级魂石·端木睿
2543	中级魂石·孟知秋
2544	中级魂石·李显忠
2545	中级魂石·徒单克宁
4543	中级魂石·冰鳞蜥皇
4544	中级魂石·银钩蝎皇
4545	中级魂石·狂鬃獒皇
1832	中级魂石·赤睛虎皇
1833	中级魂石·撼天熊皇
1834	中级魂石·紫背鳄皇
1835	中级魂石·定海金刚
1836	中级魂石·金翅鹏皇
1837	中级魂石·银角犀皇
2669	中级魂石·独孤剑
2677	中级魂石·岳飞
2676	中级魂石·虞姬
2675	中级魂石·荆轲
2850	中级魂石·玄因
2882	中级魂石·南宫飞云
2883	中级魂石·杨影枫
3023	中级魂石·雷
3218	中级魂石·李元霸
3219	中级魂石·赵云
3220	中级魂石·李广
3374	中级魂石·尹含烟
3375	中级魂石·璇玑子
3376	中级魂石·玄天道人
3859	中级魂石·唐仇
3857	中级魂石·黑面郎君
3858	中级魂石·何人我
6126	初级魂石·武则天(阴)
6127	初级魂石·武则天(阳)
6112	初级魂石·绝世虞姬
4849	初级魂石·唐晓
4595	初级魂石·项羽
4053	初级魂石·完颜洪烈(真)
2827	初级魂石·秦始皇（阴）
2828	初级魂石·秦始皇（阳）
3897	初级魂石·唐简
